lfq_decile	lfq_low	lfq_high	n_cells	n_proteins	median_psm	frac_psm_eq1	frac_psm_le3	psm_resid_sd	psm_resid_sd_ci_low	psm_resid_sd_ci_high	psm_poisson_floor_sd	psm_poisson_floor_var_share	nsaf_resid_sd	nsaf_resid_sd_ci_low	nsaf_resid_sd_ci_high	spearman_lfq_psm	spearman_lfq_psm_ci_low	spearman_lfq_psm_ci_high	spearman_lfq_nsaf	spearman_lfq_nsaf_ci_low	spearman_lfq_nsaf_ci_high
1	15.899	20.6186	2012	916	1	0.709742	0.933897	0.842675	0.73943	0.947059	0.475234	0.31805	1.39428	1.30958	1.48177	0.186393	0.135862	0.233233	0.204036	0.151127	0.259231
2	20.6186	21.6543	2011	850	2	0.41273	0.821979	1.13209	1.01637	1.26128	0.663228	0.343211	1.57772	1.47885	1.6807	0.146024	0.094721	0.197447	0.0982094	0.0431738	0.150574
3	21.6543	22.3538	2011	842	3	0.250622	0.680756	1.1292	1.02706	1.24126	0.721051	0.407746	1.53574	1.44443	1.62871	0.0996575	0.0510043	0.14833	0.0826688	0.0347638	0.130993
4	22.3538	22.9764	2012	824	4	0.144632	0.493539	1.09085	1.02049	1.167	0.715864	0.430655	1.54504	1.46699	1.62406	0.146535	0.0997352	0.194139	0.0987826	0.0500236	0.148506
5	22.9764	23.5681	2011	760	5	0.0790651	0.302834	1.11238	1.02604	1.20758	0.670496	0.36332	1.5257	1.439	1.61508	0.175178	0.131111	0.221658	0.103208	0.0576581	0.149352
6	23.5681	24.1795	2011	731	8	0.0303332	0.122824	1.0536	0.967805	1.14169	0.585606	0.308933	1.45692	1.35801	1.56448	0.196205	0.149974	0.243597	0.101434	0.054796	0.149886
7	24.1795	24.8911	2012	665	11	0.0173956	0.0606362	0.999635	0.913528	1.09182	0.489221	0.239513	1.35355	1.26594	1.43723	0.227725	0.172935	0.280965	0.115773	0.0616022	0.167557
8	24.8911	25.8377	2011	568	18	0.00745898	0.0213824	0.867196	0.785369	0.943319	0.393236	0.205623	1.13203	1.04354	1.22783	0.334662	0.280066	0.386491	0.226086	0.168861	0.281813
9	25.8377	27.0566	2011	495	32	0.00546992	0.00845351	0.873679	0.779112	0.963191	0.291422	0.111261	1.04316	0.945897	1.14459	0.377391	0.318161	0.436043	0.310344	0.246902	0.371515
10	27.0566	32.307	2012	359	74	0.00397614	0.00695825	0.983412	0.848283	1.12248	0.199814	0.0412841	1.12802	0.919281	1.35828	0.678137	0.612244	0.737943	0.581558	0.505848	0.646382
