protein_id	entry	reason	total_psm	n_runs_with_psm	n_peptide_rows	n_gain_unique_rows	n_gain_unique_quantified	exclusive_contaminant_sharing	contaminant_partners	partner_lfq_runs	carrier_contaminant	carrier_lfq_runs
psvid_88729_sp|P00167|CYB5_HUMAN	CYB5_HUMAN	shared_peptides_only	2033	8	11	11	11	True	CYB5_HUMAN(11)	CYB5_HUMAN:3	CYB5_HUMAN	3
psvid_26242_sp|P02787|TRFE_HUMAN	TRFE_HUMAN	shared_peptides_only	1198	8	65	65	62	True	TRFE_HUMAN(65)	TRFE_HUMAN:8	TRFE_HUMAN	8
psvid_30671_sp|P04040|CATA_HUMAN	CATA_HUMAN	shared_peptides_only	640	8	38	38	38	True	CATA_HUMAN(38)	CATA_HUMAN:0	CATA_HUMAN	0
psvid_88046_sp|P08263|GSTA1_HUMAN	GSTA1_HUMAN	shared_peptides_only	369	8	16	2	2	False	GSTA1_HUMAN(16)	GSTA1_HUMAN:0	GSTA1_HUMAN	0
psvid_33160_sp|P68871|HBB_HUMAN	HBB_HUMAN	shared_peptides_only	357	8	15	9	9	False	HBB_HUMAN(15)	HBB_HUMAN:8	HBB_HUMAN	8
psvid_29358_sp|P69905|HBA_HUMAN	HBA_HUMAN	shared_peptides_only	330	8	13	12	12	False	HBA_HUMAN(13)	HBA_HUMAN:3	HBA_HUMAN	3
psvid_25483_sp|P00441|SODC_HUMAN	SODC_HUMAN	shared_peptides_only	320	8	12	12	12	True	SODC_HUMAN(12)	SODC_HUMAN:0	SODC_HUMAN	0
psvid_85825_sp|P62937|PPIA_HUMAN	PPIA_HUMAN	shared_peptides_only	292	8	11	9	9	False	PPIA_HUMAN(11)	PPIA_HUMAN:8	PPIA_HUMAN	8
psvid_79079_sp|P08758|ANXA5_HUMAN	ANXA5_HUMAN	shared_peptides_only	183	8	22	22	21	True	ANXA5_HUMAN(22)	ANXA5_HUMAN:0	ANXA5_HUMAN	0
psvid_86295_sp|P00918|CAH2_HUMAN	CAH2_HUMAN	shared_peptides_only	135	8	15	15	15	True	CAH2_HUMAN(15);CAH2_BOVIN(1)	CAH2_HUMAN:0;CAH2_BOVIN:0	CAH2_HUMAN	0
psvid_22937_sp|P13645|K1C10_HUMAN	K1C10_HUMAN	shared_peptides_only	126	8	20	15	13	False	K1C10_HUMAN(20);K1C15_SHEEP(3);K1C9_HUMAN(1);K1H1_HUMAN(1);K1H2_HUMAN(1)	K1C10_HUMAN:0;K1C15_SHEEP:0;K1C9_HUMAN:0;K1H1_HUMAN:0;K1H2_HUMAN:0	K1C10_HUMAN	0
psvid_26384_sp|P10599|THIO_HUMAN	THIO_HUMAN	shared_peptides_only	90	8	9	9	9	True	THIO_HUMAN(9)	THIO_HUMAN:0	THIO_HUMAN	0
psvid_42606_sp|P99999|CYC_HUMAN	CYC_HUMAN	shared_peptides_only	80	6	7	7	7	True	CYC_HUMAN(7);CYC_HORSE(1)	CYC_HUMAN:0;CYC_HORSE:0	CYC_HUMAN	0
psvid_73757_sp|P04075|ALDOA_HUMAN	ALDOA_HUMAN	shared_peptides_only	48	8	9	8	7	False	ALDOA_RABIT(9)	ALDOA_RABIT:0	ALDOA_RABIT	0
psvid_40086_sp|P09211|GSTP1_HUMAN	GSTP1_HUMAN	shared_peptides_only	24	8	3	3	3	True	GSTP1_HUMAN(3)	GSTP1_HUMAN:6	GSTP1_HUMAN	6
psvid_33404_sp|Q8NHM4|TRY6_HUMAN	TRY6_HUMAN	shared_peptides_only	22	8	2	1	0	False	TRYP_PIG(1)	TRYP_PIG:8	TRYP_PIG	8
psvid_83454_sp|P16083|NQO2_HUMAN	NQO2_HUMAN	shared_peptides_only	9	4	4	4	4	True	NQO2_HUMAN(4)	NQO2_HUMAN:0	NQO2_HUMAN	0
psvid_76143_sp|P00915|CAH1_HUMAN	CAH1_HUMAN	shared_peptides_only	1	1	1	1	1	True	CAH1_HUMAN(1)	CAH1_HUMAN:0	CAH1_HUMAN	0
