protein_id	entry	n_runs_lfq	n_runs_psm	total_psm	mean_lfq	mean_log2_psm
psvid_41_sp|TRYP_PIG|	TRYP_PIG	8	8	2358	28.4627	8.17429
psvid_158633_sp|CYB5_HUMAN|	CYB5_HUMAN	3	8	2036	20.355	7.97932
psvid_139528_sp|TRFE_HUMAN|	TRFE_HUMAN	8	8	1248	23.0708	7.26484
psvid_156034_sp|CATA_HUMAN|	CATA_HUMAN	0	8	640		6.30024
psvid_70592_sp|DHE3_BOVIN|	DHE3_BOVIN	0	8	598		6.17337
psvid_159084_sp|HBB_HUMAN|	HBB_HUMAN	8	8	373	23.574	5.38449
psvid_158359_sp|GSTA1_HUMAN|	GSTA1_HUMAN	0	8	369		5.50913
psvid_155044_sp|HBA_HUMAN|	HBA_HUMAN	3	8	336	23.585	5.17955
psvid_155912_sp|PPIA_HUMAN|	PPIA_HUMAN	8	8	321	24.7767	5.3216
psvid_154968_sp|SODC_HUMAN|	SODC_HUMAN	0	8	320		5.30665
psvid_155074_sp|CO5_HUMAN|	CO5_HUMAN	0	8	310		5.22585
psvid_154780_sp|ANXA5_HUMAN|	ANXA5_HUMAN	0	8	183		4.39946
psvid_154218_sp|K2C1_HUMAN|	K2C1_HUMAN	0	8	177		4.22336
psvid_26885_sp|ALBU_BOVIN|	ALBU_BOVIN	4	8	159	23.7899	4.03549
psvid_158135_sp|CAH2_HUMAN|	CAH2_HUMAN	0	8	135		4.04799
psvid_155214_sp|K1C10_HUMAN|	K1C10_HUMAN	0	8	126		3.66988
psvid_156667_sp|THIO_HUMAN|	THIO_HUMAN	0	8	90		3.45734
psvid_155132_sp|CYC_HUMAN|	CYC_HUMAN	0	6	80		3.72149
psvid_155742_sp|K22E_HUMAN|	K22E_HUMAN	0	8	71		2.70955
psvid_156734_sp|K1C9_HUMAN|	K1C9_HUMAN	0	6	69		3.49791
psvid_73754_sp|ALDOA_RABIT|	ALDOA_RABIT	0	8	48		2.53232
psvid_156788_sp|GSTP1_HUMAN|	GSTP1_HUMAN	6	8	30	21.2944	1.76696
psvid_139676_sp|KRHB4_HUMAN|	KRHB4_HUMAN	0	7	16		1.04855
psvid_28864_sp|K1C15_SHEEP|	K1C15_SHEEP	0	7	12		0.714286
psvid_62538_sp|CAH2_BOVIN|	CAH2_BOVIN	0	8	11		0.32312
psvid_157870_sp|NQO2_HUMAN|	NQO2_HUMAN	0	4	9		1
psvid_157220_sp|K1H5_HUMAN|	K1H5_HUMAN	0	6	9		0.430827
psvid_32096_sp|TRY1_BOVIN|	TRY1_BOVIN	0	8	9		0.125
psvid_142169_sp|K1H2_HUMAN|	K1H2_HUMAN	0	6	7		0.166667
psvid_5041_sp|CYC_HORSE|	CYC_HORSE	0	5	7		0.4
psvid_2093_sp|K1H1_HUMAN|	K1H1_HUMAN	0	6	7		0.166667
psvid_157566_sp|CAH1_HUMAN|	CAH1_HUMAN	0	1	1		0
psvid_48233_sp|CTRB_BOVIN|	CTRB_BOVIN	1	1	1	22.4154	0
