comparison	subset	scope	sample_id	method	n_cells	n_proteins	r	ci_low	ci_high	batch
lfq_vs_psm	all_common	pooled_cells	all	spearman	20114	3414	0.862741	0.850217	0.874479	
lfq_vs_psm	all_common	per_sample	AZ905	spearman	2814	2814	0.877594	0.864451	0.889604	B2021-05-06
lfq_vs_psm	all_common	per_sample	AZ907	spearman	2601	2601	0.866687	0.851726	0.880309	B2021-05-06
lfq_vs_psm	all_common	per_sample	AZ909	spearman	2623	2623	0.864731	0.850037	0.877535	B2021-05-06
lfq_vs_psm	all_common	per_sample	AZ906	spearman	2696	2696	0.874601	0.861322	0.887158	B2021-05-06
lfq_vs_psm	all_common	per_sample	AZ908	spearman	2406	2406	0.86152	0.845323	0.875625	B2021-05-06
lfq_vs_psm	all_common	per_sample	AZ910	spearman	2542	2542	0.861343	0.845948	0.876187	B2021-05-06
lfq_vs_psm	all_common	per_sample	AZ941	spearman	2233	2233	0.865538	0.850374	0.879752	B2022-03-18
lfq_vs_psm	all_common	per_sample	AZ942	spearman	2199	2199	0.858338	0.841354	0.872503	B2022-03-18
lfq_vs_psm	all_common	protein_mean	mean_over_runs	spearman	3414	3414	0.873378	0.860286	0.885169	
lfq_vs_psm	all_common	pooled_cells	all	pearson	20114	3414	0.862376	0.850181	0.873799	
lfq_vs_psm	all_common	per_sample	AZ905	pearson	2814	2814	0.873982	0.861192	0.886334	B2021-05-06
lfq_vs_psm	all_common	per_sample	AZ907	pearson	2601	2601	0.863737	0.847588	0.877915	B2021-05-06
lfq_vs_psm	all_common	per_sample	AZ909	pearson	2623	2623	0.865304	0.85096	0.878326	B2021-05-06
lfq_vs_psm	all_common	per_sample	AZ906	pearson	2696	2696	0.87023	0.856287	0.882939	B2021-05-06
lfq_vs_psm	all_common	per_sample	AZ908	pearson	2406	2406	0.861413	0.8462	0.874972	B2021-05-06
lfq_vs_psm	all_common	per_sample	AZ910	pearson	2542	2542	0.863225	0.848576	0.875941	B2021-05-06
lfq_vs_psm	all_common	per_sample	AZ941	pearson	2233	2233	0.86918	0.855091	0.882271	B2022-03-18
lfq_vs_psm	all_common	per_sample	AZ942	pearson	2199	2199	0.863028	0.847386	0.876302	B2022-03-18
lfq_vs_psm	all_common	protein_mean	mean_over_runs	pearson	3414	3414	0.877299	0.863818	0.888346	
lfq_vs_nsaf	all_common	pooled_cells	all	spearman	20114	3414	0.786358	0.7719	0.80092	
lfq_vs_nsaf	all_common	per_sample	AZ905	spearman	2814	2814	0.811507	0.794474	0.826501	B2021-05-06
lfq_vs_nsaf	all_common	per_sample	AZ907	spearman	2601	2601	0.793917	0.77589	0.811212	B2021-05-06
lfq_vs_nsaf	all_common	per_sample	AZ909	spearman	2623	2623	0.790011	0.770977	0.807424	B2021-05-06
lfq_vs_nsaf	all_common	per_sample	AZ906	spearman	2696	2696	0.798541	0.780817	0.815367	B2021-05-06
lfq_vs_nsaf	all_common	per_sample	AZ908	spearman	2406	2406	0.774416	0.753345	0.792844	B2021-05-06
lfq_vs_nsaf	all_common	per_sample	AZ910	spearman	2542	2542	0.780063	0.760802	0.798821	B2021-05-06
lfq_vs_nsaf	all_common	per_sample	AZ941	spearman	2233	2233	0.773819	0.752632	0.793397	B2022-03-18
lfq_vs_nsaf	all_common	per_sample	AZ942	spearman	2199	2199	0.763384	0.741491	0.782604	B2022-03-18
