sample_id	class	psm_bin	n_proteins
AZ905	both	4-7	517
AZ905	both	2-3	491
AZ905	both	8-15	471
AZ905	both	>=32	467
AZ905	both	1	460
AZ905	both	16-31	408
AZ905	psm_only_lfq_other_runs	1	66
AZ905	psm_only_lfq_other_runs	2-3	16
AZ905	psm_only_lfq_other_runs	8-15	8
AZ905	psm_only_lfq_other_runs	4-7	5
AZ905	psm_only_lfq_other_runs	>=32	5
AZ905	psm_only_lfq_other_runs	16-31	2
AZ905	psm_only_never_lfq	1	243
AZ905	psm_only_never_lfq	2-3	148
AZ905	psm_only_never_lfq	4-7	96
AZ905	psm_only_never_lfq	8-15	80
AZ905	psm_only_never_lfq	16-31	44
AZ905	psm_only_never_lfq	>=32	42
AZ907	both	4-7	490
AZ907	both	2-3	459
AZ907	both	1	443
AZ907	both	8-15	421
AZ907	both	>=32	416
AZ907	both	16-31	372
AZ907	psm_only_lfq_other_runs	1	67
AZ907	psm_only_lfq_other_runs	2-3	26
AZ907	psm_only_lfq_other_runs	4-7	12
AZ907	psm_only_lfq_other_runs	>=32	5
AZ907	psm_only_lfq_other_runs	8-15	3
AZ907	psm_only_lfq_other_runs	16-31	2
AZ907	psm_only_never_lfq	1	189
AZ907	psm_only_never_lfq	2-3	128
AZ907	psm_only_never_lfq	4-7	102
AZ907	psm_only_never_lfq	8-15	59
AZ907	psm_only_never_lfq	16-31	52
AZ907	psm_only_never_lfq	>=32	43
AZ909	both	4-7	486
AZ909	both	2-3	469
AZ909	both	8-15	461
AZ909	both	1	445
AZ909	both	>=32	398
AZ909	both	16-31	364
AZ909	psm_only_lfq_other_runs	1	64
AZ909	psm_only_lfq_other_runs	2-3	32
AZ909	psm_only_lfq_other_runs	4-7	11
AZ909	psm_only_lfq_other_runs	>=32	6
AZ909	psm_only_lfq_other_runs	8-15	4
AZ909	psm_only_lfq_other_runs	16-31	3
AZ909	psm_only_never_lfq	1	174
AZ909	psm_only_never_lfq	2-3	160
AZ909	psm_only_never_lfq	4-7	89
AZ909	psm_only_never_lfq	8-15	61
AZ909	psm_only_never_lfq	16-31	47
AZ909	psm_only_never_lfq	>=32	46
AZ906	both	2-3	505
AZ906	both	4-7	485
AZ906	both	8-15	471
AZ906	both	1	436
AZ906	both	>=32	429
AZ906	both	16-31	370
AZ906	psm_only_lfq_other_runs	1	72
