scope	sample_id	quantity	n	min	max	range	span_q01_q99	span_q05_q95	sd	range_log10	span_q01_q99_log10	span_q05_q95_log10
protein_mean_complete8	mean_over_runs	lfq	1648	19.5232	31.5063	11.9832	9.52109	6.62295	2.01505	3.60729	2.86613	1.99371
protein_mean_complete8	mean_over_runs	log2_psm	1648	0.19812	10.9881	10.7899	7.78571	5.73695	1.75143	3.2481	2.34373	1.72699
protein_mean_complete8	mean_over_runs	log2_nsaf	1648	-17.8702	-5.6826	12.1876	8.3147	5.71974	1.78922	3.66883	2.50297	1.72181
per_sample_common_cells	AZ905	lfq	2814	15.899	31.4529	15.5539	11.5037	8.58801	2.60393	4.68219	3.46295	2.58525
per_sample_common_cells	AZ905	log2_psm	2814	0	11.0674	11.0674	8.25678	6.49743	2.08795	3.33163	2.48554	1.95592
per_sample_common_cells	AZ905	log2_nsaf	2814	-20.6952	-5.26534	15.4299	9.73464	7.09532	2.24456	4.64486	2.93042	2.1359
per_sample_common_cells	AZ907	lfq	2601	16.2889	32.2316	15.9427	11.5045	8.31427	2.50624	4.79922	3.46321	2.50285
per_sample_common_cells	AZ907	log2_psm	2601	0	11.4843	11.4843	8.24317	6.49185	2.09422	3.45712	2.48144	1.95424
per_sample_common_cells	AZ907	log2_nsaf	2601	-20.5709	-5.26534	15.3056	9.82392	7.00601	2.24442	4.60744	2.95729	2.10902
per_sample_common_cells	AZ909	lfq	2623	16.7052	31.7651	15.0599	11.2444	8.21233	2.46876	4.53349	3.38491	2.47216
per_sample_common_cells	AZ909	log2_psm	2623	0	10.809	10.809	7.93659	6.35755	2.05255	3.25382	2.38915	1.91381
per_sample_common_cells	AZ909	log2_nsaf	2623	-20.3563	-5.64386	14.7124	9.77544	6.8758	2.20566	4.42887	2.9427	2.06982
per_sample_common_cells	AZ906	lfq	2696	16.1914	31.4188	15.2274	11.4489	8.42033	2.54525	4.5839	3.44645	2.53477
per_sample_common_cells	AZ906	log2_psm	2696	0	11.0244	11.0244	8.20506	6.45114	2.06993	3.31869	2.46997	1.94199
per_sample_common_cells	AZ906	log2_nsaf	2696	-20.5597	-5.71786	14.8419	9.85633	6.91528	2.23929	4.46785	2.96705	2.08171
per_sample_common_cells	AZ908	lfq	2406	17.0168	32.307	15.2902	11.2593	7.78676	2.38067	4.60282	3.3894	2.34405
per_sample_common_cells	AZ908	log2_psm	2406	0	11.4284	11.4284	8.33002	6.43456	2.0878	3.44028	2.50758	1.93699
per_sample_common_cells	AZ908	log2_nsaf	2406	-20.3995	-5.15843	15.2411	10.0172	6.82093	2.22771	4.58802	3.01547	2.0533
per_sample_common_cells	AZ910	lfq	2542	16.1782	31.8048	15.6266	11.3652	8.08171	2.44113	4.70408	3.42127	2.43284
per_sample_common_cells	AZ910	log2_psm	2542	0	10.769	10.769	7.94994	6.35577	2.04867	3.2418	2.39317	1.91328
per_sample_common_cells	AZ910	log2_nsaf	2542	-19.7552	-5.79586	13.9594	9.4468	6.91947	2.20942	4.20219	2.84377	2.08297
per_sample_common_cells	AZ941	lfq	2233	18.1481	31.5783	13.4303	10.9017	7.82184	2.36142	4.04292	3.28175	2.35461
per_sample_common_cells	AZ941	log2_psm	2233	0	10.6294	10.6294	8.4154	6.55459	2.09994	3.19976	2.53329	1.97313
per_sample_common_cells	AZ941	log2_nsaf	2233	-19.7174	-5.96578	13.7517	9.59113	6.68157	2.24952	4.13966	2.88722	2.01135
per_sample_common_cells	AZ942	lfq	2199	18.2881	31.6537	13.3656	10.8444	7.68577	2.3147	4.02345	3.26449	2.31365
per_sample_common_cells	AZ942	log2_psm	2199	0	10.6926	10.6926	8.50414	6.65821	2.12182	3.2188	2.56	2.00432
per_sample_common_cells	AZ942	log2_nsaf	2199	-22.5845	-5.96578	16.6187	9.74292	6.77691	2.28685	5.00272	2.93291	2.04005
