protein_id	entry	sample_id	batch	lfq	n_unique_peptides_msms_run	n_unique_peptides_mbr_run	mbr_intensity_frac_run	n_runs_with_psm_any
psvid_101757_sp|Q9UBY8|CLN8_HUMAN	CLN8_HUMAN	AZ905	B2021-05-06	19.6979	0	1	1	3
psvid_103297_sp|O14957|QCR10_HUMAN	QCR10_HUMAN	AZ905	B2021-05-06	21.933	0	1	1	3
psvid_103831_sp|Q629K1|TRIQK_HUMAN	TRIQK_HUMAN	AZ905	B2021-05-06	21.4764	0	1	1	2
psvid_104292_sp|Q96NZ9|PRAP1_HUMAN	PRAP1_HUMAN	AZ905	B2021-05-06	18.6266	0	1	1	1
psvid_106809_sp|P62310|LSM3_HUMAN	LSM3_HUMAN	AZ905	B2021-05-06	19.7911	0	1	1	3
psvid_160566_sp|Q6V1P9|PCD23_HUMAN	PCD23_HUMAN	AZ905	B2021-05-06	23.0442	0	1	1	1
psvid_166059_sp|Q9Y3P4|RHBD3_HUMAN	RHBD3_HUMAN	AZ905	B2021-05-06	19.1936	0	1	1	2
psvid_19404_sp|Q4G0X4|KCD21_HUMAN	KCD21_HUMAN	AZ905	B2021-05-06	19.1337	0	1	1	4
psvid_23192_sp|Q15042|RB3GP_HUMAN	RB3GP_HUMAN	AZ905	B2021-05-06	19.6596	0	1	1	5
psvid_23563_sp|O75578|ITA10_HUMAN	ITA10_HUMAN	AZ905	B2021-05-06	20.7476	0	1	1	5
psvid_24000_sp|Q9P0L2|MARK1_HUMAN	MARK1_HUMAN	AZ905	B2021-05-06	22.5304	0	1	1	2
psvid_24061_sp|Q9NYQ8|FAT2_HUMAN	FAT2_HUMAN	AZ905	B2021-05-06	20.7196	0	1	1	1
psvid_24287_sp|Q5T011|SZT2_HUMAN	SZT2_HUMAN	AZ905	B2021-05-06	18.7241	0	1	1	5
psvid_24320_sp|O14894|T4S5_HUMAN	T4S5_HUMAN	AZ905	B2021-05-06	17.953	0	1	1	4
psvid_24430_sp|NEDD8_HUMAN|	NEDD8_HUMAN	AZ905	B2021-05-06	20.5315	0	1	1	3
psvid_25075_sp|O14976|GAK_HUMAN	GAK_HUMAN	AZ905	B2021-05-06	20.0501	0	1	1	2
psvid_25469_sp|Q7RTS9|DYM_HUMAN	DYM_HUMAN	AZ905	B2021-05-06	18.9203	0	1	1	2
psvid_25547_sp|Q15361|TTF1_HUMAN	TTF1_HUMAN	AZ905	B2021-05-06	20.5107	0	1	1	3
psvid_25591_sp|Q9Y5H5|PCDA9_HUMAN	PCDA9_HUMAN	AZ905	B2021-05-06	18.5184	0	1	1	1
psvid_25610_sp|P53634|CATC_HUMAN	CATC_HUMAN	AZ905	B2021-05-06	19.5542	0	1	1	5
psvid_25800_sp|Q96S15|WDR24_HUMAN	WDR24_HUMAN	AZ905	B2021-05-06	19.1066	0	1	1	1
psvid_25915_sp|Q86YZ3|HORN_HUMAN	HORN_HUMAN	AZ905	B2021-05-06	18.1074	0	1	1	2
psvid_26897_sp|P62942|FKB1A_HUMAN	FKB1A_HUMAN	AZ905	B2021-05-06	20.6658	0	1	1	4
psvid_29405_sp|O00178|GTPB1_HUMAN	GTPB1_HUMAN	AZ905	B2021-05-06	23.9215	0	1	1	3
psvid_29652_sp|Q96RL7|VP13A_HUMAN	VP13A_HUMAN	AZ905	B2021-05-06	18.597	0	1	1	2
psvid_31334_sp|P46379|BAG6_HUMAN	BAG6_HUMAN	AZ905	B2021-05-06	20.4143	0	1	1	5
psvid_31809_sp|P08123|CO1A2_HUMAN	CO1A2_HUMAN	AZ905	B2021-05-06	20.1527	0	1	1	6
psvid_32779_sp|O95070|YIF1A_HUMAN	YIF1A_HUMAN	AZ905	B2021-05-06	23.3873	0	1	1	5
psvid_33048_sp|O14802|RPC1_HUMAN	RPC1_HUMAN	AZ905	B2021-05-06	22.3848	0	1	1	1
psvid_33137_sp|Q9ULJ3|ZBT21_HUMAN	ZBT21_HUMAN	AZ905	B2021-05-06	22.3117	0	1	1	2
psvid_33230_sp|P52630|STAT2_HUMAN	STAT2_HUMAN	AZ905	B2021-05-06	20.1408	0	1	1	5
psvid_33887_sp|Q9NTI5|PDS5B_HUMAN	PDS5B_HUMAN	AZ905	B2021-05-06	19.1895	0	1	1	2
psvid_33958_sp|Q8TCD5|NT5C_HUMAN	NT5C_HUMAN	AZ905	B2021-05-06	24.4381	0	1	1	5
psvid_34050_sp|Q8IX12|CCAR1_HUMAN	CCAR1_HUMAN	AZ905	B2021-05-06	18.786	0	1	1	2
psvid_34851_sp|Q92539|LPIN2_HUMAN	LPIN2_HUMAN	AZ905	B2021-05-06	21.0622	0	1	1	5
psvid_34974_sp|Q6P9B9|INT5_HUMAN	INT5_HUMAN	AZ905	B2021-05-06	16.7672	0	1	1	2
psvid_35355_sp|Q9UL63|MKLN1_HUMAN	MKLN1_HUMAN	AZ905	B2021-05-06	20.8235	0	1	1	1
psvid_35407_sp|Q96CN5|LRC45_HUMAN	LRC45_HUMAN	AZ905	B2021-05-06	20.0343	0	1	1	2
psvid_35675_sp|P10074|ZBT48_HUMAN	ZBT48_HUMAN	AZ905	B2021-05-06	22.1292	0	1	1	3
psvid_35739_sp|P85299|PRR5_HUMAN	PRR5_HUMAN	AZ905	B2021-05-06	18.6709	0	1	1	1
psvid_35997_sp|O43903|GAS2_HUMAN	GAS2_HUMAN	AZ905	B2021-05-06	20.7055	0	2	1	1
psvid_36023_sp|Q9P0K7|RAI14_HUMAN	RAI14_HUMAN	AZ905	B2021-05-06	20.1491	0	1	1	6
psvid_36474_sp|Q02880|TOP2B_HUMAN	TOP2B_HUMAN	AZ905	B2021-05-06	18.4002	0	1	1	2
psvid_36490_sp|Q8IY26|PLPP6_HUMAN	PLPP6_HUMAN	AZ905	B2021-05-06	22.0297	0	1	1	6
psvid_37710_sp|P46013|KI67_HUMAN	KI67_HUMAN	AZ905	B2021-05-06	18.8115	0	1	1	1
psvid_37739_sp|Q09161|NCBP1_HUMAN	NCBP1_HUMAN	AZ905	B2021-05-06	18.9184	0	1	1	2
psvid_37854_sp|Q8TF47|ZFP90_HUMAN	ZFP90_HUMAN	AZ905	B2021-05-06	22.2212	0	1	1	4
psvid_38033_sp|Q4G0F5|VP26B_HUMAN	VP26B_HUMAN	AZ905	B2021-05-06	20.8472	0	1	1	4
psvid_39526_sp|Q96AN5|TM143_HUMAN	TM143_HUMAN	AZ905	B2021-05-06	20.8348	0	1	1	2
psvid_39830_sp|Q9H489|TSY26_HUMAN	TSY26_HUMAN	AZ905	B2021-05-06	21.3099	0	1	1	2
psvid_40176_sp|A6NIV6|LRIQ4_HUMAN	LRIQ4_HUMAN	AZ905	B2021-05-06	22.5957	0	1	1	5
psvid_40261_sp|A5D6W6|FITM1_HUMAN	FITM1_HUMAN	AZ905	B2021-05-06	19.327	0	1	1	2
psvid_41969_sp|Q8NI27|THOC2_HUMAN	THOC2_HUMAN	AZ905	B2021-05-06	19.9453	0	2	1	5
psvid_42885_sp|Q16647|PTGIS_HUMAN	PTGIS_HUMAN	AZ905	B2021-05-06	21.9734	0	2	1	7
psvid_43076_sp|Q9HA77|SYCM_HUMAN	SYCM_HUMAN	AZ905	B2021-05-06	15.4854	0	1	1	3
psvid_43120_sp|Q9H300|PARL_HUMAN	PARL_HUMAN	AZ905	B2021-05-06	19.1783	0	1	1	2
psvid_43903_sp|P23142|FBLN1_HUMAN	FBLN1_HUMAN	AZ905	B2021-05-06	18.9997	0	1	1	1
psvid_44643_sp|Q86VI4|LAP4B_HUMAN	LAP4B_HUMAN	AZ905	B2021-05-06	22.2124	0	1	1	4
psvid_45541_sp|Q14031|CO4A6_HUMAN	CO4A6_HUMAN	AZ905	B2021-05-06	20.0089	0	1	1	1
psvid_47177_sp|P0C7P0|CISD3_HUMAN	CISD3_HUMAN	AZ905	B2021-05-06	20.0951	0	1	1	4
psvid_49392_sp|O15254|ACOX3_HUMAN	ACOX3_HUMAN	AZ905	B2021-05-06	20.0507	0	1	1	2
psvid_50662_sp|O14737|PDCD5_HUMAN	PDCD5_HUMAN	AZ905	B2021-05-06	17.6349	0	1	1	2
psvid_51096_sp|O14786|NRP1_HUMAN	NRP1_HUMAN	AZ905	B2021-05-06	19.2839	0	1	1	7
psvid_51449_sp|O75718|CRTAP_HUMAN	CRTAP_HUMAN	AZ905	B2021-05-06	21.9257	0	5	1	7
psvid_52281_sp|Q9HBM0|VEZA_HUMAN	VEZA_HUMAN	AZ905	B2021-05-06	20.4837	0	1	1	4
psvid_52524_sp|P35659|DEK_HUMAN	DEK_HUMAN	AZ905	B2021-05-06	20.9832	0	1	1	2
psvid_52567_sp|Q7LBR1|CHM1B_HUMAN	CHM1B_HUMAN	AZ905	B2021-05-06	20.9305	0	1	1	3
psvid_52723_sp|P42685|FRK_HUMAN	FRK_HUMAN	AZ905	B2021-05-06	20.107	0	1	1	4
psvid_52743_sp|Q96F15|GIMA5_HUMAN	GIMA5_HUMAN	AZ905	B2021-05-06	18.8438	0	1	1	3
psvid_53115_sp|Q09327|MGAT3_HUMAN	MGAT3_HUMAN	AZ905	B2021-05-06	22.0034	0	1	1	7
psvid_53119_sp|Q96E22|NGBR_HUMAN	NGBR_HUMAN	AZ905	B2021-05-06	18.9927	0	1	1	3
psvid_53694_sp|Q13263|TIF1B_HUMAN	TIF1B_HUMAN	AZ905	B2021-05-06	19.1944	0	1	1	2
psvid_54356_sp|Q15637|SF01_HUMAN	SF01_HUMAN	AZ905	B2021-05-06	19.5751	0	1	1	1
psvid_55515_sp|P31146|COR1A_HUMAN	COR1A_HUMAN	AZ905	B2021-05-06	18.8715	0	1	1	1
psvid_55942_sp|Q12792|TWF1_HUMAN	TWF1_HUMAN	AZ905	B2021-05-06	19.3506	0	1	1	1
psvid_56928_sp|Q9Y365|STA10_HUMAN	STA10_HUMAN	AZ905	B2021-05-06	22.2852	0	1	1	3
psvid_57041_sp|P04233|HG2A_HUMAN	HG2A_HUMAN	AZ905	B2021-05-06	21.3366	0	1	1	4
psvid_57045_sp|Q32M88|PGGHG_HUMAN	PGGHG_HUMAN	AZ905	B2021-05-06	20.5994	0	1	1	1
psvid_57275_sp|Q15818|NPTX1_HUMAN	NPTX1_HUMAN	AZ905	B2021-05-06	22.1377	0	1	1	2
psvid_57349_sp|Q6PID8|KLD10_HUMAN	KLD10_HUMAN	AZ905	B2021-05-06	18.205	0	1	1	1
psvid_58058_sp|Q16280|CNGA2_HUMAN	CNGA2_HUMAN	AZ905	B2021-05-06	22.0821	0	1	1	2
psvid_58327_sp|Q8WUD6|CHPT1_HUMAN	CHPT1_HUMAN	AZ905	B2021-05-06	21.8824	0	1	1	6
psvid_58331_sp|P15735|PHKG2_HUMAN	PHKG2_HUMAN	AZ905	B2021-05-06	20.2559	0	1	1	5
psvid_59156_sp|Q9Y2S7|PDIP2_HUMAN	PDIP2_HUMAN	AZ905	B2021-05-06	20.0623	0	1	1	2
psvid_60391_sp|Q96CP7|TLCD1_HUMAN	TLCD1_HUMAN	AZ905	B2021-05-06	18.4994	0	1	1	2
psvid_60521_sp|Q9UG63|ABCF2_HUMAN	ABCF2_HUMAN	AZ905	B2021-05-06	21.8474	0	2	1	4
psvid_60919_sp|Q9Y548|YIPF1_HUMAN	YIPF1_HUMAN	AZ905	B2021-05-06	19.5609	0	1	1	3
psvid_61283_sp|Q96PB8|LRC3B_HUMAN	LRC3B_HUMAN	AZ905	B2021-05-06	21.0365	0	1	1	2
psvid_61521_sp|O95562|SFT2B_HUMAN	SFT2B_HUMAN	AZ905	B2021-05-06	20.5175	0	1	1	3
psvid_61820_sp|P15428|PGDH_HUMAN	PGDH_HUMAN	AZ905	B2021-05-06	21.386	0	1	1	3
psvid_61983_sp|Q92522|H1X_HUMAN	H1X_HUMAN	AZ905	B2021-05-06	19.7678	0	1	1	4
psvid_62065_sp|Q9HC58|NCKX3_HUMAN	NCKX3_HUMAN	AZ905	B2021-05-06	18.3866	0	1	1	1
psvid_62390_sp|Q70CQ3|UBP30_HUMAN	UBP30_HUMAN	AZ905	B2021-05-06	17.9261	0	1	1	1
