protein_id	entry	accession	total_psm	max_psm_run	n_runs_with_psm	mean_nsaf	reason	n_unique_peptide_rows	n_unique_quantified	n_shared_peptide_rows	n_shared_quantified	det_MSMS	det_MBR	det_NotDetected	det_MSMSIdentifiedButNotQuantified	det_MSMSAmbiguousPeakfinding	shared_psm_frac	sharing_partners	shares_with_contaminant_entry	flashlfq_nan_token
psvid_103296_sp|Q9UKY3|CES1P_HUMAN	CES1P_HUMAN	Q9UKY3	2719	463	8	0.00625	shared_peptides_only	0	0	14	14	0	0	0	0	0	1	EST1_HUMAN(14)	False	False
psvid_88729_sp|P00167|CYB5_HUMAN	CYB5_HUMAN	P00167	2033	296	8	0.01025	shared_peptides_only	0	0	11	11	0	0	0	0	0	1	CYB5_HUMAN[contaminant](11)	True	False
psvid_62827_sp|Q9HAW7|UD17_HUMAN	UD17_HUMAN	Q9HAW7	1826	333	8	0.002375	shared_peptides_only	0	0	28	28	0	0	0	0	0	1	UD19_HUMAN(28);UD18_HUMAN(27);UD110_HUMAN(24)	False	False
psvid_62823_sp|Q9HAW9|UD18_HUMAN	UD18_HUMAN	Q9HAW9	1785	331	8	0.002375	shared_peptides_only	0	0	28	28	0	0	0	0	0	1	UD19_HUMAN(28);UD17_HUMAN(27);UD110_HUMAN(24)	False	False
psvid_42124_sp|Q9HAW8|UD110_HUMAN	UD110_HUMAN	Q9HAW8	1662	304	8	0.002	shared_peptides_only	0	0	24	24	0	0	0	0	0	1	UD17_HUMAN(24);UD18_HUMAN(24);UD19_HUMAN(24)	False	False
psvid_40983_sp|P04350|TBB4A_HUMAN	TBB4A_HUMAN	P04350	1450	234	8	0.002125	unique_peptides_never_quantified	1	0	32	32	0	0	4	0	4	0.997241	TBB4B_HUMAN(31);TBB5_HUMAN(28);TBB2B_HUMAN(22)	False	False
psvid_22585_sp|Q9BVA1|TBB2B_HUMAN	TBB2B_HUMAN	Q9BVA1	1349	219	8	0.002125	shared_peptides_only	0	0	37	37	0	0	0	0	0	1	TBB2A_HUMAN(36);TBB4B_HUMAN(30);TBB5_HUMAN(30)	False	False
psvid_79043_sp|P68363|TBA1B_HUMAN	TBA1B_HUMAN	P68363	1336	192	8	0.002	shared_peptides_only	0	0	39	38	0	0	0	0	0	1	TBA1A_HUMAN(35);TBA1C_HUMAN(30);TBA4A_HUMAN(27)	False	False
psvid_7061_sp|P63261|ACTG_HUMAN	ACTG_HUMAN	P63261	1294	260	8	0.002375	shared_peptides_only	0	0	32	31	0	0	0	0	0	1	ACTB_HUMAN(32);ACTC_HUMAN(15);ACTS_HUMAN(15)	False	False
psvid_7063_sp|P60709|ACTB_HUMAN	ACTB_HUMAN	P60709	1294	260	8	0.002375	shared_peptides_only	0	0	32	31	0	0	0	0	0	1	ACTG_HUMAN(32);ACTC_HUMAN(15);ACTS_HUMAN(15)	False	False
psvid_26242_sp|P02787|TRFE_HUMAN	TRFE_HUMAN	P02787	1198	181	8	0.000973375	shared_peptides_only	0	0	65	62	0	0	0	0	0	1	TRFE_HUMAN[contaminant](65)	True	False
psvid_8301_sp|Q71U36|TBA1A_HUMAN	TBA1A_HUMAN	Q71U36	1158	164	8	0.001875	shared_peptides_only	0	0	39	37	0	0	0	0	0	1	TBA1B_HUMAN(35);TBA1C_HUMAN(32);TBA3C_HUMAN(27)	False	False
psvid_34681_sp|P0DPH7|TBA3C_HUMAN	TBA3C_HUMAN	P0DPH7	942	147	8	0.00125	shared_peptides_only	0	0	27	26	0	0	0	0	0	1	TBA1A_HUMAN(27);TBA1B_HUMAN(23);TBA1C_HUMAN(22)	False	False
psvid_34265_sp|Q3ZCM7|TBB8_HUMAN	TBB8_HUMAN	Q3ZCM7	815	132	8	0.0011235	shared_peptides_only	0	0	18	17	0	0	0	0	0	1	TBB8B_HUMAN(17);TBB4B_HUMAN(16);TBB4A_HUMAN(15)	False	False
psvid_34264_sp|A6NNZ2|TBB8B_HUMAN	TBB8B_HUMAN	A6NNZ2	776	127	8	0.00111025	shared_peptides_only	0	0	17	16	0	0	0	0	0	1	TBB8_HUMAN(17);TBB4B_HUMAN(15);TBB5_HUMAN(15)	False	False
psvid_34682_sp|Q6PEY2|TBA3E_HUMAN	TBA3E_HUMAN	Q6PEY2	773	123	8	0.000995625	shared_peptides_only	0	0	20	19	0	0	0	0	0	1	TBA1A_HUMAN(20);TBA3C_HUMAN(20);TBA1B_HUMAN(16)	False	False
psvid_34685_sp|Q9NY65|TBA8_HUMAN	TBA8_HUMAN	Q9NY65	670	103	8	0.0009635	shared_peptides_only	0	0	17	16	0	0	0	0	0	1	TBA1A_HUMAN(16);TBA1C_HUMAN(16);TBA3C_HUMAN(16)	False	False
psvid_30671_sp|P04040|CATA_HUMAN	CATA_HUMAN	P04040	640	106	8	0.000804	shared_peptides_only	0	0	38	38	0	0	0	0	0	1	CATA_HUMAN[contaminant](38)	True	False
psvid_9914_sp|P68032|ACTC_HUMAN	ACTC_HUMAN	P68032	612	101	8	0.0009465	shared_peptides_only	0	0	26	26	0	0	0	0	0	1	ACTA_HUMAN(24);ACTS_HUMAN(24);ACTH_HUMAN(23)	False	False
psvid_9911_sp|P68133|ACTS_HUMAN	ACTS_HUMAN	P68133	600	99	8	0.000944625	shared_peptides_only	0	0	24	24	0	0	0	0	0	1	ACTC_HUMAN(24);ACTA_HUMAN(22);ACTH_HUMAN(21)	False	False
psvid_9913_sp|P62736|ACTA_HUMAN	ACTA_HUMAN	P62736	588	99	8	0.000928	shared_peptides_only	0	0	25	25	0	0	0	0	0	1	ACTC_HUMAN(24);ACTH_HUMAN(24);ACTS_HUMAN(22)	False	False
psvid_9912_sp|P63267|ACTH_HUMAN	ACTH_HUMAN	P63267	580	97	8	0.000923375	shared_peptides_only	0	0	24	24	0	0	0	0	0	1	ACTA_HUMAN(24);ACTC_HUMAN(23);ACTS_HUMAN(21)	False	False
psvid_76282_sp|P49448|DHE4_HUMAN	DHE4_HUMAN	P49448	564	105	8	0.000681125	shared_peptides_only	0	0	22	22	0	0	0	0	0	1	DHE3_HUMAN(22);DHE3_BOVIN[contaminant](18)	True	False
psvid_32630_sp|Q6S8J3|POTEE_HUMAN	POTEE_HUMAN	Q6S8J3	563	129	8	0.00034575	shared_peptides_only	0	0	9	9	0	0	0	0	0	1	ACTB_HUMAN(8);ACTG_HUMAN(8);POTEF_HUMAN(7)	False	False
psvid_59806_sp|Q5VTE0|EF1A3_HUMAN	EF1A3_HUMAN	Q5VTE0	479	77	8	0.00070225	shared_peptides_only	0	0	25	24	0	0	0	0	0	1	EF1A1_HUMAN(25);EF1A2_HUMAN(9)	False	False
psvid_1210968_sp|A0A8I5KQE6|RPSA2_HUMAN	RPSA2_HUMAN	A0A8I5KQE6	444	81	8	0.00091175	shared_peptides_only	0	0	14	14	0	0	0	0	0	1	RSSA_HUMAN(14)	False	False
psvid_34733_sp|P69849|NOMO3_HUMAN	NOMO3_HUMAN	P69849	442	69	8	0.00024525	shared_peptides_only	0	0	46	44	0	0	0	0	0	1	NOMO2_HUMAN(46);NOMO1_HUMAN(44)	False	False
psvid_34735_sp|Q5JPE7|NOMO2_HUMAN	NOMO2_HUMAN	Q5JPE7	442	69	8	0.000236375	shared_peptides_only	0	0	46	44	0	0	0	0	0	1	NOMO3_HUMAN(46);NOMO1_HUMAN(44)	False	False
psvid_64823_sp|Q8NHW5|RLA0L_HUMAN	RLA0L_HUMAN	Q8NHW5	373	60	8	0.000785875	shared_peptides_only	0	0	16	15	0	0	0	0	0	1	RLA0_HUMAN(16)	False	False
psvid_42939_sp|O75310|UDB11_HUMAN	UDB11_HUMAN	O75310	372	57	8	0.000474	shared_peptides_only	0	0	14	14	0	0	0	0	0	1	UDB10_HUMAN(11);UDB28_HUMAN(8);UDB15_HUMAN(4)	False	False
psvid_88046_sp|P08263|GSTA1_HUMAN	GSTA1_HUMAN	P08263	369	58	8	0.000984375	shared_peptides_only	0	0	16	16	0	0	0	0	0	1	GSTA1_HUMAN[contaminant](16);GSTA2_HUMAN(14);GSTA3_HUMAN(6)	True	False
psvid_63673_sp|P09210|GSTA2_HUMAN	GSTA2_HUMAN	P09210	362	58	8	0.000981	shared_peptides_only	0	0	14	14	0	0	0	0	0	1	GSTA1_HUMAN(14);GSTA1_HUMAN[contaminant](14);GSTA3_HUMAN(6)	True	False
psvid_33160_sp|P68871|HBB_HUMAN	HBB_HUMAN	P68871	357	88	8	0.00148637	shared_peptides_only	0	0	15	15	0	0	0	0	0	1	HBB_HUMAN[contaminant](15);HBD_HUMAN(6);HBE_HUMAN(1)	True	False
psvid_27468_sp|P53675|CLH2_HUMAN	CLH2_HUMAN	P53675	355	55	8	0.000147	unique_peptides_never_quantified	1	0	26	25	0	0	6	2	0	0.991549	CLH1_HUMAN(26)	False	False
psvid_29358_sp|P69905|HBA_HUMAN	HBA_HUMAN	P69905	330	88	8	0.0014695	shared_peptides_only	0	0	13	13	0	0	0	0	0	1	HBA_HUMAN[contaminant](13);HBAZ_HUMAN(1)	True	False
psvid_25483_sp|P00441|SODC_HUMAN	SODC_HUMAN	P00441	320	46	8	0.001375	shared_peptides_only	0	0	12	12	0	0	0	0	0	1	SODC_HUMAN[contaminant](12)	True	False
psvid_75228_sp|Q6IS14|IF5AL_HUMAN	IF5AL_HUMAN	Q6IS14	308	60	8	0.00134625	shared_peptides_only	0	0	9	9	0	0	0	0	0	1	IF5A1_HUMAN(9);IF5A2_HUMAN(4)	False	False
psvid_25369_sp|O14983|AT2A1_HUMAN	AT2A1_HUMAN	O14983	294	44	8	0.00019925	shared_peptides_only	0	0	19	18	0	0	0	0	0	1	AT2A2_HUMAN(19);AT2A3_HUMAN(8)	False	False
psvid_85825_sp|P62937|PPIA_HUMAN	PPIA_HUMAN	P62937	292	42	8	0.0009995	shared_peptides_only	0	0	11	11	0	0	0	0	0	1	PPIA_HUMAN[contaminant](11);PAL4A_HUMAN(2);PAL4C_HUMAN(1)	True	False
psvid_39366_sp|P17066|HSP76_HUMAN	HSP76_HUMAN	P17066	265	41	8	0.000278375	shared_peptides_only	0	0	11	11	0	0	0	0	0	1	HS71A_HUMAN(10);HS71L_HUMAN(6);HSP77_HUMAN(6)	False	False
psvid_64115_sp|Q9HB55|CP343_HUMAN	CP343_HUMAN	Q9HB55	241	51	8	0.00032475	unique_peptides_never_quantified	2	0	3	3	0	0	9	7	0	0.970954	CP3A4_HUMAN(3);CP3A7_HUMAN(2);CP3A5_HUMAN(1)	False	False
psvid_51143_sp|Q16772|GSTA3_HUMAN	GSTA3_HUMAN	Q16772	235	42	8	0.000707375	shared_peptides_only	0	0	6	6	0	0	0	0	0	1	GSTA1_HUMAN(6);GSTA1_HUMAN[contaminant](6);GSTA2_HUMAN(6)	True	False
psvid_83767_sp|Q9H853|TBA4B_HUMAN	TBA4B_HUMAN	Q9H853	230	37	8	0.000641875	shared_peptides_only	0	0	2	2	0	0	0	0	0	1	TBA1B_HUMAN(2);TBA1C_HUMAN(2);TBA4A_HUMAN(2)	False	False
psvid_32028_sp|A6NMY6|AXA2L_HUMAN	AXA2L_HUMAN	A6NMY6	224	35	8	0.000445125	shared_peptides_only	0	0	17	17	0	0	0	0	0	1	ANXA2_HUMAN(17)	False	False
psvid_32631_sp|A5A3E0|POTEF_HUMAN	POTEF_HUMAN	A5A3E0	211	31	8	0.000131837	shared_peptides_only	0	0	7	7	0	0	0	0	0	1	POTEE_HUMAN(7);ACTB_HUMAN(6);ACTG_HUMAN(6)	False	False
psvid_30112_sp|P98187|CP4F8_HUMAN	CP4F8_HUMAN	P98187	205	30	8	0.000266625	shared_peptides_only	0	0	11	11	0	0	0	0	0	1	CP4F3_HUMAN(8);CP4F2_HUMAN(7);CP4FC_HUMAN(5)	False	False
psvid_30063_sp|B5ME19|EIFCL_HUMAN	EIFCL_HUMAN	B5ME19	200	33	8	0.000147912	shared_peptides_only	0	0	23	18	0	0	0	0	0	1	EIF3C_HUMAN(23)	False	False
psvid_59807_sp|Q05639|EF1A2_HUMAN	EF1A2_HUMAN	Q05639	197	32	8	0.000288375	shared_peptides_only	0	0	9	9	0	0	0	0	0	1	EF1A1_HUMAN(9);EF1A3_HUMAN(9)	False	False
psvid_26964_sp|Q93084|AT2A3_HUMAN	AT2A3_HUMAN	Q93084	194	31	8	0.000131737	shared_peptides_only	0	0	14	13	0	0	0	0	0	1	AT2A2_HUMAN(14);AT2A1_HUMAN(8)	False	False
psvid_89779_sp|Q6NVV1|R13P3_HUMAN	R13P3_HUMAN	Q6NVV1	189	31	8	0.001	shared_peptides_only	0	0	6	6	0	0	0	0	0	1	RL13A_HUMAN(6)	False	False
psvid_18614_sp|P62987|RL40_HUMAN	RL40_HUMAN	P62987	184	33	8	0.00084175	shared_peptides_only	0	0	6	6	0	0	0	0	0	1	RS27A_HUMAN(6);UBB_HUMAN(6);UBC_HUMAN(6)	False	False
psvid_34274_sp|P0CG47|UBB_HUMAN	UBB_HUMAN	P0CG47	184	33	8	0.0005415	shared_peptides_only	0	0	6	6	0	0	0	0	0	1	RL40_HUMAN(6);RS27A_HUMAN(6);UBC_HUMAN(6)	False	False
psvid_34279_sp|P0CG48|UBC_HUMAN	UBC_HUMAN	P0CG48	184	33	8	0.000181175	shared_peptides_only	0	0	6	6	0	0	0	0	0	1	RL40_HUMAN(6);RS27A_HUMAN(6);UBB_HUMAN(6)	False	False
psvid_79079_sp|P08758|ANXA5_HUMAN	ANXA5_HUMAN	P08758	183	39	8	0.00039075	shared_peptides_only	0	0	22	21	0	0	0	0	0	1	ANXA5_HUMAN[contaminant](22)	True	False
psvid_50687_sp|Q2VIR3|IF2GL_HUMAN	IF2GL_HUMAN	Q2VIR3	179	29	8	0.000257375	shared_peptides_only	0	0	16	16	0	0	0	0	0	1	IF2G_HUMAN(16)	False	False
psvid_39364_sp|P48741|HSP77_HUMAN	HSP77_HUMAN	P48741	177	26	8	0.00032575	shared_peptides_only	0	0	6	6	0	0	0	0	0	1	HS71A_HUMAN(6);HSP76_HUMAN(6);HS71L_HUMAN(3)	False	False
psvid_680_sp|A0A087X1C5|CP2D7_HUMAN	CP2D7_HUMAN	A0A087X1C5	177	52	4	0.00047875	shared_peptides_only	0	0	17	17	0	0	0	0	0	1	CP2D6_HUMAN(17)	False	False
psvid_61721_sp|P13637|AT1A3_HUMAN	AT1A3_HUMAN	P13637	167	26	8	0.00011085	shared_peptides_only	0	0	14	14	0	0	0	0	0	1	AT1A1_HUMAN(14);AT1A2_HUMAN(11);AT1A4_HUMAN(5)	False	False
psvid_72761_sp|Q58FF3|ENPLL_HUMAN	ENPLL_HUMAN	Q58FF3	166	24	8	0.00028175	shared_peptides_only	0	0	12	12	0	0	0	0	0	1	ENPL_HUMAN(12)	False	False
psvid_52603_sp|P50993|AT1A2_HUMAN	AT1A2_HUMAN	P50993	160	25	8	0.000105638	shared_peptides_only	0	0	13	13	0	0	0	0	0	1	AT1A1_HUMAN(13);AT1A3_HUMAN(11);AT1A4_HUMAN(6)	False	False
psvid_39531_sp|Q9BYX7|ACTBM_HUMAN	ACTBM_HUMAN	Q9BYX7	157	24	8	0.000281	shared_peptides_only	0	0	4	4	0	0	0	0	0	1	ACTB_HUMAN(4);ACTG_HUMAN(4);POTEE_HUMAN(4)	False	False
psvid_57820_sp|A6NIZ1|RP1BL_HUMAN	RP1BL_HUMAN	A6NIZ1	156	23	8	0.000570875	shared_peptides_only	0	0	10	10	0	0	0	0	0	1	RAP1B_HUMAN(10);RAP1A_HUMAN(7);RAB3D_HUMAN(1)	False	False
psvid_25700_sp|P84077|ARF1_HUMAN	ARF1_HUMAN	P84077	153	23	8	0.000572625	shared_peptides_only	0	0	11	11	0	0	0	0	0	1	ARF3_HUMAN(11);ARF5_HUMAN(6);ARF4_HUMAN(5)	False	False
psvid_8581_sp|P61204|ARF3_HUMAN	ARF3_HUMAN	P61204	153	23	8	0.000572625	shared_peptides_only	0	0	11	11	0	0	0	0	0	1	ARF1_HUMAN(11);ARF5_HUMAN(6);ARF4_HUMAN(5)	False	False
psvid_47967_sp|Q58FF7|H90B3_HUMAN	H90B3_HUMAN	Q58FF7	147	29	8	0.000164963	shared_peptides_only	0	0	14	14	0	0	0	0	0	1	HS90B_HUMAN(14);HS90A_HUMAN(8);H90B4_HUMAN(4)	False	False
psvid_44504_sp|Q9GZV4|IF5A2_HUMAN	IF5A2_HUMAN	Q9GZV4	143	24	8	0.0006335	shared_peptides_only	0	0	5	5	0	0	0	0	0	1	IF5A1_HUMAN(5);IF5AL_HUMAN(4)	False	False
psvid_48118_sp|Q6FI13|H2A2A_HUMAN	H2A2A_HUMAN	Q6FI13	143	34	8	0.000691375	shared_peptides_only	0	0	7	7	0	0	0	0	0	1	H2A2C_HUMAN(7);H2A1D_HUMAN(5);H2A1H_HUMAN(5)	False	False
psvid_48129_sp|Q16777|H2A2C_HUMAN	H2A2C_HUMAN	Q16777	143	34	8	0.000695875	shared_peptides_only	0	0	7	7	0	0	0	0	0	1	H2A2A_HUMAN(7);H2A1D_HUMAN(5);H2A1H_HUMAN(5)	False	False
psvid_26879_sp|Q5JWF2|GNAS1_HUMAN	GNAS1_HUMAN	Q5JWF2	142	34	8	9.05875e-05	shared_peptides_only	0	0	17	17	0	0	0	0	0	1	GNAS2_HUMAN(17);GNAL_HUMAN(4);GNA12_HUMAN(1)	False	False
psvid_49941_sp|P63092|GNAS2_HUMAN	GNAS2_HUMAN	P63092	142	34	8	0.000238625	shared_peptides_only	0	0	17	17	0	0	0	0	0	1	GNAS1_HUMAN(17);GNAL_HUMAN(4);GNA12_HUMAN(1)	False	False
psvid_12939_sp|Q5QNW6|H2B2F_HUMAN	H2B2F_HUMAN	Q5QNW6	141	24	8	0.0007505	shared_peptides_only	0	0	8	7	0	0	0	0	0	1	H2B1C_HUMAN(8);H2B1D_HUMAN(8);H2B1H_HUMAN(8)	False	False
psvid_12944_sp|P58876|H2B1D_HUMAN	H2B1D_HUMAN	P58876	141	24	8	0.0007505	shared_peptides_only	0	0	8	7	0	0	0	0	0	1	H2B1C_HUMAN(8);H2B1H_HUMAN(8);H2B1K_HUMAN(8)	False	False
psvid_12946_sp|Q99877|H2B1N_HUMAN	H2B1N_HUMAN	Q99877	141	24	8	0.0007505	shared_peptides_only	0	0	8	7	0	0	0	0	0	1	H2B1C_HUMAN(8);H2B1D_HUMAN(8);H2B1H_HUMAN(8)	False	False
