comparison	set	estimator	slope	ci_low	ci_high	intercept	n_points	n_proteins	deming_lambda	reliability_x	r_pearson
lfq_vs_psm	protein_mean_complete8	ols_y_on_x	0.769333	0.74681	0.790545	-15.3641	1648	1648	1.71836	0.992522	0.885127
lfq_vs_psm	protein_mean_complete8	inverse_ols_x_on_y	0.981981	0.950267	1.01621	-20.6499	1648	1648	1.71836	0.992522	0.885127
lfq_vs_psm	protein_mean_complete8	sma	0.869178	0.848236	0.889884	-17.846	1648	1648	1.71836	0.992522	0.885127
lfq_vs_psm	protein_mean_complete8	orthogonal	0.853626	0.830858	0.876287	-17.4594	1648	1648	1.71836	0.992522	0.885127
lfq_vs_psm	protein_mean_complete8	deming	0.826781	0.804918	0.847509	-16.7921	1648	1648	1.71836	0.992522	0.885127
lfq_vs_psm	protein_mean_complete8	ols_attenuation_corrected	0.775129	0.752437	0.796502	-15.5082	1648	1648	1.71836	0.992522	0.885127
lfq_vs_psm	protein_mean_complete8_meanpsm_ge8	ols_y_on_x	0.653828	0.614972	0.693411	-12.2064	1109	1109	1.71836	0.989627	0.811029
lfq_vs_psm	protein_mean_complete8_meanpsm_ge8	inverse_ols_x_on_y	0.994011	0.942431	1.05244	-20.9791	1109	1109	1.71836	0.989627	0.811029
lfq_vs_psm	protein_mean_complete8_meanpsm_ge8	sma	0.806171	0.77714	0.837613	-16.135	1109	1109	1.71836	0.989627	0.811029
lfq_vs_psm	protein_mean_complete8_meanpsm_ge8	orthogonal	0.767496	0.730872	0.806157	-15.1377	1109	1109	1.71836	0.989627	0.811029
lfq_vs_psm	protein_mean_complete8_meanpsm_ge8	deming	0.727586	0.690715	0.765928	-14.1085	1109	1109	1.71836	0.989627	0.811029
lfq_vs_psm	protein_mean_complete8_meanpsm_ge8	ols_attenuation_corrected	0.660681	0.621418	0.700679	-12.3831	1109	1109	1.71836	0.989627	0.811029
lfq_vs_psm	pooled_cells_all_common	ols_y_on_x	0.726386	0.713933	0.739638	-14.3673	20114	3414	1.71836	0.960263	0.862376
lfq_vs_psm	pooled_cells_all_common	inverse_ols_x_on_y	0.976729	0.955083	1.00021	-20.3062	20114	3414	1.71836	0.960263	0.862376
lfq_vs_psm	pooled_cells_all_common	sma	0.842308	0.829183	0.855874	-17.1173	20114	3414	1.71836	0.960263	0.862376
lfq_vs_psm	pooled_cells_all_common	orthogonal	0.819824	0.805682	0.834348	-16.5839	20114	3414	1.71836	0.960263	0.862376
lfq_vs_psm	pooled_cells_all_common	deming	0.788999	0.776063	0.802698	-15.8527	20114	3414	1.71836	0.960263	0.862376
lfq_vs_psm	pooled_cells_all_common	ols_attenuation_corrected	0.756445	0.743476	0.770246	-15.0804	20114	3414	1.71836	0.960263	0.862376
lfq_vs_nsaf	protein_mean_complete8	ols_y_on_x	0.682193	0.655527	0.711059	-29.2945	1648	1648	1.65422	0.992522	0.768296
lfq_vs_nsaf	protein_mean_complete8	inverse_ols_x_on_y	1.15571	1.10672	1.21236	-41.0648	1648	1648	1.65422	0.992522	0.768296
lfq_vs_nsaf	protein_mean_complete8	sma	0.88793	0.861283	0.917579	-34.4085	1648	1648	1.65422	0.992522	0.768296
lfq_vs_nsaf	protein_mean_complete8	orthogonal	0.856878	0.823962	0.893308	-33.6367	1648	1648	1.65422	0.992522	0.768296
lfq_vs_nsaf	protein_mean_complete8	deming	0.799618	0.768397	0.832672	-32.2134	1648	1648	1.65422	0.992522	0.768296
lfq_vs_nsaf	protein_mean_complete8	ols_attenuation_corrected	0.687333	0.660466	0.716416	-29.4223	1648	1648	1.65422	0.992522	0.768296
lfq_vs_nsaf	protein_mean_complete8_meanpsm_ge8	ols_y_on_x	0.601312	0.556642	0.646188	-27.0735	1109	1109	1.65422	0.989627	0.68129
lfq_vs_nsaf	protein_mean_complete8_meanpsm_ge8	inverse_ols_x_on_y	1.2955	1.21109	1.3964	-44.9753	1109	1109	1.65422	0.989627	0.68129
lfq_vs_nsaf	protein_mean_complete8_meanpsm_ge8	sma	0.882609	0.842242	0.926725	-34.3276	1109	1109	1.65422	0.989627	0.68129
lfq_vs_nsaf	protein_mean_complete8_meanpsm_ge8	orthogonal	0.832979	0.778116	0.89515	-33.0478	1109	1109	1.65422	0.989627	0.68129
lfq_vs_nsaf	protein_mean_complete8_meanpsm_ge8	deming	0.750028	0.698836	0.804959	-30.9086	1109	1109	1.65422	0.989627	0.68129
lfq_vs_nsaf	protein_mean_complete8_meanpsm_ge8	ols_attenuation_corrected	0.607615	0.562477	0.652962	-27.236	1109	1109	1.65422	0.989627	0.68129
lfq_vs_nsaf	pooled_cells_all_common	ols_y_on_x	0.708018	0.692018	0.723839	-30.0922	20114	3414	1.65422	0.960263	0.781248
lfq_vs_nsaf	pooled_cells_all_common	inverse_ols_x_on_y	1.16002	1.12551	1.1962	-40.8152	20114	3414	1.65422	0.960263	0.781248
lfq_vs_nsaf	pooled_cells_all_common	sma	0.906265	0.889295	0.924074	-34.7953	20114	3414	1.65422	0.960263	0.781248
lfq_vs_nsaf	pooled_cells_all_common	orthogonal	0.881745	0.861193	0.903392	-34.2136	20114	3414	1.65422	0.960263	0.781248
lfq_vs_nsaf	pooled_cells_all_common	deming	0.826088	0.807576	0.844832	-32.8932	20114	3414	1.65422	0.960263	0.781248
lfq_vs_nsaf	pooled_cells_all_common	ols_attenuation_corrected	0.737317	0.720655	0.753793	-30.7873	20114	3414	1.65422	0.960263	0.781248
