comparison	method	mean_psm_bin	n_proteins	median_r	mean_r	indep_null_median_q025	indep_null_median_q975	median_lfq_sd_runs	median_log2_psm_sd_runs
lfq_vs_psm_raw	spearman	1	30	0.315083	0.167087	-0.173753	0.182574	0.460011	0.62645
lfq_vs_psm_raw	spearman	2-3	176	0.395605	0.341973	-0.0685338	0.0757075	0.423405	0.810488
lfq_vs_psm_raw	spearman	4-7	333	0.54912	0.449593	-0.0497558	0.052114	0.386467	0.63672
lfq_vs_psm_raw	spearman	8-15	381	0.634742	0.527415	-0.048352	0.0491029	0.395477	0.499399
lfq_vs_psm_raw	spearman	16-31	345	0.690476	0.601187	-0.0491029	0.0481963	0.379903	0.387938
lfq_vs_psm_raw	spearman	>=32	383	0.761905	0.68028	-0.047619	0.047619	0.370138	0.316249
lfq_vs_psm_raw	pearson	1	30	0.21002	0.177788	-0.217484	0.169894	0.460011	0.62645
lfq_vs_psm_raw	pearson	2-3	176	0.388548	0.351976	-0.0868743	0.0745988	0.423405	0.810488
lfq_vs_psm_raw	pearson	4-7	333	0.598465	0.485807	-0.0594944	0.0481137	0.386467	0.63672
lfq_vs_psm_raw	pearson	8-15	381	0.691223	0.572918	-0.0549352	0.0510364	0.395477	0.499399
lfq_vs_psm_raw	pearson	16-31	345	0.790315	0.659535	-0.0567128	0.0495584	0.379903	0.387938
lfq_vs_psm_raw	pearson	>=32	383	0.852332	0.754924	-0.059335	0.0515981	0.370138	0.316249
lfq_vs_psm_runnorm	spearman	1	30	0.22619	0.153175	-0.184821	0.166667	0.460011	0.62645
lfq_vs_psm_runnorm	spearman	2-3	176	0.380952	0.329545	-0.0714286	0.0776786	0.423405	0.810488
lfq_vs_psm_runnorm	spearman	4-7	333	0.547619	0.47005	-0.047619	0.047619	0.386467	0.63672
lfq_vs_psm_runnorm	spearman	8-15	381	0.619048	0.52206	-0.047619	0.047619	0.395477	0.499399
lfq_vs_psm_runnorm	spearman	16-31	345	0.714286	0.6196	-0.047619	0.047619	0.379903	0.387938
lfq_vs_psm_runnorm	spearman	>=32	383	0.761905	0.668221	-0.047619	0.047619	0.370138	0.316249
lfq_vs_psm_runnorm	pearson	1	30	0.241349	0.185958	-0.175904	0.1851	0.460011	0.62645
lfq_vs_psm_runnorm	pearson	2-3	176	0.402145	0.351069	-0.0839365	0.0753377	0.423405	0.810488
lfq_vs_psm_runnorm	pearson	4-7	333	0.618105	0.508591	-0.0620227	0.0464204	0.386467	0.63672
lfq_vs_psm_runnorm	pearson	8-15	381	0.712316	0.573207	-0.0583116	0.0476934	0.395477	0.499399
lfq_vs_psm_runnorm	pearson	16-31	345	0.788505	0.678257	-0.065056	0.047362	0.379903	0.387938
lfq_vs_psm_runnorm	pearson	>=32	383	0.826415	0.73456	-0.0608311	0.0467042	0.370138	0.316249
lfq_vs_nsaf	spearman	1	30	0.285714	0.182212	-0.16406	0.178759	0.460011	0.62645
lfq_vs_nsaf	spearman	2-3	176	0.392857	0.33123	-0.0715412	0.0714286	0.423405	0.810488
lfq_vs_nsaf	spearman	4-7	333	0.547619	0.466587	-0.047619	0.047619	0.386467	0.63672
lfq_vs_nsaf	spearman	8-15	381	0.619048	0.529437	-0.047619	0.047619	0.395477	0.499399
lfq_vs_nsaf	spearman	16-31	345	0.714286	0.620509	-0.047619	0.047619	0.379903	0.387938
lfq_vs_nsaf	spearman	>=32	375	0.761905	0.683058	-0.0480579	0.0477692	0.377572	0.320154
lfq_vs_nsaf	pearson	1	30	0.277742	0.189843	-0.180004	0.188452	0.460011	0.62645
lfq_vs_nsaf	pearson	2-3	176	0.416269	0.351375	-0.0853344	0.0730923	0.423405	0.810488
lfq_vs_nsaf	pearson	4-7	333	0.620229	0.505017	-0.0633435	0.0488136	0.386467	0.63672
lfq_vs_nsaf	pearson	8-15	381	0.707628	0.576182	-0.0559507	0.0501566	0.395477	0.499399
lfq_vs_nsaf	pearson	16-31	345	0.787388	0.674181	-0.0622405	0.057901	0.379903	0.387938
lfq_vs_nsaf	pearson	>=32	375	0.81298	0.723966	-0.0626287	0.049033	0.377572	0.320154
