comparison	method	n_proteins	n_constant_dropped	mean_r	median_r	frac_r_positive	global_null_mean	global_null_q025	global_null_q975	global_perm_p_one_sided	global_perm_p_two_sided	global_n_perm	indep_null_mean_q025	indep_null_mean_q975	indep_null_median_q025	indep_null_median_q975	indep_perm_p_two_sided	indep_n_perm	n_protein_q_lt_0.05	n_protein_q_lt_0.10	n_protein_p_lt_0.05	correction_per_protein
lfq_vs_psm_raw	spearman	1648	0	0.536296	0.642857	0.897451	1.69177e-17	-0.203161	0.254989	4.96032e-05	4.96032e-05	40320	-0.0182496	0.0181929	-0.0240981	0.0240981	0.00049975	2000	267	543	672	exact permutation p (all 8! run relabelings) per protein; BH over proteins within comparison x method
lfq_vs_psm_raw	pearson	1648	0	0.584959	0.714141	0.910801	0	-0.218805	0.279632	2.48016e-05	2.48016e-05	40320	-0.0176605	0.018271	-0.0295333	0.0204419	0.00049975	2000	603	845	842	exact permutation p (all 8! run relabelings) per protein; BH over proteins within comparison x method
lfq_vs_psm_runnorm	spearman	1648	0	0.538663	0.619048	0.898058	3.52452e-18	-0.208782	0.259157	4.96032e-05	4.96032e-05	40320	-0.0180224	0.0187545	-0.0238095	0.0238095	0.00049975	2000	277	607	664	exact permutation p (all 8! run relabelings) per protein; BH over proteins within comparison x method
lfq_vs_psm_runnorm	pearson	1648	0	0.588868	0.714406	0.906553	-9.86865e-18	-0.224286	0.2853	2.48016e-05	2.48016e-05	40320	-0.0184484	0.0187617	-0.0311605	0.0215647	0.00049975	2000	618	854	846	exact permutation p (all 8! run relabelings) per protein; BH over proteins within comparison x method
lfq_vs_nsaf	spearman	1640	8	0.543338	0.642857	0.901829	2.11471e-17	-0.207351	0.258801	4.96032e-05	4.96032e-05	40320	-0.0175795	0.0187309	-0.0238095	0.0238095	0.00049975	2000	287	529	673	exact permutation p (all 8! run relabelings) per protein; BH over proteins within comparison x method
lfq_vs_nsaf	pearson	1640	8	0.584947	0.709024	0.907927	4.93432e-18	-0.220253	0.280898	2.48016e-05	2.48016e-05	40320	-0.0184426	0.0187397	-0.0314821	0.0193881	0.00049975	2000	548	833	830	exact permutation p (all 8! run relabelings) per protein; BH over proteins within comparison x method
lfq_vs_psm_raw	pearson_within_pair	1640	8	0.118923	0.163593	0.584146	0	-0.115626	0.115626	0.0625	0.125	16										exact permutation p (all 8! run relabelings) per protein; BH over proteins within comparison x method
lfq_vs_psm_raw	pearson_between_pair_means	1648	0	0.669096	0.852795	0.908374	-1.85037e-17	-0.325015	0.474848	0.0416667	0.0416667	24										exact permutation p (all 8! run relabelings) per protein; BH over proteins within comparison x method
lfq_vs_psm_runnorm	pearson_within_pair	1648	0	0.0766901	0.105717	0.567354	0	-0.0736909	0.0736909	0.0625	0.125	16										exact permutation p (all 8! run relabelings) per protein; BH over proteins within comparison x method
lfq_vs_psm_runnorm	pearson_between_pair_means	1648	0	0.684291	0.862856	0.913228	-1.73472e-17	-0.330019	0.487459	0.0416667	0.0416667	24										exact permutation p (all 8! run relabelings) per protein; BH over proteins within comparison x method
lfq_vs_nsaf	pearson_within_pair	1621	27	0.0966057	0.131359	0.58359	0	-0.0926285	0.0926285	0.0625	0.125	16										exact permutation p (all 8! run relabelings) per protein; BH over proteins within comparison x method
lfq_vs_nsaf	pearson_between_pair_means	1640	8	0.680594	0.867208	0.912805	1.27213e-17	-0.326094	0.479588	0.0416667	0.0416667	24										exact permutation p (all 8! run relabelings) per protein; BH over proteins within comparison x method
