feature	accession	entry	protein_log2fc	protein_se	protein_ci_low	protein_ci_high	protein_t	protein_p	protein_q	protein_residual_sd	nsaf_log2fc	nsaf_se	nsaf_ci_low	nsaf_ci_high	nsaf_t	nsaf_p	nsaf_q	nsaf_residual_sd	psm_log2_log2fc	psm_log2_se	psm_log2_ci_low	psm_log2_ci_high	psm_log2_t	psm_log2_p	psm_log2_q	psm_log2_residual_sd
psvid_86283_sp|P56134|ATPK_HUMAN	P56134	ATPK_HUMAN	-0.516019408282129	0.06798840243089321	-0.68112497257876	-0.350913843985498	-7.589815171883716	0.00023349233649882654	0.150595277150016	0.01661497703615084	0.858438115505344	0.2601960471584315	0.16161130334818385	1.5552649276625041	3.2991973739810403	0.02592965912094971	0.6392260310717692	0.43121100881146873	0.778869304354984	0.221581583713525	0.2060712652651796	1.3516673434447886	3.515045299802337	0.017534809722926543	0.4566206351594144	0.36917472139834107
psvid_99364_sp|P30046|DOPD_HUMAN	P30046	DOPD_HUMAN	-0.6590919557493438	0.08888058551898192	-0.8749328742360305	-0.44325103726265697	-7.415477203495512	0.00026627438124056916	0.150595277150016	0.1175145441226798	0.4986500544932828	0.1798418704567384	0.01701845919681627	0.9802816497897493	2.7727139026461294	0.04505765472144153	0.6657167003888659	0.28643876236208915	0.41777498612623176	0.16041951385699366	0.0030835599298001393	0.8324664123226634	2.6042653794516433	0.04886280824050542	0.5036298607729148	0.2446088732250672
psvid_52093_sp|Q96S06|LMF1_HUMAN	Q96S06	LMF1_HUMAN	0.6177522283751227	0.08380935653281425	0.4142264709085776	0.8212779858416677	7.370921982120831	0.00027547916551832195	0.150595277150016	0.10096185762764842	-0.7500399575191969	0.3331361738008552	-1.642206539367907	0.14212662432951306	-2.2514515579672887	0.08131703416852551	0.6917486752637665	0.5595594778773945	-0.8304820237218404	0.3044016078069558	-1.617373430153129	-0.0435906172905518	-2.7282445375535342	0.042179093091299656	0.49208958167274586	0.5280553278543094
psvid_59818_sp|Q96DC8|ECHD3_HUMAN	Q96DC8	ECHD3_HUMAN	-0.40975780997486133	0.07566626846182592	-0.5935085896068517	-0.2260070303428709	-5.415329952230783	0.0014801727061595474	0.5779173573975626	0.06950314248559461	-0.06586220443820157	0.1304331611298569	-0.4151731369534736	0.28344872807707044	-0.5049498445616168	0.6378076261663479	0.9190364020538448	0.19235864371147107	-0.1462406251802889	0.14325107920346222	-0.5165509004752162	0.22406965011463842	-1.0208692736798204	0.3549661439657141	0.6990333245481015	0.20681547549988505
psvid_41564_sp|Q9Y5U8|MPC1_HUMAN	Q9Y5U8	MPC1_HUMAN	-0.389451425005265	0.07436036335221462	-0.57003089611505	-0.20887195389548002	-5.237352366886548	0.0017619431627974467	0.5779173573975626	0.06341641507557086	-0.13796458574478754	0.23048313375397791	-0.7552177266120063	0.4792885551224312	-0.5985886407291457	0.5788641556769029	0.8922959468515108	0.3782904344420232	-0.21861727947903553	0.22236675562347388	-0.793445022133684	0.3562104631756129	-0.9831383241891283	0.37148204473657204	0.7142210473247106	0.3707164106630775
psvid_34586_sp|Q9UN36|NDRG2_HUMAN	Q9UN36	NDRG2_HUMAN	-0.37106539788412096	0.07557892007907446	-0.5546040574557932	-0.1875267383124487	-4.909641438325576	0.002454821370109951	0.6448306546755251	0.06910956872442564	-0.10194837172358495	0.23171935585348402	-0.7225122189375167	0.5186154754903468	-0.4399648503599623	0.6806872078256686	0.9374966464486023	0.3805030425643042	-0.18424139854155197	0.2066140349757987	-0.7183476726242296	0.34986487554112566	-0.8917177313880574	0.4141144439789878	0.754608542361711	0.3395835440924027
psvid_68413_sp|P00846|ATP6_HUMAN	P00846	ATP6_HUMAN	-0.5218340571416427	0.11164670890012512	-0.7929610760998183	-0.2507070381834671	-4.673976172539537	0.0031441521321753157	0.6448306546755251	0.18072514283072308	0.16284509407471193	0.07646852236013874	-0.04194401493945751	0.3676342030888814	2.1295702996295804	0.09387859689662666	0.6917486752637665	0.0647640944970321	0.08048202372184055	0.10681268539488746	-0.1956334174567364	0.3565974649004175	0.753487504075923	0.485705222844125	0.7877497068248037	0.1138187694746601
psvid_89442_sp|Q8N1S5|S39AB_HUMAN	Q8N1S5	S39AB_HUMAN	0.38859021514034975	0.08347099954963001	0.1858861363520046	0.5912942939286949	4.655391899426131	0.0032071780380261944	0.6448306546755251	0.09979763305244595	0.5103307753561417	0.16125085916580814	0.07848746575468679	0.9421740849575966	3.164825155017549	0.029729177570844638	0.6392260310717692	0.2518223734641649	0.4285613794165306	0.16105012900579704	0.012239785610493381	0.8448829732225678	2.6610433786184946	0.045666833990541326	0.5036298607729148	0.24596116630774498
psvid_34616_sp|Q14678|KANK1_HUMAN	Q14678	KANK1_HUMAN	-0.5507065936346418	0.12066441508480452	-0.8437325455732778	-0.25768064169600574	-4.5639519592217646	0.0035387048122437355	0.6448306546755251	0.20325459044767194	1.216406662441651	0.3864890543576715	0.18135659683589989	2.251456728047402	3.1473249985391374	0.030269878657423727	0.6392260310717692	0.6526261987157248	1.1360801290559526	0.336655265791466	0.26581161277023624	2.006348645341669	3.3746097105745956	0.020361401579803685	0.4712630152609682	0.588646028505269
psvid_78187_sp|P02654|APOC1_HUMAN	P02654	APOC1_HUMAN	0.5370082937660445	0.1278888152613821	0.22643833983278988	0.8475782476992992	4.199024697105018	0.005303890429977958	0.6954560183642976	0.2207430101288033	0.20948944054550944	0.22322217370775632	-0.3883182410325897	0.8072971221236086	0.9384795294564874	0.3965234036824534	0.8101536433552932	0.3652722741833081	0.14787633664698185	0.22802937289229916	-0.44158951813476754	0.7373421914287313	0.6484968790263065	0.5457733624770664	0.8166899153832377	0.38180711825009533
