feature	first_member_id	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance
sp|Q9H0C2|ADT4_HUMAN	psvid_79092_sp|Q9H0C2|ADT4_HUMAN	0.5879780877509253	0.27675773060827225	0.8991984448935784	0.131439966743534	4.473358464082615	0.002936429936334384	1.0	0.08673199292104178	-12.91149904797934
sp|Q8N8J7|F241A_HUMAN	psvid_81790_sp|Q8N8J7|F241A_HUMAN	-1.248250367505236	-1.9118171394345578	-0.5846835955759143	0.2802490018174675	-4.454076051690096	0.003005029914955644	1.0	0.4218291780555485	-13.910984148657356
sp|Q08722|CD47_HUMAN	psvid_40342_sp|Q08722|CD47_HUMAN	1.2276211217864592	0.5699053857734092	1.8853368577995093	0.2777778910800119	4.419434235796873	0.003132756689122172	1.0	0.41725770829981873	-15.04390687069981
sp|P61966|AP1S1_HUMAN	psvid_87408_sp|P61966|AP1S1_HUMAN	-1.4521216731816393	-2.274900634539594	-0.6293427118236848	0.34749024874551643	-4.178884669207212	0.004203377817398032	1.0	0.5434673156092394	-13.569891439918516
sp|O00168|PLM_HUMAN	psvid_36643_sp|O00168|PLM_HUMAN	1.204219514435962	0.4553383662691436	1.9531006626027803	0.3162804455133627	3.807442197323844	0.006732262321900123	1.0	0.48757554975703327	-12.743770359923776
sp|O75452|RDH16_HUMAN	psvid_59530_sp|O75452|RDH16_HUMAN	-0.7499994589897652	-1.2325484731170477	-0.26745044486248254	0.20379844991933696	-3.680103844198096	0.007949927483781125	1.0	0.27386108120357655	-9.19454272774161
sp|P56134|ATPK_HUMAN	psvid_86283_sp|P56134|ATPK_HUMAN	0.858438115505344	0.2827969756318648	1.434079255378823	0.24311472737787215	3.531000054024195	0.009688023244329458	1.0	0.3519625243103041	-11.056189082180017
sp|Q13418|ILK_HUMAN	psvid_43230_sp|Q13418|ILK_HUMAN	-0.8893769918311403	-1.4905726744957657	-0.28818130916651497	0.25390736409821	-3.5027617059863374	0.010061383778373291	1.0	0.3725578238111432	-14.391887540350538
sp|Q5UCC4|EMC10_HUMAN	psvid_107450_sp|Q5UCC4|EMC10_HUMAN	-0.6683748484772325	-1.1242087806391432	-0.21254091631532185	0.19251567421238103	-3.471794445889581	0.010488782291391724	1.0	0.25012258501175	-15.189833058394349
sp|P06756|ITAV_HUMAN	psvid_73598_sp|P06756|ITAV_HUMAN	-0.7260417403792725	-1.2366421536221344	-0.21544132713641073	0.21564560220947873	-3.366828411710402	0.01208956389702637	1.0	0.29803175742330285	-14.935728668191167
sp|Q16878|CDO1_HUMAN	psvid_51126_sp|Q16878|CDO1_HUMAN	0.8300493277492116	0.24530843740847597	1.4147902180899472	0.2469578914619054	3.361096593575554	0.012184245473668231	1.0	0.35932828518793536	-14.800793284744476
sp|Q6P4E1|GOLM2_HUMAN	psvid_73679_sp|Q6P4E1|GOLM2_HUMAN	-1.121382933636938	-1.9255111768627335	-0.3172546904111425	0.33961335472244863	-3.3019400387048856	0.013209370711278088	1.0	0.5294348968910977	-14.553585283361322
sp|P20648|ATP4A_HUMAN	psvid_31806_sp|P20648|ATP4A_HUMAN	0.5981549081437252	0.1659717416313629	1.0303380746560875	0.1825270735984088	3.277074991405218	0.013667581734769627	1.0	0.2283429704606829	-15.231325694311451
sp|Q9Y2D2|S35A3_HUMAN	psvid_58610_sp|Q9Y2D2|S35A3_HUMAN	-1.2900038178809852	-2.2248916064734416	-0.3551160292885289	0.3948379886512489	-3.2671724984913117	0.013854787521623002	1.0	0.6269990938979961	-14.939240148320401
sp|P11279|LAMP1_HUMAN	psvid_34906_sp|P11279|LAMP1_HUMAN	0.40018129390428303	0.10785382660439174	0.6925087612041743	0.12346079457298216	3.2413633436298785	0.01435575171256278	1.0	0.04318194019532668	-12.593240392087804
sp|O95197|RTN3_HUMAN	psvid_52886_sp|O95197|RTN3_HUMAN	0.5268831059481509	0.14013438582404775	0.913631826072254	0.16333841197899446	3.2257146348154087	0.014668925332388616	1.0	0.18351838142167123	-14.680596306271706
sp|O75521|ECI2_HUMAN	psvid_38263_sp|O75521|ECI2_HUMAN	-0.4426355725979034	-0.7755660486508008	-0.10970509654500604	0.14060895984462699	-3.1479898086652236	0.0163365670512171	1.0	0.1202548728640855	-12.513031188653677
sp|O15269|SPTC1_HUMAN	psvid_86951_sp|O15269|SPTC1_HUMAN	-0.7434818313858282	-1.3110784266438387	-0.1758852361278178	0.2397172160889836	-3.1014953515472414	0.017430063880279976	1.0	0.34541914916072225	-14.109334831919973
sp|O75348|VATG1_HUMAN	psvid_99175_sp|O75348|VATG1_HUMAN	0.7834267423881687	0.18485163273070804	1.3820018520456294	0.2528005983580986	3.098990854754325	0.017491140685491725	1.0	0.3704582522907476	-12.521455452443941
sp|Q14678|KANK1_HUMAN	psvid_34616_sp|Q14678|KANK1_HUMAN	1.216406662441651	0.2802083681893114	2.1526049566939904	0.3953914640791861	3.0764616157672995	0.018050921433661205	1.0	0.6279685641131382	-15.822123140563525
sp|Q8WVM8|SCFD1_HUMAN	psvid_86181_sp|Q8WVM8|SCFD1_HUMAN	-0.5589437110584767	-0.9976873411115079	-0.12020008100544555	0.1852978020864956	-3.016461635079547	0.01963681201663694	1.0	0.2344685384458555	-12.921625576985944
sp|Q86VP6|CAND1_HUMAN	psvid_33136_sp|Q86VP6|CAND1_HUMAN	-0.5862777458326853	-1.049416976655227	-0.12313851501014367	0.19560097435733523	-2.997315058163458	0.02017354021568148	1.0	0.25669497739788116	-15.016572751700354
sp|O15245|S22A1_HUMAN	psvid_56180_sp|O15245|S22A1_HUMAN	-0.5549250252408595	-0.9949740242457676	-0.11487602623595145	0.18584910809101923	-2.985890171552968	0.02050120888421628	1.0	0.23567919142779875	-14.350749500721578
sp|O75083|WDR1_HUMAN	psvid_95037_sp|O75083|WDR1_HUMAN	-1.0427891243891656	-1.8715382227668007	-0.2140400260115305	0.35001166032194964	-2.9792982423213603	0.02069283149914835	1.0	0.5479497490632514	-15.21383493689165
