feature	first_member_id	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance
sp|Q08722|CD47_HUMAN	psvid_40342_sp|Q08722|CD47_HUMAN	1.2276211217864592	0.5334431056416081	1.9217991379313104	0.30453980609505904	4.031069493106821	0.003279239918576613	1.0	0.4264414427935256	-15.04390687069981
sp|O00168|PLM_HUMAN	psvid_36643_sp|O00168|PLM_HUMAN	1.204219514435962	0.48893551981407113	1.919503509057853	0.3137991177461831	3.837549076253289	0.004358984111620917	1.0	0.44521266228706824	-12.743770359923776
sp|Q8N8J7|F241A_HUMAN	psvid_81790_sp|Q8N8J7|F241A_HUMAN	-1.248250367505236	-2.053570636341121	-0.4429300986693512	0.3532985384321441	-3.5331319881612813	0.006891333370615112	1.0	0.5229887028779096	-13.910984148657356
sp|Q9Y2D2|S35A3_HUMAN	psvid_58610_sp|Q9Y2D2|S35A3_HUMAN	-1.2900038178809852	-2.1596874759645077	-0.4203201597974626	0.3815351198640261	-3.3810880066315385	0.008701048742763963	1.0	0.5769004750129522	-14.939240148320401
sp|P61966|AP1S1_HUMAN	psvid_87408_sp|P61966|AP1S1_HUMAN	-1.4521216731816393	-2.466975279047381	-0.43726806731589773	0.44522199372089244	-3.2615676980503516	0.010471295827963025	1.0	0.6951887449068436	-13.569891439918516
sp|P56134|ATPK_HUMAN	psvid_86283_sp|P56134|ATPK_HUMAN	0.858438115505344	0.2523936547282588	1.4644825762824292	0.2658751188852484	3.2287267763323335	0.011020959892787327	1.0	0.3447083326484261	-11.056189082180017
sp|Q16878|CDO1_HUMAN	psvid_51126_sp|Q16878|CDO1_HUMAN	0.8300493277492116	0.22357970130986626	1.436518954188557	0.26606164145630595	3.119763236841966	0.013070310130546632	1.0	0.3451193708111301	-14.800793284744476
sp|Q02325|PLGB_HUMAN	psvid_44984_sp|Q02325|PLGB_HUMAN	-1.1609391216334681	-2.0700291863397147	-0.2518490569272216	0.3988229324318088	-2.9109136592389078	0.018179386759982187	1.0	0.6093995355829249	-12.494638120824114
sp|Q14678|KANK1_HUMAN	psvid_34616_sp|Q14678|KANK1_HUMAN	1.216406662441651	0.24589444941063876	2.186918875472663	0.42576917490236105	2.856962725684878	0.01980797517053809	1.0	0.6594445154939197	-15.822123140563525
sp|Q9BXR6|FHR5_HUMAN	psvid_81273_sp|Q9BXR6|FHR5_HUMAN	0.8759051625627126	0.17285802409770323	1.578952301027722	0.3084307400180526	2.839876344723115	0.020354421746920055	1.0	0.43435956274784415	-15.787335592975595
sp|O95197|RTN3_HUMAN	psvid_52886_sp|O95197|RTN3_HUMAN	0.5268831059481509	0.07608727068605198	0.9776789412102498	0.19776667233226394	2.6641653001216747	0.02695401629347375	1.0	0.1690578082525884	-14.680596306271706
sp|O14561|ACPM_HUMAN	psvid_87262_sp|O14561|ACPM_HUMAN	1.581876969758241	0.22269652686254515	2.941057412653937	0.5962801167723524	2.6529091365999204	0.027444708863170627	1.0	0.9658659511078358	-12.52404017721433
sp|O15269|SPTC1_HUMAN	psvid_86951_sp|O15269|SPTC1_HUMAN	-0.7434818313858282	-1.3842785884891882	-0.10268507428246842	0.2811211470486544	-2.6447026102136384	0.027808164481134136	1.0	0.37769894283844513	-14.109334831919973
sp|Q5UCC4|EMC10_HUMAN	psvid_107450_sp|Q5UCC4|EMC10_HUMAN	-0.6683748484772325	-1.2506598486930618	-0.0860898482614032	0.25545170969630304	-2.6164430422949145	0.029097504192976263	1.0	0.32139470653837815	-15.189833058394349
sp|P30273|FCERG_HUMAN	psvid_67242_sp|P30273|FCERG_HUMAN	0.6853412223519353	0.0798028744948236	1.290879570209047	0.2656530842962435	2.579835367496339	0.030858177332156986	1.0	0.3442187736294522	-12.363947009462315
sp|O15245|S22A1_HUMAN	psvid_56180_sp|O15245|S22A1_HUMAN	-0.5549250252408595	-1.0479433997428633	-0.061906650738855706	0.21628993814291522	-2.5656534465056278	0.031568866622713465	1.0	0.22471967673327808	-14.350749500721578
sp|P54707|AT12A_HUMAN	psvid_41279_sp|P54707|AT12A_HUMAN	0.7394648205188559	0.08043822125911138	1.3984914197786003	0.2891186814941855	2.5576514692763888	0.031977132506328096	1.0	0.39457510181849836	-15.826169353515102
sp|Q14195|DPYL3_HUMAN	psvid_62000_sp|Q14195|DPYL3_HUMAN	-0.8161953104750697	-1.544750285979581	-0.08764033497055845	0.31962117181688	-2.553633433715996	0.03218413987554237	1.0	0.45689530424743446	-16.239398229710286
sp|P20648|ATP4A_HUMAN	psvid_31806_sp|P20648|ATP4A_HUMAN	0.5981549081437252	0.05405456170069545	1.1422552545867548	0.2386998869861053	2.505886851042136	0.034749875930787835	1.0	0.28220185194277553	-15.231325694311451
sp|O75348|VATG1_HUMAN	psvid_99175_sp|O75348|VATG1_HUMAN	0.7834267423881687	0.06758757014130301	1.4992659146350342	0.3140426772976611	2.4946505651065007	0.035383005287041816	1.0	0.44570317479888766	-12.521455452443941
sp|O75083|WDR1_HUMAN	psvid_95037_sp|O75083|WDR1_HUMAN	-1.0427891243891656	-2.008338969255002	-0.0772392795233291	0.4235921560345098	-2.461776285357395	0.03730266151733706	1.0	0.6554256526404106	-15.21383493689165
sp|Q13418|ILK_HUMAN	psvid_43230_sp|Q13418|ILK_HUMAN	-0.8893769918311403	-1.7175919042648715	-0.06116207939740903	0.3633425475475937	-2.4477645071683822	0.03815227727689128	1.0	0.5422983148666581	-14.391887540350538
