feature	accession	entry	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance
psvid_86283_sp|P56134|ATPK_HUMAN	P56134	ATPK_HUMAN	-0.516019408282129	-0.6854516520593773	-0.3465871645048807	0.06926288459640773	-7.450157631882574	0.0002997529199611587	0.20997525410294768	0.01661497703615084	26.721961320267503
psvid_99364_sp|P30046|DOPD_HUMAN	P30046	DOPD_HUMAN	-0.6590919557493438	-0.8802930227244153	-0.4378908887742722	0.09042566888649074	-7.288770587660089	0.0003379898793012326	0.20997525410294768	0.1175145441226798	24.441157892104975
psvid_52093_sp|Q96S06|LMF1_HUMAN	Q96S06	LMF1_HUMAN	0.6177522283751227	0.40912303266045824	0.8263814240897871	0.08528636335138103	7.243270836041804	0.000349764443258658	0.20997525410294768	0.10096185762764842	22.616439573578596
psvid_41137_sp|Q86UT6|NLRX1_HUMAN	Q86UT6	NLRX1_HUMAN	0.5229932164412121	0.321295615189808	0.7246908176926162	0.0824527691270781	6.34294302032674	0.0007158549005323558	0.32231366896469316	0.09104865149382885	23.083861305015432
psvid_59818_sp|Q96DC8|ECHD3_HUMAN	Q96DC8	ECHD3_HUMAN	-0.40975780997486133	-0.5982068745712352	-0.22130874537848746	0.07703684683890344	-5.31898470392657	0.0017903621237541569	0.6366198099647827	0.06950314248559461	22.297344668113162
psvid_41564_sp|Q9Y5U8|MPC1_HUMAN	Q9Y5U8	MPC1_HUMAN	-0.389451425005265	-0.5746651732627167	-0.20423767674781323	0.0757142689327155	-5.143699206174151	0.0021208877622369217	0.6366198099647827	0.06341641507557086	25.988918084976195
psvid_34586_sp|Q9UN36|NDRG2_HUMAN	Q9UN36	NDRG2_HUMAN	-0.37106539788412096	-0.5592980518739183	-0.18283274389432363	0.07694837948148323	-4.82226396948897	0.002923953470662219	0.727886094873094	0.06910956872442564	23.96046914861374
psvid_68413_sp|P00846|ATP6_HUMAN	P00846	ATP6_HUMAN	-0.5218340571416427	-0.7995018764701685	-0.24416623781311686	0.11350893842598332	-4.597294841955721	0.0036915362897452842	0.727886094873094	0.18072514283072308	22.870638691895618
psvid_89442_sp|Q8N1S5|S39AB_HUMAN	Q8N1S5	S39AB_HUMAN	0.38859021514034975	0.18079971717474094	0.5963807131059585	0.0849435087440816	4.574689942595815	0.003780507182759313	0.727886094873094	0.09979763305244595	23.273704104293316
psvid_34616_sp|Q14678|KANK1_HUMAN	Q14678	KANK1_HUMAN	-0.5507065936346418	-0.8507498755927073	-0.2506633116765763	0.12265589328741183	-4.489850254029015	0.004136674442404412	0.727886094873094	0.20325459044767194	23.84080566366396
psvid_78187_sp|P02654|APOC1_HUMAN	P02654	APOC1_HUMAN	0.5370082937660445	0.21903671884439185	0.8549798686876973	0.12998487187415633	4.131313790776701	0.0061225196340125385	0.727886094873094	0.2207430101288033	25.69327432269803
