feature	first_member_id	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance
sp|Q8N8J7|F241A_HUMAN	psvid_81790_sp|Q8N8J7|F241A_HUMAN	-1.3304820237218404	-1.9265331825197456	-0.7344308649239354	0.25517626219762707	-5.213972539073475	0.0010130530781106773	1.0	0.36202491848481894	0.6652410118609202
sp|P61966|AP1S1_HUMAN	psvid_87408_sp|P61966|AP1S1_HUMAN	-1.5323207542362414	-2.2736217968888077	-0.7910197115836749	0.31735938507154615	-4.828345485641749	0.0015968011795385098	1.0	0.48702016684912863	1.2661603771181207
sp|O15269|SPTC1_HUMAN	psvid_86951_sp|O15269|SPTC1_HUMAN	-0.8248020045968194	-1.304097900569787	-0.3455061086238518	0.20519200980617983	-4.019659466155191	0.00444765771472184	1.0	0.24993555299654	2.308641627478699
sp|Q9Y2D2|S35A3_HUMAN	psvid_58610_sp|Q9Y2D2|S35A3_HUMAN	-1.3729632740824185	-2.2046286409059537	-0.5412979072588835	0.35604537726803254	-3.856146889526516	0.005536219668962723	1.0	0.5611108414848813	0.9364816370412092
sp|Q08722|CD47_HUMAN	psvid_40342_sp|Q08722|CD47_HUMAN	1.146240625180289	0.4049905922322863	1.8874906581282918	0.31733754723841007	3.612054845558943	0.007732575657265051	1.0	0.4869777471961683	0.8231203125901445
sp|O00168|PLM_HUMAN	psvid_36643_sp|O00168|PLM_HUMAN	1.1229632740824185	0.3949439330916704	1.8509826150731665	0.3116733379333743	3.6030135959928393	0.007830164580375689	1.0	0.475948300788004	1.3114816370412092
sp|P56134|ATPK_HUMAN	psvid_86283_sp|P56134|ATPK_HUMAN	0.778869304354984	0.2624497867320219	1.2952888219779461	0.22108505333450626	3.5229396678233993	0.008754457460525875	1.0	0.28751171129989767	3.02999525823276
sp|Q5UCC4|EMC10_HUMAN	psvid_107450_sp|Q5UCC4|EMC10_HUMAN	-0.75	-1.2526560176873742	-0.24734398231262567	0.21519274289020865	-3.4852476432379045	0.009229423882088453	1.0	0.27386127875258304	0.375
sp|Q9H0C2|ADT4_HUMAN	psvid_79092_sp|Q9H0C2|ADT4_HUMAN	0.5096654050922765	0.1458290343012394	0.8735017758833137	0.1557624773974906	3.2720679178186174	0.012489121471902353	1.0	0.0963478368183407	2.9202772269891346
sp|P06756|ITAV_HUMAN	psvid_73598_sp|P06756|ITAV_HUMAN	-0.8055981053341119	-1.381022645310602	-0.23017356535762168	0.24634577270870647	-3.2701925284778395	0.012522731769098362	1.0	0.34330819965423137	2.6295217015691854
sp|Q8WVM8|SCFD1_HUMAN	psvid_86181_sp|Q8WVM8|SCFD1_HUMAN	-0.6387419401058299	-1.0953300091314264	-0.1821538710802333	0.19547053151101665	-3.267714755611797	0.012567285324881843	1.0	0.2255150357621282	3.9366542250103125
sp|Q14678|KANK1_HUMAN	psvid_34616_sp|Q14678|KANK1_HUMAN	1.1360801290559526	0.3208151492553959	1.9513451088565092	0.3490241855509353	3.2550183514149547	0.012798241041825831	1.0	0.5478034164952781	2.110521314888554
sp|Q13418|ILK_HUMAN	psvid_43230_sp|Q13418|ILK_HUMAN	-0.9694360624872509	-1.6657088941083202	-0.27316323086618155	0.29808229716580953	-3.2522429936454698	0.012849324606881277	1.0	0.44924751305690563	1.961440680145755
