feature	first_member_id	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance
sp|Q9P2R3|ANFY1_HUMAN	psvid_38492_sp|Q9P2R3|ANFY1_HUMAN	-0.868482797083103	-1.1442504675319956	-0.5927151266342106	0.1056149142071518	-8.223107537441837	0.0005496593256983678	0.41358037486476656	0.10738334651482431	1.2267226489021295
sp|Q08722|CD47_HUMAN	psvid_40342_sp|Q08722|CD47_HUMAN	1.146240625180289	0.767758060524785	1.5247231898357931	0.14495319023410339	7.9076605580676	0.0006548747544851826	0.41358037486476656	0.20681547549988508	0.8231203125901445
sp|P06756|ITAV_HUMAN	psvid_73598_sp|P06756|ITAV_HUMAN	-0.8055981053341119	-1.0745083231589652	-0.5366878875092587	0.10298861189481552	-7.82220568383703	0.0006874243052981107	0.41358037486476656	0.09896845994796119	2.6295217015691854
sp|P61966|AP1S1_HUMAN	psvid_87408_sp|P61966|AP1S1_HUMAN	-1.5323207542362414	-2.0559934778123052	-1.0086480306601775	0.20055886059117137	-7.640254585210255	0.0007634155512039991	0.41358037486476656	0.321972598959881	1.2661603771181207
sp|Q02325|PLGB_HUMAN	psvid_44984_sp|Q02325|PLGB_HUMAN	-1.244319980874979	-1.7179189911121893	-0.7707209706377686	0.18138137350681555	-6.860241251995055	0.0012282479098181703	0.5174616303768038	0.2836386693007873	1.6221599904374895
sp|P46783|RS10_HUMAN	psvid_64450_sp|P46783|RS10_HUMAN	0.5657586014584484	0.3261944691252531	0.8053227337916437	0.0917494978374206	6.16634003230152	0.0019517200994437563	0.5174616303768038	0.05345775789214457	5.054656945173901
sp|Q9Y5C1|ANGL3_HUMAN	psvid_86071_sp|Q9Y5C1|ANGL3_HUMAN	-0.7398395038756633	-1.0540355888425357	-0.425643418908791	0.12033242513157137	-6.148297128282119	0.001976474475933273	0.5174616303768038	0.14856301273988895	1.9928830260202504
sp|O00168|PLM_HUMAN	psvid_36643_sp|O00168|PLM_HUMAN	1.1229632740824185	0.6218202481717576	1.6241062999930793	0.1919303216396281	5.850890388184286	0.0024436369466797198	0.5174616303768038	0.3048483459697951	1.3114816370412092
sp|P11215|ITAM_HUMAN	psvid_23094_sp|P11215|ITAM_HUMAN	0.9342413985415515	0.4816145629538377	1.3868682341292653	0.17334934269356442	5.389356452265539	0.003456607306661277	0.5174616303768038	0.26724584526382894	1.1133613244510647
sp|Q13085|ACACA_HUMAN	psvid_30800_sp|Q13085|ACACA_HUMAN	-0.6148579046593246	-0.9154600677491065	-0.31425574156954256	0.11512615533768811	-5.34073167696622	0.0035899760628080434	0.5174616303768038	0.13485402404597133	2.4961508278705296
sp|O14561|ACPM_HUMAN	psvid_87262_sp|O14561|ACPM_HUMAN	1.500938033715277	0.7544743543091545	2.2474017131213992	0.28588448142199224	5.250155679138637	0.0038549900213180758	0.5174616303768038	0.48499453709806717	2.2929502672182167
sp|O15245|S22A1_HUMAN	psvid_56180_sp|O15245|S22A1_HUMAN	-0.6360801290559523	-0.954549902048061	-0.3176103560638437	0.12196918405040597	-5.215088827626171	0.00396375381951188	0.5174616303768038	0.15273492376059503	2.2947627134301056
sp|P27695|APEX1_HUMAN	psvid_60122_sp|P27695|APEX1_HUMAN	-0.479596558611587	-0.7248682218415812	-0.2343248953815928	0.0939353972396923	-5.105599941072416	0.0043274283543256395	0.5174616303768038	0.06437541282690709	2.7488416824441644
sp|Q9H0C2|ADT4_HUMAN	psvid_79092_sp|Q9H0C2|ADT4_HUMAN	0.5096654050922765	0.2489210296868244	0.7704097804977287	0.09986121576041622	5.103737233833095	0.004333948088748759	0.5174616303768038	0.0882272861806792	2.9202772269891346
sp|P36956|SRBP1_HUMAN	psvid_64569_sp|P36956|SRBP1_HUMAN	-1.3304820237218404	-2.0218644841485025	-0.6390995632951784	0.2647891941917251	-5.024683986003154	0.004621634940101726	0.5174616303768038	0.4454221310250297	1.7633203675556102
sp|O15269|SPTC1_HUMAN	psvid_86951_sp|O15269|SPTC1_HUMAN	-0.8248020045968194	-1.2672022500332178	-0.3824017591604211	0.1694327108429028	-4.868021059767921	0.005261056775643453	0.5174616303768038	0.2591623655486114	2.308641627478699
sp|Q15800|MSMO1_HUMAN	psvid_105695_sp|Q15800|MSMO1_HUMAN	-0.8098664836738476	-1.246150662405577	-0.37358230494211836	0.1670903483054546	-4.846877703512512	0.0053551073248552915	0.5174616303768038	0.2542965751033774	2.9797352464337434
sp|Q8N8J7|F241A_HUMAN	psvid_81790_sp|Q8N8J7|F241A_HUMAN	-1.3304820237218404	-2.0523597146566304	-0.6086043327870506	0.2764684136905174	-4.812419639413856	0.005512657940112479	0.5174616303768038	0.4673721600679338	0.6652410118609202
sp|Q8NBN3|GPHCC_HUMAN	psvid_49917_sp|Q8NBN3|GPHCC_HUMAN	-1.0	-1.5446016433481198	-0.4553983566518801	0.20857432543001914	-4.794453957543878	0.005596960814873554	0.5174616303768038	0.33772825725719613	0.896240625180289
sp|Q8WVM8|SCFD1_HUMAN	psvid_86181_sp|Q8WVM8|SCFD1_HUMAN	-0.6387419401058299	-0.9889238980776569	-0.2885599821340028	0.13411447900286488	-4.762662054498868	0.005749886245011695	0.5174616303768038	0.18216959018753284	3.9366542250103125
sp|Q86VP6|CAND1_HUMAN	psvid_33136_sp|Q86VP6|CAND1_HUMAN	-0.6676730936867602	-1.0354870273316477	-0.2998591600418728	0.1408672633121408	-4.739732127877692	0.005863236209441582	0.5174616303768038	0.19766429173433445	2.77999525823276
sp|O95197|RTN3_HUMAN	psvid_52886_sp|O95197|RTN3_HUMAN	0.4444018946658881	0.19672074589426686	0.6920830434375094	0.09485819434766392	4.684907800765369	0.006145061574025478	0.5174616303768038	0.06853012160080989	2.862761553388212
sp|O75521|ECI2_HUMAN	psvid_38263_sp|O75521|ECI2_HUMAN	-0.5232773510978707	-0.8192352782201558	-0.22731942397558547	0.11334748207092515	-4.616576756159781	0.006518890035057897	0.5174616303768038	0.1299907237280823	3.640193902888467
sp|Q6P4E1|GOLM2_HUMAN	psvid_73679_sp|Q6P4E1|GOLM2_HUMAN	-1.201838730514401	-1.8887534601642242	-0.5149240008645777	0.2630781197864897	-4.568372054239233	0.0067987017219464626	0.5174616303768038	0.44219692674340566	1.7471599904374895
sp|P10301|RRAS_HUMAN	psvid_90151_sp|P10301|RRAS_HUMAN	-0.6963321539319014	-1.100855528814585	-0.2918087790492179	0.15492643304951886	-4.494598760363469	0.007254676921603755	0.5174616303768038	0.22858670374865644	2.359264606805564
sp|Q9UKS6|PACN3_HUMAN	psvid_30920_sp|Q9UKS6|PACN3_HUMAN	-0.5844674096890956	-0.9242839110238137	-0.24465090835437747	0.13014466335455416	-4.490905693895618	0.007278429021395972	0.5174616303768038	0.17280268539917	3.207678229287545
sp|Q9NXA8|SIR5_HUMAN	psvid_80693_sp|Q9NXA8|SIR5_HUMAN	-0.5703215275975041	-0.9051443887452116	-0.23549866644979656	0.12823217347104457	-4.447569686762623	0.007564062092605866	0.5174616303768038	0.16820993920110153	2.07764201415933
sp|Q9H7Z7|PGES2_HUMAN	psvid_80086_sp|Q9H7Z7|PGES2_HUMAN	-0.7251160816122714	-1.151966864723883	-0.29826529850065986	0.16347749815707038	-4.435571193508078	0.00764545150504455	0.5174616303768038	0.24674165506000872	2.3817619400688432
sp|Q7L2H7|EIF3M_HUMAN	psvid_67794_sp|Q7L2H7|EIF3M_HUMAN	-0.8648997243312624	-1.3742951674197803	-0.3555042812427446	0.1950908746182359	-4.433317170901733	0.007660855340967747	0.5174616303768038	0.31114216115747345	3.6286085735550113
sp|Q9UMX5|NENF_HUMAN	psvid_36799_sp|Q9UMX5|NENF_HUMAN	-0.41149798352967903	-0.6556145610399411	-0.167381406019417	0.09349301659734637	-4.401376685725196	0.007883085652572503	0.5174616303768038	0.06230085053142707	3.7674341413881254
sp|P12694|ODBA_HUMAN	psvid_47964_sp|P12694|ODBA_HUMAN	-0.3950241863873354	-0.6315786460868831	-0.1584697266877877	0.0905968380043195	-4.360242532620193	0.008180486661364448	0.5174616303768038	0.04681406629053905	4.613894651351941
sp|P04070|PROC_HUMAN	psvid_37486_sp|P04070|PROC_HUMAN	-0.5066180528402976	-0.8105462653039527	-0.2026898403766425	0.1163999827544355	-4.352389414945962	0.008238745552307006	0.5174616303768038	0.1382764233864174	2.484512152321594
sp|O75251|NDUS7_HUMAN	psvid_74582_sp|O75251|NDUS7_HUMAN	-0.4237863546178948	-0.6801292478190426	-0.16744346141674704	0.09817551357264633	-4.316619686479239	0.008510317187689933	0.5174616303768038	0.08201206155875909	2.786695181905767
sp|Q5HYI8|RABL3_HUMAN	psvid_64949_sp|Q5HYI8|RABL3_HUMAN	-0.6714850371114943	-1.0779833011633162	-0.2649867730596725	0.15568278621386064	-4.313161740239404	0.008537120884621462	0.5174616303768038	0.23020966882499758	2.7467065659994283
sp|Q13418|ILK_HUMAN	psvid_43230_sp|Q13418|ILK_HUMAN	-0.9694360624872509	-1.558494941433504	-0.3803771835409977	0.2256007851159603	-4.297130712505962	0.008662678248481957	0.5174616303768038	0.3707974683517549	1.961440680145755
sp|P22792|CPN2_HUMAN	psvid_104749_sp|P22792|CPN2_HUMAN	-0.8537593748197109	-1.3752838605208653	-0.33223488911855636	0.19973611745204345	-4.274436620230681	0.008844128090358257	0.5174616303768038	0.3203474877446992	1.9211996682848345
sp|P07360|CO8G_HUMAN	psvid_94344_sp|P07360|CO8G_HUMAN	-0.430616506117773	-0.6956397041102922	-0.1655933081252539	0.10149994114002686	-4.242529614117755	0.009106798527359643	0.5174616303768038	0.09396760306021913	2.984512152321594
sp|O75348|VATG1_HUMAN	psvid_99175_sp|O75348|VATG1_HUMAN	0.701838730514401	0.26862598921920644	1.1350514718095956	0.16591403347194203	4.230134822399396	0.009211284695308323	0.5174616303768038	0.25184360141698175	1.8934006156177785
sp|Q14117|DPYS_HUMAN	psvid_84271_sp|Q14117|DPYS_HUMAN	-0.47414890372016016	-0.7696844901617832	-0.1786133172785372	0.11318573187489339	-4.189122567535695	0.00956711732142493	0.5174616303768038	0.12954324471165918	3.966370845944179
sp|Q9BUR5|MIC26_HUMAN	psvid_77802_sp|Q9BUR5|MIC26_HUMAN	-0.6711245435680175	-1.089931583238375	-0.2523175038976601	0.16039686411440135	-4.184150028577523	0.0096113405160295	0.5174616303768038	0.24024803167280528	2.5798822526589875
sp|A3KMH1|VWA8_HUMAN	psvid_23430_sp|A3KMH1|VWA8_HUMAN	-0.6489024362301662	-1.0557743439734317	-0.2420305284869006	0.15582588618765975	-4.164278812114046	0.009790460011743867	0.5174616303768038	0.23051632884310588	2.649253222711903
sp|Q9H0U3|MAGT1_HUMAN	psvid_56110_sp|Q9H0U3|MAGT1_HUMAN	-0.537062739645986	-0.8765182107721008	-0.19760726851987132	0.13000639415698734	-4.131048654402827	0.010098763685934053	0.5210481168433118	0.17247248631214038	3.458191279079137
sp|P63104|1433Z_HUMAN	psvid_19362_sp|P63104|1433Z_HUMAN	-0.3614792030407039	-0.5930559981944734	-0.1299024078869344	0.0886904665536756	-4.075739108012654	0.010637350296707046	0.5360729789061435	0.03329054735886006	3.794571406596492
sp|P02452|CO1A1_HUMAN	psvid_883224_sp|P02452|CO1A1_HUMAN	-0.6609640474436809	-1.0887915575331948	-0.23313653735416706	0.16385157005537174	-4.033919523751379	0.011066831934211813	0.5404618371265411	0.2475268308797174	1.8729632740824185
sp|Q9Y282|ERGI3_HUMAN	psvid_49848_sp|Q9Y282|ERGI3_HUMAN	-0.5500915287516126	-0.9082519114375729	-0.19193114606565226	0.13717009694502527	-4.010287526238879	0.011318435180884923	0.5404618371265411	0.1892434617859198	3.328625544575998
sp|Q9NQR4|NIT2_HUMAN	psvid_90393_sp|Q9NQR4|NIT2_HUMAN	-0.5693834938822275	-0.9437257187159033	-0.1950412690485518	0.14336750169287937	-3.971496239796073	0.011745991612463596	0.5404618371265411	0.20328204350330412	3.088271527141305
sp|Q96RQ1|ERGI2_HUMAN	psvid_42509_sp|Q96RQ1|ERGI2_HUMAN	0.5804820237218405	0.19561154749898568	0.9653524999446954	0.14739966530875745	3.938150215646062	0.01212857834037804	0.5404618371265411	0.212225285910428	1.9364816370412092
