feature	first_member_id	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance
sp|Q8N8J7|F241A_HUMAN	psvid_81790_sp|Q8N8J7|F241A_HUMAN	-1.3304820237218404	-2.0793732592608034	-0.5815907881828777	0.33145774227150704	-4.014032119460955	0.002995803547110948	1.0	0.4673721600679338	0.6652410118609202
sp|Q9Y2D2|S35A3_HUMAN	psvid_58610_sp|Q9Y2D2|S35A3_HUMAN	-1.3729632740824185	-2.1795313168539363	-0.5663952313109007	0.3569853801974245	-3.845993002075114	0.0038715258871604664	1.0	0.5211402848770635	0.9364816370412092
sp|O00168|PLM_HUMAN	psvid_36643_sp|O00168|PLM_HUMAN	1.1229632740824185	0.4080943066281093	1.8378322415367276	0.31639955540652204	3.5491935904890672	0.006144570999839012	1.0	0.4346639757647365	1.3114816370412092
sp|P61966|AP1S1_HUMAN	psvid_87408_sp|P61966|AP1S1_HUMAN	-1.5323207542362414	-2.515237668576365	-0.5494038398961179	0.4350370331590072	-3.5222765820862287	0.0064108824520024595	1.0	0.6771608799282054	1.2661603771181207
sp|Q08722|CD47_HUMAN	psvid_40342_sp|Q08722|CD47_HUMAN	1.146240625180289	0.36904668926094275	1.9234345610996353	0.3439844600685412	3.332245372223771	0.008669986250572592	1.0	0.4939896414360803	0.8231203125901445
sp|O15269|SPTC1_HUMAN	psvid_86951_sp|O15269|SPTC1_HUMAN	-0.8248020045968194	-1.4055603031619186	-0.2440437060317201	0.25704244530154413	-3.2088163634967746	0.010569474723867116	1.0	0.2932426478846379	2.308641627478699
sp|P56134|ATPK_HUMAN	psvid_86283_sp|P56134|ATPK_HUMAN	0.778869304354984	0.19099736760062502	1.366741241109343	0.2601909271392992	2.9934529728548083	0.01498286762929464	1.0	0.30152340210968953	3.02999525823276
sp|Q14678|KANK1_HUMAN	psvid_34616_sp|Q14678|KANK1_HUMAN	1.1360801290559526	0.22974126409612616	2.042418994015779	0.40114374378584206	2.832102324054865	0.01950224486066264	1.0	0.6106019472641923	2.110521314888554
sp|Q02325|PLGB_HUMAN	psvid_44984_sp|Q02325|PLGB_HUMAN	-1.244319980874979	-2.2521378739416944	-0.23650208780826332	0.4460581558499773	-2.7895913673047623	0.020909947145504187	1.0	0.6985091518142078	1.6221599904374895
sp|Q14195|DPYL3_HUMAN	psvid_62000_sp|Q14195|DPYL3_HUMAN	-0.896240625180289	-1.6429681266260532	-0.14951312373452486	0.33050007794940917	-2.7117712974260773	0.02376004586319912	1.0	0.4653165760708938	0.4481203125901445
sp|Q16878|CDO1_HUMAN	psvid_51126_sp|Q16878|CDO1_HUMAN	0.75	0.11507953548048533	1.3849204645195146	0.28101451012463574	2.6689013306371954	0.02549507413792775	1.0	0.3535533905932738	0.375
sp|Q5UCC4|EMC10_HUMAN	psvid_107450_sp|Q5UCC4|EMC10_HUMAN	-0.75	-1.3849204645195146	-0.11507953548048533	0.28101451012463574	-2.6689013306371954	0.02549507413792775	1.0	0.3535533905932738	0.375
sp|O75083|WDR1_HUMAN	psvid_95037_sp|O75083|WDR1_HUMAN	-1.1229632740824185	-2.0777605179833367	-0.16816603018150034	0.42259132404279615	-2.65732685503192	0.025985081489462946	1.0	0.6528903792933797	1.5614816370412092
sp|Q7L2H7|EIF3M_HUMAN	psvid_67794_sp|Q7L2H7|EIF3M_HUMAN	-0.8648997243312624	-1.618294724350699	-0.11150472431182556	0.33345109929797323	-2.5937827949950303	0.028849314366026987	1.0	0.47164094114165844	3.6286085735550113
sp|O14561|ACPM_HUMAN	psvid_87262_sp|O14561|ACPM_HUMAN	1.500938033715277	0.14115056728220243	2.8607255001483516	0.601839175309123	2.4939187997264374	0.03400467300104868	1.0	0.990764003728682	2.2929502672182167
sp|Q13418|ILK_HUMAN	psvid_43230_sp|Q13418|ILK_HUMAN	-0.9694360624872509	-1.8703984214694707	-0.06847370350503112	0.3987641131424627	-2.431101572424873	0.03770897964140522	1.0	0.6058696077817629	1.961440680145755
sp|Q9Y5J9|TIM8B_HUMAN	psvid_98593_sp|Q9Y5J9|TIM8B_HUMAN	-0.792481250360578	-1.5312742239405992	-0.053688276780556876	0.32698827200541675	-2.423576984887856	0.038178792581990306	1.0	0.45775150218737537	1.146240625180289
