feature	first_member_id	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance	prior_variance	prior_sd	notrend_se	notrend_t	notrend_p	notrend_q	hit_q05_trend	hit_q05_notrend	hit_q10_trend	hit_q10_notrend
sp|P06576|ATPB_HUMAN	psvid_44001_sp|P06576|ATPB_HUMAN	0.2528738650546185	0.185217734519374	0.320529995589863	0.026291387802637352	9.618125408703307	0.00021000114346222967	0.4531824675914916	0.014369106561670413	-7.451660379272444	0.0031621607950561605	0.05623309341532049	0.07534299207257004	3.3563023991806893	0.02387082269839101	0.7206511690381262	False	False	False	False
sp|P61966|AP1S1_HUMAN	psvid_87408_sp|P61966|AP1S1_HUMAN	-1.4521216731816393	-1.95892746571595	-0.9453158806473286	0.1969463450943482	-7.37318416590058	0.0007322055579561286	0.5483131813706299	0.26189490680359545	-13.569891439918516	0.09117574172304903	0.3019532111487623	0.16901086045288657	-8.591883795458413	0.0005986611098542296	0.6459553375327137	False	False	False	False
sp|P11509|CP2A6_HUMAN	psvid_659594_sp|P11509|CP2A6_HUMAN	0.29749267795861556	0.19275687292901728	0.40222848298821384	0.040700667405448344	7.30928254800048	0.0007622518740092167	0.5483131813706299	0.058747998439389666	-7.401593128693323	0.0031038872111505554	0.05571254087860789	0.08223529115063812	3.6175791901030694	0.018434402051336264	0.7206511690381262	False	False	False	False
sp|Q02325|PLGB_HUMAN	psvid_44984_sp|Q02325|PLGB_HUMAN	-1.1609391216334681	-1.6208654630953863	-0.70101278017155	0.17872884110220116	-6.495533202554685	0.0013080065407431497	0.6010486172914512	0.27423902456999083	-12.494638120824114	0.04675848726213507	0.21623710889238015	0.17544171885351578	-6.617235223298221	0.001793327169169945	0.6821189646413428	False	False	False	False
sp|P02652|APOA2_HUMAN	psvid_85363_sp|P02652|APOA2_HUMAN	0.45392041447346854	0.2667328574023563	0.6411079715445808	0.0727416808476976	6.240169448707975	0.001567558306989234	0.6010486172914512	0.0906372296212233	-10.707345706067038	0.014165672016909105	0.11901962870429862	0.09141725514236153	4.965369106374841	0.005689592846869402	0.6821189646413428	False	False	False	False
sp|Q08722|CD47_HUMAN	psvid_40342_sp|Q08722|CD47_HUMAN	1.2276211217864592	0.7141099376331908	1.7411323059397277	0.19955208163334126	6.1518833165674565	0.0016711268321356382	0.6010486172914512	0.20734328630354995	-15.04390687069981	0.1351070560115073	0.3675691173255818	0.1414105212127769	8.68125731563699	0.0005728059343003638	0.6459553375327137	False	False	False	False
sp|P62266|RS23_HUMAN	psvid_40300_sp|P62266|RS23_HUMAN	0.6091716756429939	0.3408373180647254	0.8775060332212624	0.1042755859675817	5.841939606384755	0.0021044933111662033	0.648785223642381	0.1635388533111862	-10.709432573016727	0.014182902715534563	0.11909199265918159	0.12066146120424576	5.048601844890958	0.005332140207642246	0.6821189646413428	False	False	False	False
sp|O00168|PLM_HUMAN	psvid_36643_sp|O00168|PLM_HUMAN	1.204219514435962	0.6144641691910967	1.7939748596808274	0.2291808054620219	5.254451881379377	0.003348722429660421	0.7026140675292368	0.37106100553828986	-12.743770359923776	0.055654560217364854	0.23591218751341536	0.22735884214382743	5.2965589685496886	0.004415496052974824	0.6821189646413428	False	False	False	False
sp|O14561|ACPM_HUMAN	psvid_87262_sp|O14561|ACPM_HUMAN	1.581876969758241	0.8025171784956838	2.3612367610207983	0.3028616970518611	5.223100131699273	0.003436487266674107	0.7026140675292368	0.522612450699897	-12.52404017721433	0.04774456257703627	0.21850529187421588	0.3114866754712087	5.078473958365057	0.005210420576730686	0.6821189646413428	False	False	False	False
sp|Q9NR77|PXMP2_HUMAN	psvid_74152_sp|Q9NR77|PXMP2_HUMAN	0.45130570850270635	0.22538367591119046	0.6772277410942222	0.08779402139957386	5.1405061678254205	0.003680900819570791	0.7026140675292368	0.11373926068524974	-11.2055089461725	0.019167079345581223	0.13844522146170746	0.0996867019540388	4.527240842121388	0.008117201927490686	0.7206511690381262	False	False	False	False
