feature	first_member_id	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance	prior_variance	prior_sd	notrend_se	notrend_t	notrend_p	notrend_q	hit_q05_trend	hit_q05_notrend	hit_q10_trend	hit_q10_notrend
sp|P56134|ATPK_HUMAN	psvid_86283_sp|P56134|ATPK_HUMAN	0.858438115505344	0.33152009209118305	1.385356138919505	0.23620359499782653	3.6343143528922286	0.004645198683917614	1.0	0.3447083326484261	-11.056189082180017	0.10048472472739184	0.31699325659608574	0.2658751188852484	3.2287267763323335	0.011020959892787327	1.0	False	False	False	False
sp|O00168|PLM_HUMAN	psvid_36643_sp|O00168|PLM_HUMAN	1.204219514435962	0.46493521946437544	1.9435038094075485	0.33140185083490425	3.6337139077592924	0.004649798592149569	1.0	0.44521266228706824	-12.743770359923776	0.25252586147574996	0.5025195135273355	0.3137991177461831	3.837549076253289	0.004358984111620917	1.0	False	False	False	False
sp|P61966|AP1S1_HUMAN	psvid_87408_sp|P61966|AP1S1_HUMAN	-1.4521216731816393	-2.517578527565094	-0.3866648187981847	0.4776164946679716	-3.0403507613176592	0.012574604983952763	1.0	0.6951887449068436	-13.569891439918516	0.4147588725438117	0.6440177579413565	0.44522199372089244	-3.2615676980503516	0.010471295827963025	1.0	False	False	False	False
sp|Q8N8J7|F241A_HUMAN	psvid_81790_sp|Q8N8J7|F241A_HUMAN	-1.248250367505236	-2.187573074722101	-0.30892766028837126	0.42107384915418233	-2.9644452392676874	0.014308108650448122	1.0	0.5229887028779096	-13.910984148657356	0.4789307669764668	0.6920482403535658	0.3532985384321441	-3.5331319881612813	0.006891333370615112	1.0	False	False	False	False
sp|Q08722|CD47_HUMAN	psvid_40342_sp|Q08722|CD47_HUMAN	1.2276211217864592	0.30362127019461804	2.1516209733783005	0.41420501297201506	2.9638007347569233	0.014323824366955007	1.0	0.4264414427935256	-15.04390687069981	0.590401894367166	0.7683761412011476	0.30453980609505904	4.031069493106821	0.003279239918576613	1.0	False	False	False	False
sp|Q02325|PLGB_HUMAN	psvid_44984_sp|Q02325|PLGB_HUMAN	-1.1609391216334681	-2.0376980543589944	-0.28418018890794194	0.3930281422418719	-2.953832046253368	0.014569147310626066	1.0	0.6093995355829249	-12.494638120824114	0.2132325779282917	0.4617711315449372	0.3988229324318088	-2.9109136592389078	0.018179386759982187	1.0	False	False	False	False
sp|O14561|ACPM_HUMAN	psvid_87262_sp|O14561|ACPM_HUMAN	1.581876969758241	0.3096498132543164	2.8541041262621656	0.570306223486098	2.773732609980542	0.0198127020395781	1.0	0.9658659511078358	-12.52404017721433	0.21753015657957542	0.4664012827807996	0.5962801167723524	2.6529091365999204	0.027444708863170627	1.0	False	False	False	False
sp|Q9Y2D2|S35A3_HUMAN	psvid_58610_sp|Q9Y2D2|S35A3_HUMAN	-1.2900038178809852	-2.328837576544823	-0.2511700592171473	0.4656820558378124	-2.7701385563592926	0.019934794886246	1.0	0.5769004750129522	-14.939240148320401	0.5884257772738953	0.7670891586210141	0.3815351198640261	-3.3810880066315385	0.008701048742763963	1.0	False	False	False	False
sp|P30046|DOPD_HUMAN	psvid_99364_sp|P30046|DOPD_HUMAN	0.4986500544932828	0.09292897787458515	0.9043711311119804	0.18187416752757352	2.7417310620414725	0.020926817483404	1.0	0.221363387808281	-10.73193914026679	0.0924576469389218	0.30406849053942075	0.2150754356389016	2.3184891059827284	0.04696112024259964	1.0	False	False	False	False
sp|P30273|FCERG_HUMAN	psvid_67242_sp|P30273|FCERG_HUMAN	0.6853412223519353	0.07688831469761537	1.2937941300062552	0.27275355518037964	2.512675671261919	0.030957590557714194	1.0	0.3442187736294522	-12.363947009462315	0.1952481244183039	0.4418688995825616	0.2656530842962435	2.579835367496339	0.030858177332156986	1.0	False	False	False	False
sp|Q14678|KANK1_HUMAN	psvid_34616_sp|Q14678|KANK1_HUMAN	1.216406662441651	0.1217920065694944	2.3110213183138075	0.4906871759273428	2.4789860467471585	0.032790329205793695	1.0	0.6594445154939197	-15.822123140563525	0.5531178271015167	0.7437189167296451	0.42576917490236105	2.856962725684878	0.01980797517053809	1.0	False	False	False	False
sp|Q8NHW5|RLA0L_HUMAN	psvid_64823_sp|Q8NHW5|RLA0L_HUMAN	0.4129862474788135	0.03668269491627779	0.7892898000413493	0.1686870594211216	2.448239058147354	0.0345562507312922	1.0	0.19311658353554967	-10.336847895015312	0.08698649476238603	0.2949347296646938	0.20533064527895498	2.011322990378494	0.0767381940167077	1.0	False	False	False	False
sp|O75348|VATG1_HUMAN	psvid_99175_sp|O75348|VATG1_HUMAN	0.7834267423881687	0.0675702413044289	1.4992832434719086	0.3208997824043697	2.441343950183684	0.03496495009797275	1.0	0.44570317479888766	-12.521455452443941	0.2171486590883977	0.46599212341883817	0.3140426772976611	2.4946505651065007	0.035383005287041816	1.0	False	False	False	False
sp|P62266|RS23_HUMAN	psvid_40300_sp|P62266|RS23_HUMAN	0.6091716756429939	0.04562686808739014	1.1727164831985977	0.25262242620682873	2.4113919131797457	0.03679621703167039	1.0	0.38840724938717364	-10.709432573016727	0.09202957118395433	0.30336376049876873	0.2861813010006305	2.128621518991738	0.0636602442329231	1.0	False	False	False	False
