feature	accession	entry	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance	prior_variance	prior_sd	notrend_se	notrend_t	notrend_p	notrend_q	hit_q05_trend	hit_q05_notrend	hit_q10_trend	hit_q10_notrend
psvid_86283_sp|P56134|ATPK_HUMAN	P56134	ATPK_HUMAN	-0.516019408282129	-0.6487693534122327	-0.38326946315202526	0.05729176581440908	-9.006868630192374	2.1915136854316402e-05	0.03946916147462384	0.01661497703615084	26.721961320267503	0.010506629697168323	0.10250185216457468	0.06926288459640773	-7.450157631882574	0.0002997529199611587	0.20997525410294768	True	False	True	False
psvid_99364_sp|P30046|DOPD_HUMAN	P30046	DOPD_HUMAN	-0.6590919557493438	-0.8836718926726377	-0.4345120188260498	0.09692343857629485	-6.800129725386588	0.0001562280894519156	0.14068339455145001	0.1175145441226798	24.441157892104975	0.02190909037590121	0.14801719621686263	0.09042566888649074	-7.288770587660089	0.0003379898793012326	0.20997525410294768	False	False	False	False
psvid_41564_sp|Q9Y5U8|MPC1_HUMAN	Q9Y5U8	MPC1_HUMAN	-0.389451425005265	-0.5479221554689975	-0.2309806945415325	0.0683922540929747	-5.694379139424646	0.000504748711634479	0.3030174765512322	0.06341641507557086	25.988918084976195	0.012698137072405935	0.1126860109880811	0.0757142689327155	-5.143699206174151	0.0021208877622369217	0.6366198099647827	False	False	False	False
psvid_52093_sp|Q96S06|LMF1_HUMAN	Q96S06	LMF1_HUMAN	0.6177522283751227	0.3292992849146955	0.9062051718355498	0.1244895315701654	4.962282535595711	0.001195717568846827	0.497039785273086	0.10096185762764842	22.616439573578596	0.044034702718195484	0.20984447268916923	0.08528636335138103	7.243270836041804	0.000349764443258658	0.20997525410294768	False	False	False	False
psvid_78187_sp|P02654|APOC1_HUMAN	P02654	APOC1_HUMAN	0.5370082937660445	0.2662543333563254	0.8077622541757636	0.11685106519565527	4.595664514199152	0.0018945907114483274	0.497039785273086	0.2207430101288033	25.69327432269803	0.01388208000760795	0.11782223901966873	0.12998487187415633	4.131313790776701	0.0061225196340125385	0.727886094873094	False	False	False	False
psvid_28839_sp|Q02928|CP4AB_HUMAN	Q02928	CP4AB_HUMAN	-0.388279682347175	-0.5843050307508869	-0.1922543339434631	0.08459994724236339	-4.5895972161167515	0.0019093917030209725	0.497039785273086	0.1578176178537699	28.574726768834083	0.007674804059641203	0.08760595904184373	0.10463148370150663	-3.710925895449039	0.009937707346001634	0.727886094873094	False	False	False	False
psvid_41137_sp|Q86UT6|NLRX1_HUMAN	Q86UT6	NLRX1_HUMAN	0.5229932164412121	0.2584316301731066	0.7875548027093175	0.11417858161150894	4.580484439898626	0.0019318592431491405	0.497039785273086	0.09104865149382885	23.083861305015432	0.03722090520327974	0.1929272018230704	0.0824527691270781	6.34294302032674	0.0007158549005323558	0.32231366896469316	False	False	False	False
psvid_51350_sp|Q9Y3U8|RL36_HUMAN	Q9Y3U8	RL36_HUMAN	0.3393262797387342	0.1579601066975532	0.5206924527799152	0.07827339063942568	4.33514221074024	0.002659241452145046	0.5687478006131435	0.09986086413184038	25.73938292766288	0.013683417978950256	0.1169761427768511	0.08496206300619581	3.993856407582629	0.007151912830049068	0.727886094873094	False	False	False	False
psvid_34616_sp|Q14678|KANK1_HUMAN	Q14678	KANK1_HUMAN	-0.5507065936346418	-0.8485036690903891	-0.2529095181788945	0.12852223999418877	-4.284912818665022	0.0028421600252738987	0.5687478006131435	0.20325459044767194	23.84080566366396	0.02784793476771316	0.16687700490994306	0.12265589328741183	-4.489850254029015	0.004136674442404412	0.727886094873094	False	False	False	False
psvid_53533_sp|O95831|AIFM1_HUMAN	O95831	AIFM1_HUMAN	-0.2399022917313678	-0.372732779008751	-0.10707180445398456	0.05732652591796772	-4.184839180289064	0.003248576773092632	0.585068676833983	0.06164565870544747	27.97575266289199	0.008310544860811087	0.0911621898640609	0.07534820177243372	-3.183915290452711	0.018951356223013374	0.727886094873094	False	False	False	False
psvid_34586_sp|Q9UN36|NDRG2_HUMAN	Q9UN36	NDRG2_HUMAN	-0.37106539788412096	-0.5918676037709025	-0.15026319199733937	0.09529305837808404	-3.893939434831492	0.0048313761125417685	0.6120621729922028	0.06910956872442564	23.96046914861374	0.02655197221734811	0.16294775916639084	0.07694837948148323	-4.82226396948897	0.002923953470662219	0.727886094873094	False	False	False	False
psvid_43805_sp|Q9H9B4|SFXN1_HUMAN	Q9H9B4	SFXN1_HUMAN	-0.22839017497209824	-0.3652877519237874	-0.09149259802040913	0.05908178652420124	-3.865661287654943	0.005024755297861076	0.6120621729922028	0.05160191460806907	27.097228358733148	0.009688337975719318	0.09842935525400599	0.07343926693669799	-3.1099190460188333	0.020819127861903333	0.727886094873094	False	False	False	False
