feature	first_member_id	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance	prior_variance	prior_sd	notrend_se	notrend_t	notrend_p	notrend_q	hit_q05_trend	hit_q05_notrend	hit_q10_trend	hit_q10_notrend
sp|Q8N8J7|F241A_HUMAN	psvid_81790_sp|Q8N8J7|F241A_HUMAN	-1.3304820237218404	-2.065358755831194	-0.5956052916124869	0.3226483562474034	-4.123628705864662	0.0028372291861128917	1.0	0.36202491848481894	0.6652410118609202	0.31488552096624517	0.5611466127192118	0.25517626219762707	-5.213972539073475	0.0010130530781106773	1.0	False	False	False	False
sp|P61966|AP1S1_HUMAN	psvid_87408_sp|P61966|AP1S1_HUMAN	-1.5323207542362414	-2.38008187357073	-0.6845596349017524	0.37221035813531395	-4.116813841271926	0.0028653888792182754	1.0	0.48702016684912863	1.2661603771181207	0.3322494624365634	0.5764108451760458	0.31735938507154615	-4.828345485641749	0.0015968011795385098	1.0	False	False	False	False
sp|P07148|FABPL_HUMAN	psvid_73804_sp|P07148|FABPL_HUMAN	-1.016699966373786	-1.650847848615356	-0.38255208413221586	0.2784232550617318	-3.6516345092954388	0.0057099253313463785	1.0	0.4838433055188667	6.393419010746911	0.04569743718390298	0.21376958900625453	0.31572503306777866	-3.220207015246474	0.013454908532544416	1.0	False	False	False	False
sp|Q9Y2D2|S35A3_HUMAN	psvid_58610_sp|Q9Y2D2|S35A3_HUMAN	-1.3729632740824185	-2.2827302298660177	-0.46319631829881946	0.3994340819707744	-3.43727121959231	0.00792171839976289	1.0	0.5611108414848813	0.9364816370412092	0.3249723286014784	0.5700634426109767	0.35604537726803254	-3.856146889526516	0.005536219668962723	1.0	False	False	False	False
sp|Q8WVM8|SCFD1_HUMAN	psvid_86181_sp|Q8WVM8|SCFD1_HUMAN	-0.6387419401058299	-1.0917388132796277	-0.18574506693203197	0.19888872531752735	-3.21155429542863	0.011248462215231974	1.0	0.2255150357621282	3.9366542250103125	0.11819001673474412	0.34378774954140545	0.19547053151101665	-3.267714755611797	0.012567285324881843	1.0	False	False	False	False
sp|Q08722|CD47_HUMAN	psvid_40342_sp|Q08722|CD47_HUMAN	1.146240625180289	0.30570242702128836	1.9867788233392898	0.36903912744756767	3.106013807013308	0.013276904243448111	1.0	0.4869777471961683	0.8231203125901445	0.3211036351189333	0.5666600701645857	0.31733754723841007	3.612054845558943	0.007732575657265051	1.0	False	False	False	False
sp|O00168|PLM_HUMAN	psvid_36643_sp|O00168|PLM_HUMAN	1.1229632740824185	0.28444153863406474	1.9614850095307723	0.36815379749956817	3.050255848803884	0.014498480880517807	1.0	0.475948300788004	1.3114816370412092	0.3326805916961358	0.5767847013367603	0.3116733379333743	3.6030135959928393	0.007830164580375689	1.0	False	False	False	False
sp|P56134|ATPK_HUMAN	psvid_86283_sp|P56134|ATPK_HUMAN	0.778869304354984	0.1839319912304176	1.3738066174795505	0.26120781589982917	2.9817993832683527	0.016159036951815677	1.0	0.28751171129989767	3.02999525823276	0.21085507702933068	0.45918958723966147	0.22108505333450626	3.5229396678233993	0.008754457460525875	1.0	False	False	False	False
sp|Q7L2H7|EIF3M_HUMAN	psvid_67794_sp|Q7L2H7|EIF3M_HUMAN	-0.8648997243312624	-1.5292522545920872	-0.20054719407043753	0.2916846356560949	-2.9651878042387034	0.01659083958939049	1.0	0.43454565790367017	3.6286085735550113	0.14434050048155067	0.379921703093612	0.29067884203536537	-2.9754478113203526	0.019207689265757364	1.0	False	False	False	False
sp|O15269|SPTC1_HUMAN	psvid_86951_sp|O15269|SPTC1_HUMAN	-0.8248020045968194	-1.4679024367061206	-0.18170157248751817	0.2823538809379319	-2.921164043706311	0.017793680211144237	1.0	0.24993555299654	2.308641627478699	0.293563208664377	0.5418147364776793	0.20519200980617983	-4.019659466155191	0.00444765771472184	1.0	False	False	False	False
sp|Q14678|KANK1_HUMAN	psvid_34616_sp|Q14678|KANK1_HUMAN	1.1360801290559526	0.24808223310307131	2.024078025008834	0.38987635471593013	2.913949808225015	0.01799919532454131	1.0	0.5478034164952781	2.110521314888554	0.30942622778093715	0.5562609349765064	0.3490241855509353	3.2550183514149547	0.012798241041825831	1.0	False	False	False	False
sp|Q6P4E1|GOLM2_HUMAN	psvid_73679_sp|Q6P4E1|GOLM2_HUMAN	-1.201838730514401	-2.1479949535170997	-0.2556825075117024	0.41541082574328353	-2.893132908522504	0.01860601218993477	1.0	0.5980254534486419	1.7471599904374895	0.32784276771033444	0.5725755563332532	0.37566296529836996	-3.1992473081817945	0.013867450849527447	1.0	False	False	False	False
