feature	first_member_id	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance	prior_variance	prior_sd	notrend_se	notrend_t	notrend_p	notrend_q	hit_q05_trend	hit_q05_notrend	hit_q10_trend	hit_q10_notrend
sp|P46783|RS10_HUMAN	psvid_64450_sp|P46783|RS10_HUMAN	0.5657586014584484	0.3869440557862427	0.744573147130654	0.07164839932423714	7.896318784431855	0.0003202416328923778	0.4875783503813941	0.05345775789214457	5.054656945173901	0.01898102190907151	0.13777162955075878	0.0917494978374206	6.16634003230152	0.0019517200994437563	0.5174616303768038	False	False	False	False
sp|P61966|AP1S1_HUMAN	psvid_87408_sp|P61966|AP1S1_HUMAN	-1.5323207542362414	-2.13432647335723	-0.9303150351152528	0.24121497497258432	-6.35251088540585	0.0009642445616259986	0.4875783503813941	0.321972598959881	1.2661603771181207	0.13130931568378032	0.36236627282872275	0.20055886059117137	-7.640254585210255	0.0007634155512039991	0.41358037486476656	False	False	False	False
sp|Q08722|CD47_HUMAN	psvid_40342_sp|Q08722|CD47_HUMAN	1.146240625180289	0.6500273177483151	1.642453932612263	0.1988254874190178	5.765058796333424	0.0015533274082303586	0.4875783503813941	0.20681547549988508	0.8231203125901445	0.12174447210802845	0.3489190050828823	0.14495319023410339	7.9076605580676	0.0006548747544851826	0.41358037486476656	False	False	False	False
sp|Q02325|PLGB_HUMAN	psvid_44984_sp|Q02325|PLGB_HUMAN	-1.244319980874979	-1.8163903080608186	-0.6722496536891394	0.22922029687056408	-5.428489526726425	0.0020760091490009676	0.4875783503813941	0.2836386693007873	1.6221599904374895	0.13405479209076426	0.36613493699832067	0.18138137350681555	-6.860241251995055	0.0012282479098181703	0.5174616303768038	False	False	False	False
sp|P12694|ODBA_HUMAN	psvid_47964_sp|P12694|ODBA_HUMAN	-0.3950241863873354	-0.5934588558455978	-0.19658951692907295	0.07950989883776839	-4.968239076663156	0.00315491639480184	0.4875783503813941	0.04681406629053905	4.613894651351941	0.024936368864416074	0.15791253548852946	0.0905968380043195	-4.360242532620193	0.008180486661364448	0.5174616303768038	False	False	False	False
sp|O14561|ACPM_HUMAN	psvid_87262_sp|O14561|ACPM_HUMAN	1.500938033715277	0.7463721563398464	2.2555039110907074	0.3023436214061954	4.964344961982124	0.0031664679138706333	0.4875783503813941	0.48499453709806717	2.2929502672182167	0.12119987785036902	0.3481377282777163	0.28588448142199224	5.250155679138637	0.0038549900213180758	0.5174616303768038	False	False	False	False
sp|P06756|ITAV_HUMAN	psvid_73598_sp|P06756|ITAV_HUMAN	-0.8055981053341119	-1.214834124780686	-0.3963620858875378	0.16397494750186303	-4.912934064668378	0.0033236131432050208	0.4875783503813941	0.09896845994796119	2.6295217015691854	0.10550146713940012	0.32480989384469205	0.10298861189481552	-7.82220568383703	0.0006874243052981107	0.41358037486476656	False	False	False	False
sp|Q8NHW5|RLA0L_HUMAN	psvid_64823_sp|Q8NHW5|RLA0L_HUMAN	0.37107902512339463	0.17787315284548288	0.5642848974013064	0.0774147955174268	4.79338636294481	0.0037248504468115357	0.4875783503813941	0.09800816631117036	5.523046614287988	0.014785811452188232	0.12159692205063512	0.10269846256970308	3.6132870525840386	0.01672039533321409	0.5404618371265411	False	False	False	False
sp|Q9P2R3|ANFY1_HUMAN	psvid_38492_sp|Q9P2R3|ANFY1_HUMAN	-0.868482797083103	-1.322839532597052	-0.41412606156915427	0.18205416510934475	-4.7704637603950335	0.0038079771651409267	0.4875783503813941	0.10738334651482431	1.2267226489021295	0.13068635517722887	0.36150567793221294	0.1056149142071518	-8.223107537441837	0.0005496593256983678	0.41358037486476656	False	False	False	False
sp|O00168|PLM_HUMAN	psvid_36643_sp|O00168|PLM_HUMAN	1.1229632740824185	0.5353675762970768	1.7105589718677603	0.23544108807179576	4.7696146975840525	0.003811096759438309	0.4875783503813941	0.3048483459697951	1.3114816370412092	0.1319554506942307	0.36325672835369577	0.1919303216396281	5.850890388184286	0.0024436369466797198	0.5174616303768038	False	False	False	False
