feature	first_member_id	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance	prior_variance	prior_sd	notrend_se	notrend_t	notrend_p	notrend_q	hit_q05_trend	hit_q05_notrend	hit_q10_trend	hit_q10_notrend
sp|Q8N8J7|F241A_HUMAN	psvid_81790_sp|Q8N8J7|F241A_HUMAN	-1.3304820237218404	-2.221706431107065	-0.43925761633661575	0.40401541773459854	-3.293146660546124	0.007333178140182408	1.0	0.4673721600679338	0.6652410118609202	0.4614252760780765	0.6792829131356658	0.33145774227150704	-4.014032119460955	0.002995803547110948	1.0	False	False	False	False
sp|Q9Y2D2|S35A3_HUMAN	psvid_58610_sp|Q9Y2D2|S35A3_HUMAN	-1.3729632740824185	-2.318190130344954	-0.4277364178198829	0.4284961453280782	-3.2041438156490503	0.008577735317538672	1.0	0.5211402848770635	0.9364816370412092	0.4867059220642574	0.6976431194129685	0.3569853801974245	-3.845993002075114	0.0038715258871604664	1.0	False	False	False	False
sp|P61966|AP1S1_HUMAN	psvid_87408_sp|P61966|AP1S1_HUMAN	-1.5323207542362414	-2.614657992468302	-0.44998351600418074	0.49065188050334274	-3.1230304318089774	0.009898803347067244	1.0	0.6771608799282054	1.2661603771181207	0.5101310619857753	0.7142345987039379	0.4350370331590072	-3.5222765820862287	0.0064108824520024595	1.0	False	False	False	False
sp|O00168|PLM_HUMAN	psvid_36643_sp|O00168|PLM_HUMAN	1.1229632740824185	0.22318695995799187	2.022739588206845	0.40789222153960536	2.7530882296400483	0.019073489917247367	1.0	0.4346639757647365	1.3114816370412092	0.5124506157510418	0.7158565608772764	0.31639955540652204	3.5491935904890672	0.006144570999839012	1.0	False	False	False	False
sp|Q08722|CD47_HUMAN	psvid_40342_sp|Q08722|CD47_HUMAN	1.146240625180289	0.2268479085665105	2.0656333417940678	0.4167848517015617	2.7501974232044626	0.019171580777913564	1.0	0.4939896414360803	0.8231203125901445	0.4766066211544738	0.6903670191676843	0.3439844600685412	3.332245372223771	0.008669986250572592	1.0	False	False	False	False
sp|Q7L2H7|EIF3M_HUMAN	psvid_67794_sp|Q7L2H7|EIF3M_HUMAN	-0.8648997243312624	-1.613534109652853	-0.11626533900967184	0.3393756178688797	-2.548502835184297	0.027407383031271798	1.0	0.47164094114165844	3.6286085735550113	0.24023051121523062	0.49013315661688367	0.33345109929797323	-2.5937827949950303	0.028849314366026987	1.0	False	False	False	False
sp|Q02325|PLGB_HUMAN	psvid_44984_sp|Q02325|PLGB_HUMAN	-1.244319980874979	-2.349985590893363	-0.13865437085659482	0.5012272437835874	-2.4825465820294346	0.030793540698063296	1.0	0.6985091518142078	1.6221599904374895	0.5206279252102003	0.7215455115307698	0.4460581558499773	-2.7895913673047623	0.020909947145504187	1.0	False	False	False	False
sp|Q14678|KANK1_HUMAN	psvid_34616_sp|Q14678|KANK1_HUMAN	1.1360801290559526	0.1141109359909187	2.1580493221209864	0.46328546102035917	2.4522248692065634	0.03248464133139761	1.0	0.6106019472641923	2.110521314888554	0.4997772533397082	0.7069492579667286	0.40114374378584206	2.832102324054865	0.01950224486066264	1.0	False	False	False	False
sp|O14561|ACPM_HUMAN	psvid_87262_sp|O14561|ACPM_HUMAN	1.500938033715277	0.14232402503208963	2.859552042398464	0.6158953925741817	2.437001561973036	0.033367556929376714	1.0	0.990764003728682	2.2929502672182167	0.4800728366762129	0.6928728863768685	0.601839175309123	2.4939187997264374	0.03400467300104868	1.0	False	False	False	False
sp|P56134|ATPK_HUMAN	psvid_86283_sp|P56134|ATPK_HUMAN	0.778869304354984	0.0715408294071519	1.4861977793028163	0.32065056445217216	2.429028327723899	0.03383928529651704	1.0	0.30152340210968953	3.02999525823276	0.34896968834263714	0.5907365642506287	0.2601909271392992	2.9934529728548083	0.01498286762929464	1.0	False	False	False	False
