definition	candidate_pair	batch	control_sample	treated_sample	n_adduct_features	n_control_detected	n_treated_detected	n_treated_only	n_control_only	n_both	n_neither
quantified	P905_906	B2021-05-06	AZ905	AZ906	60	9	32	24	1	8	27
quantified	P907_908	B2021-05-06	AZ907	AZ908	60	6	32	28	2	4	26
quantified	P909_910	B2021-05-06	AZ909	AZ910	60	8	28	23	3	5	29
quantified	P941_942	B2022-03-18	AZ941	AZ942	60	3	24	22	1	2	35
msms	P905_906	B2021-05-06	AZ905	AZ906	60	2	26	26	2	0	32
msms	P907_908	B2021-05-06	AZ907	AZ908	60	3	21	20	2	1	37
msms	P909_910	B2021-05-06	AZ909	AZ910	60	2	13	13	2	0	45
msms	P941_942	B2022-03-18	AZ941	AZ942	60	3	24	22	1	2	35
psm	P905_906	B2021-05-06	AZ905	AZ906	60	3	30	30	3	0	27
psm	P907_908	B2021-05-06	AZ907	AZ908	60	8	25	21	4	4	31
psm	P909_910	B2021-05-06	AZ909	AZ910	60	2	17	17	2	0	41
psm	P941_942	B2022-03-18	AZ941	AZ942	60	7	29	23	1	6	30
