definition	mod_class	candidate_pair	batch	treated_only_cells	control_only_cells	prop_treated_only	prop_ci_low	prop_ci_high	n_detected_control	n_detected_treated
quantified	unmodified	P905_906	B2021-05-06	1585	2281	0.4099844800827729	0.3944245167269032	0.4256806596213666	20020	19324
quantified	unmodified	P907_908	B2021-05-06	1311	3158	0.2933542179458492	0.28003216406002934	0.3069468129512294	19156	17309
quantified	unmodified	P909_910	B2021-05-06	1366	2449	0.3580602883355177	0.3428294033888835	0.37350891133899355	19214	18131
quantified	unmodified	P941_942	B2022-03-18	2050	1924	0.5158530447911425	0.5001827168868621	0.531500042183352	13665	13791
quantified	CAM-only	P905_906	B2021-05-06	375	608	0.3814852492370295	0.35100454195480885	0.4126781783144057	4310	4077
quantified	CAM-only	P907_908	B2021-05-06	227	832	0.21435316336166194	0.18998635628936633	0.24031831497468018	4173	3568
quantified	CAM-only	P909_910	B2021-05-06	296	684	0.3020408163265306	0.27341509953301285	0.33186133079732144	3993	3605
quantified	CAM-only	P941_942	B2022-03-18	381	559	0.4053191489361702	0.3737408225046753	0.4374926036458894	3388	3210
quantified	oxidized	P905_906	B2021-05-06	97	106	0.47783251231527096	0.4074267833910017	0.5488950497494295	528	519
quantified	oxidized	P907_908	B2021-05-06	71	116	0.37967914438502676	0.30986247007629314	0.45337557837292697	555	510
quantified	oxidized	P909_910	B2021-05-06	62	89	0.4105960264900662	0.33128751483046925	0.4934840575451871	627	600
quantified	oxidized	P941_942	B2022-03-18	101	57	0.6392405063291139	0.559134309341217	0.714016188006659	372	416
quantified	raloxifene-adduct	P905_906	B2021-05-06	24	1	0.96	0.796483086077586	0.9989878003006891	9	32
quantified	raloxifene-adduct	P907_908	B2021-05-06	28	2	0.9333333333333333	0.7792645984770381	0.9918218655393437	6	32
quantified	raloxifene-adduct	P909_910	B2021-05-06	23	3	0.8846153846153846	0.6984595998924322	0.9755419246820378	8	28
quantified	raloxifene-adduct	P941_942	B2022-03-18	22	1	0.9565217391304348	0.7805133925465196	0.9988998313695585	3	24
quantified	unexplained	P905_906	B2021-05-06	0	0				0	0
quantified	unexplained	P907_908	B2021-05-06	0	0				0	0
quantified	unexplained	P909_910	B2021-05-06	0	0				0	0
quantified	unexplained	P941_942	B2022-03-18	0	0				0	0
msms	unmodified	P905_906	B2021-05-06	1952	3588	0.3523465703971119	0.33975772325146136	0.36509112002030286	17620	15984
msms	unmodified	P907_908	B2021-05-06	1744	3777	0.31588480347763087	0.30363199159975457	0.3283324887567613	16003	13970
msms	unmodified	P909_910	B2021-05-06	1971	2781	0.4147727272727273	0.40071545558479593	0.42893481693622315	15641	14831
msms	unmodified	P941_942	B2022-03-18	1866	2132	0.46673336668334164	0.45117298695332303	0.482342409597999	13280	13014
msms	CAM-only	P905_906	B2021-05-06	438	813	0.3501199040767386	0.3236657300235366	0.3772805855374001	3834	3459
msms	CAM-only	P907_908	B2021-05-06	323	882	0.2680497925311203	0.24321647507545865	0.29402029986733375	3501	2942
msms	CAM-only	P909_910	B2021-05-06	407	679	0.3747697974217311	0.3458922635799298	0.40432796966104884	3263	2991
msms	CAM-only	P941_942	B2022-03-18	362	622	0.3678861788617886	0.33768131154589887	0.3988843014595413	3330	3070
msms	oxidized	P905_906	B2021-05-06	86	106	0.4479166666666667	0.37626774466902524	0.5211988420797555	441	421
msms	oxidized	P907_908	B2021-05-06	80	114	0.41237113402061853	0.3423456947486111	0.48511696292735706	448	414
msms	oxidized	P909_910	B2021-05-06	86	97	0.46994535519125685	0.39591458360457826	0.5449654817691381	532	521
msms	oxidized	P941_942	B2022-03-18	106	58	0.6463414634146342	0.5679862816488561	0.7193012477924721	353	401
msms	raloxifene-adduct	P905_906	B2021-05-06	26	2	0.9285714285714286	0.7649652268254092	0.9912295032964729	2	26
msms	raloxifene-adduct	P907_908	B2021-05-06	20	2	0.9090909090909091	0.7083872584460665	0.988794413975849	3	21
msms	raloxifene-adduct	P909_910	B2021-05-06	13	2	0.8666666666666667	0.5953973033966279	0.9834240865599164	2	13
msms	raloxifene-adduct	P941_942	B2022-03-18	22	1	0.9565217391304348	0.7805133925465196	0.9988998313695585	3	24
msms	unexplained	P905_906	B2021-05-06	0	0				0	0
msms	unexplained	P907_908	B2021-05-06	0	0				0	0
msms	unexplained	P909_910	B2021-05-06	0	0				0	0
msms	unexplained	P941_942	B2022-03-18	0	0				0	0
psm	unmodified	P905_906	B2021-05-06	1935	3407	0.36222388618494944	0.3493194860307561	0.3752789737311056	19107	17635
psm	unmodified	P907_908	B2021-05-06	1744	3730	0.31859700401899893	0.3062621074436537	0.331125555134056	17355	15369
psm	unmodified	P909_910	B2021-05-06	1980	2832	0.4114713216957606	0.3975206992442067	0.42552945988070257	17000	16148
psm	unmodified	P941_942	B2022-03-18	1896	2159	0.46757090012330454	0.4521186080516295	0.48306996010462366	14379	14116
psm	CAM-only	P905_906	B2021-05-06	446	768	0.3673805601317957	0.3401990668421652	0.3952062826723772	4253	3931
psm	CAM-only	P907_908	B2021-05-06	340	922	0.2694136291600634	0.245100553736513	0.2948056488587097	3845	3263
psm	CAM-only	P909_910	B2021-05-06	427	687	0.38330341113105926	0.3546444188000639	0.41258052569601117	3606	3346
psm	CAM-only	P941_942	B2022-03-18	343	651	0.34507042253521125	0.3155100178308105	0.3755519138069975	3661	3353
psm	oxidized	P905_906	B2021-05-06	99	93	0.515625	0.4425688534034583	0.5881912784094214	512	518
psm	oxidized	P907_908	B2021-05-06	79	128	0.38164251207729466	0.31517741427551216	0.4515498829061016	530	481
psm	oxidized	P909_910	B2021-05-06	93	96	0.49206349206349204	0.418764857240032	0.5656149524453286	607	604
psm	oxidized	P941_942	B2022-03-18	96	62	0.6075949367088608	0.5268586897410514	0.6842155460539033	420	454
psm	raloxifene-adduct	P905_906	B2021-05-06	30	3	0.9090909090909091	0.756683649240845	0.9808450570125951	3	30
psm	raloxifene-adduct	P907_908	B2021-05-06	21	4	0.84	0.639171545540728	0.9546205476282904	8	25
psm	raloxifene-adduct	P909_910	B2021-05-06	17	2	0.8947368421052632	0.668623335543234	0.9869878356282226	2	17
psm	raloxifene-adduct	P941_942	B2022-03-18	23	1	0.9583333333333334	0.7887983165430269	0.9989456475545303	7	29
psm	unexplained	P905_906	B2021-05-06	0	0				0	0
psm	unexplained	P907_908	B2021-05-06	0	0				0	0
psm	unexplained	P909_910	B2021-05-06	0	0				0	0
psm	unexplained	P941_942	B2022-03-18	0	0				0	0
