protein_group	accession	entry	n_base_sequences	AZ905_oxidation_index	AZ907_oxidation_index	AZ909_oxidation_index	AZ906_oxidation_index	AZ908_oxidation_index	AZ910_oxidation_index	AZ941_oxidation_index	AZ942_oxidation_index	log2_ratio_P905_906	log2_ratio_P907_908	log2_ratio_P909_910	log2_ratio_P941_942	mean_log2_ratio	ci_low	ci_high	t	p	q
psvid_39450_sp|O14975|S27A2_HUMAN	O14975	S27A2_HUMAN	1	0.031338540043907896	0.021104099118455365	0.024006557809757703	0.05391791003467854	0.04153619561582557	0.0395357973546591	0.03817462846969662	0.042653414445155635	0.782826604760988	0.9768458373325871	0.7197309641256433	0.16004711901232965	0.6598626313078871	0.24620948892033312	1.073515773695441	4.145957638189283	0.009654410698478083	0.4468160147981106
psvid_33371_sp|P23284|PPIB_HUMAN	P23284	PPIB_HUMAN	1	0.01878316990107487	0.01903064516428693	0.02284052911473746	0.02016249521334388	0.02505672500135059	0.029684519138510165	0.013035869458742078	0.016377322044346984	0.10223363403014941	0.3968733901339585	0.37811467098819485	0.32921266230625323	0.30160858936463897	0.05392123623974546	0.5492959424895325	3.1648091603782267	0.026226255150160725	0.4468160147981106
psvid_36713_sp|P15880|RS2_HUMAN	P15880	RS2_HUMAN	1	0.0512168446058421	0.05592283609631533	0.06449534117563621	0.06144304194646392	0.07554388954196299	0.07008536686465536	0.08640178704117199	0.11251365347853666	0.26263126998251674	0.4338775379264604	0.11991830399372243	0.38096702547034467	0.29934853434326103	0.049646939045426025	0.549050129641096	3.115756235217783	0.02767978366634329	0.4468160147981106
psvid_58442_sp|P20813|CP2B6_HUMAN	P20813	CP2B6_HUMAN	3	0.024037722419504023	0.029683393112552373	0.035723773498945684	0.025987401643228804	0.03844573788015535	0.04946501694528429	0.009709725297079167	0.01921381641031395	0.11251218600939945	0.37316765288449727	0.46952409095400943	0.9846417224332206	0.4849614130702817	0.05792710446790911	0.9119957216726542	2.951563083639519	0.033250078629291406	0.4468160147981106
psvid_41130_sp|P11712|CP2C9_HUMAN	P11712	CP2C9_HUMAN	2	0.030519107252404434	0.034633619758368116	0.03904829574485729	0.02442924135973034	0.02810511062102846	0.03479655269504298	0.03619008769984581	0.03198929549480807	-0.32110369896182006	-0.3013406864174845	-0.16631519868040742	-0.17800538370587957	-0.2416912419413979	-0.46260672019093674	-0.020775763691859073	-2.8434292172058084	0.03760532414089921	0.4468160147981106
psvid_67259_sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	1	0.03704958483038625	0.06324851309506606	0.08433582972109778	0.05134314579134546	0.06718025982452808	0.09979601868713092	0.07339327970424618	0.09076964632673648	0.47071431636280736	0.08700581132357103	0.2428365768060125	0.30656196816085707	0.276779668163312	0.015192171542887323	0.5383671647837367	2.749950372195833	0.04188900138732287	0.4468160147981106
psvid_69415_sp|Q8NBS9|TXND5_HUMAN	Q8NBS9	TXND5_HUMAN	1	0.7902048733428659	0.638549428646679	0.5286682433973736	0.8111959707264614	0.7760449471010832	0.6272734752714839	0.6798088446470681	0.8302240753749079	0.03782374266434638	0.2813419131203994	0.24673189050701172	0.28837163657938697	0.2135672957177861	-0.024561338716956843	0.45169593015252907	2.3309383148687854	0.06902155676157948	0.5947571138958905
psvid_20925_sp|P62805|H4_HUMAN	P62805	H4_HUMAN	1	0.7468449473754104	0.7100981583112104	0.6413571465379215	0.5726121633329029	0.16775906625836137	0.13349968151930844	0.10253946628912267	0.12643285308505597	-0.38325043975177175	-2.081627728494276	-2.2642916604845977	0.3021920971843784	-1.1067444328865668	-2.4189066194867364	0.20541775371360282	-2.192135935569157	0.08185889581685277	0.5947571138958905
psvid_60920_sp|P39023|RL3_HUMAN	P39023	RL3_HUMAN	1	0.04772652250625589	0.0280255504184186	0.05160027499976608	0.055951118451482755	0.03248755034306431	0.24415236560687859	0.07701370777156215	0.12299240028231877	0.2293757494228345	0.21314425665030856	2.242331096885818	0.6753820130177924	0.8400582789941884	-0.16387258377796754	1.8439891417663443	2.174769654371334	0.0836377191416096	0.5947571138958905
psvid_44001_sp|P06576|ATPB_HUMAN	P06576	ATPB_HUMAN	4	0.020385883154143095	0.02379982075557607	0.03113278927028793	0.03429225145690005	0.02617488880088931	0.03406943022794685	0.05431799020146375	0.05821207284680196	0.750312169093027	0.13723269999511362	0.13004298269519005	0.09988829078166503	0.27936903564124893	-0.1023792155581087	0.6611172868406066	1.9019927891775026	0.11767522991137497	0.6575416182398145
