variant	sample_id	condition	candidate_pair	batch	run_position_within_batch	oxidized_sum	total_sum	oxidation_index
complete_case	AZ905	control	P905_906	B2021-05-06	1	1409510614.99288	30727868578.93383	0.045870757725096536
complete_case	AZ907	control	P907_908	B2021-05-06	2	1293429296.399727	24897056041.42009	0.05195109390636018
complete_case	AZ909	control	P909_910	B2021-05-06	3	1287054363.0821145	18209270463.58084	0.07068127005177208
complete_case	AZ906	raloxifene-d0	P905_906	B2021-05-06	4	1281035650.8751976	28088273943.97155	0.04560748921170858
complete_case	AZ908	raloxifene-d0	P907_908	B2021-05-06	5	1009111310.1192019	18379207059.423744	0.05490505149958527
complete_case	AZ910	raloxifene-d0	P909_910	B2021-05-06	6	1107397116.4135063	16671774530.493328	0.06642347006241199
complete_case	AZ941	control	P941_942	B2022-03-18	1	730808707.7806005	18604829909.93325	0.03928059064869046
complete_case	AZ942	raloxifene-d0	P941_942	B2022-03-18	2	649553730.0229646	14709769988.192913	0.04415798007340303
missing_as_zero	AZ905	control	P905_906	B2021-05-06	1	3080516279.564408	83006421414.9069	0.03711178276396802
missing_as_zero	AZ907	control	P907_908	B2021-05-06	2	2775037337.3288417	61795308317.22295	0.04490692599320541
missing_as_zero	AZ909	control	P909_910	B2021-05-06	3	3054315404.8294683	50148709751.40647	0.060905164259860284
missing_as_zero	AZ906	raloxifene-d0	P905_906	B2021-05-06	4	2895653764.6455812	74806536135.27689	0.03870856631309872
missing_as_zero	AZ908	raloxifene-d0	P907_908	B2021-05-06	5	2218046462.5292115	45499554122.95227	0.04874875161491565
missing_as_zero	AZ910	raloxifene-d0	P909_910	B2021-05-06	6	2659168856.9539213	43463595078.51163	0.06118152104423163
missing_as_zero	AZ941	control	P941_942	B2022-03-18	1	1461817908.5955625	48720948070.954094	0.030003888809114792
missing_as_zero	AZ942	raloxifene-d0	P941_942	B2022-03-18	2	1330630478.878388	38637025036.01421	0.03443925813744938
