protein_group	AZ905	AZ907	AZ909	AZ906	AZ908	AZ910	AZ941	AZ942
sp|P23141|EST1_HUMAN	2146	2865	1794	2083	2756	1745	1584	1655
sp|P14625|ENPL_HUMAN	1511	1488	1547	1593	1557	1576	937	1070
sp|P11021|BIP_HUMAN	1059	1217	1298	1092	1245	1302	776	843
sp|P27797|CALR_HUMAN	1191	1146	1221	1184	1233	1232	803	877
sp|P08684|CP3A4_HUMAN	1287	1280	886	946	939	649	1458	1467
sp|P07237|PDIA1_HUMAN	1058	971	1033	1044	879	947	742	612
sp|P16435|NCPR_HUMAN	1257	693	777	981	764	768	1451	1611
sp|P07099|HYEP_HUMAN	668	793	611	712	555	436	1256	1024
sp|P33121|ACSL1_HUMAN	609	543	625	615	559	595	613	663
sp|P00738|HPT_HUMAN	539	928	456	503	803	480	359	367
sp|P06576|ATPB_HUMAN	580	530	482	572	533	528	560	694
sp|P11509|CP2A6_HUMAN	628	303	481	677	350	494	779	952
sp|RETBP_HUMAN|,sp|P02753|RET4_HUMAN	904	576	457	532	406	332	99	127
sp|P13667|PDIA4_HUMAN	465	434	526	512	411	571	344	351
sp|P30101|PDIA3_HUMAN	497	452	480	457	426	456	325	307
sp|P35573|GDE_HUMAN	285	330	506	277	318	524	410	445
sp|P31513|FMO3_HUMAN	398	414	383	368	341	392	479	523
sp|P01024|CO3_HUMAN	356	452	398	363	374	346	263	233
sp|P11712|CP2C9_HUMAN	270	195	233	289	150	213	549	706
sp|Q9UKY3|CES1P_HUMAN	336	452	260	319	463	257	322	310
sp|Q14697|GANAB_HUMAN	378	299	343	383	322	360	233	205
sp|TRYP_PIG|	254	296	288	192	263	334	337	394
sp|P10632|CP2C8_HUMAN	273	290	200	244	256	212	416	410
sp|P22310|UD14_HUMAN	342	425	232	326	403	220	180	176
sp|P31327|CPSM_HUMAN	320	436	192	295	404	208	310	334
sp|P40939|ECHA_HUMAN	425	216	238	403	290	268	387	484
sp|Q07954|LRP1_HUMAN	334	274	333	298	252	339	209	192
sp|Q9Y4L1|HYOU1_HUMAN	251	272	302	298	284	322	216	235
sp|P22309|UD11_HUMAN	345	374	209	334	355	201	210	215
sp|P05181|CP2E1_HUMAN	213	263	310	226	217	280	387	421
sp|Q00610|CLH1_HUMAN	233	278	309	233	245	308	183	181
sp|P29373|RABP2_HUMAN	755	643	493	381	369	312	0	0
sp|P19224|UD16_HUMAN	326	355	195	306	342	176	174	167
sp|Q9Y2P5|S27A5_HUMAN	273	209	260	250	163	251	447	555
sp|Q9HAW7|UD17_HUMAN	289	329	162	276	333	158	137	142
sp|P35503|UD13_HUMAN	316	346	176	304	330	164	169	161
sp|O60656|UD19_HUMAN	326	386	186	297	373	184	173	173
sp|P55157|MTP_HUMAN	308	221	267	267	203	242	249	243
sp|Q9HAW9|UD18_HUMAN	285	323	158	272	331	156	130	130
sp|P35504|UD15_HUMAN	292	320	161	271	319	153	134	132
sp|CYB5_HUMAN|	296	228	218	279	259	203	261	292
sp|P00167|CYB5_HUMAN	296	228	218	278	257	203	261	292
sp|P20813|CP2B6_HUMAN	223	349	166	224	252	170	286	328
sp|P10620|MGST1_HUMAN	150	153	125	168	105	112	350	398
sp|Q9HAW8|UD110_HUMAN	275	301	148	255	304	138	122	119
sp|P27824|CALX_HUMAN	228	227	247	233	216	238	167	167
sp|Q7Z5P4|DHB13_HUMAN	322	229	169	293	173	151	448	524
sp|P07437|TBB5_HUMAN	225	240	220	192	278	227	181	178
sp|P68371|TBB4B_HUMAN	202	233	204	188	266	204	172	173
sp|ALBU_HUMAN|,sp|P02768|ALBU_HUMAN	218	216	208	213	208	209	187	190
sp|P24462|CP3A7_HUMAN	219	248	181	187	208	152	317	363
sp|P0C0L5|CO4B_HUMAN	186	239	215	176	214	213	149	120
sp|P0C0L4|CO4A_HUMAN	183	245	205	173	219	209	142	117
sp|P25705|ATPA_HUMAN	251	197	154	258	228	172	217	285
sp|P06133|UD2B4_HUMAN	173	295	129	175	227	110	130	133
sp|P39023|RL3_HUMAN	233	113	225	202	174	213	202	205
sp|Q16696|CP2AD_HUMAN	256	107	173	285	116	194	287	384
sp|P02675|FIBB_HUMAN	148	181	223	133	179	238	125	123
sp|P04350|TBB4A_HUMAN	182	204	188	166	234	179	145	152
sp|Q9NYU2|UGGG1_HUMAN	199	213	179	186	184	171	167	164
sp|P01009|A1AT_HUMAN	112	200	223	110	171	232	99	103
sp|P00325|ADH1B_HUMAN	229	217	149	233	202	137	118	137
sp|Q13885|TBB2A_HUMAN	176	200	172	147	220	164	137	136
sp|Q9BVA1|TBB2B_HUMAN	177	201	170	147	219	163	136	136
sp|O14975|S27A2_HUMAN	193	160	159	178	164	165	242	256
sp|P08133|ANXA6_HUMAN	191	118	187	203	105	193	180	203
sp|P16662|UD2B7_HUMAN	146	217	179	140	175	152	129	124
sp|P68363|TBA1B_HUMAN	168	192	154	158	173	145	177	169
sp|TRFE_HUMAN|	171	187	171	144	157	181	126	111
sp|Q15084|PDIA6_HUMAN	167	161	157	155	145	167	134	132
sp|P55084|ECHB_HUMAN	232	128	126	202	162	134	156	212
sp|P20815|CP3A5_HUMAN	206	209	104	172	135	101	252	279
sp|P63261|ACTG_HUMAN	260	172	102	212	172	116	120	140
sp|P60709|ACTB_HUMAN	260	172	102	212	172	116	120	140
sp|P02787|TRFE_HUMAN	165	181	164	141	149	173	119	106
sp|P06737|PYGL_HUMAN	117	173	155	87	147	179	94	106
sp|P20853|CP2A7_HUMAN	212	93	139	204	80	135	247	290
sp|O95479|G6PE_HUMAN	162	146	128	158	144	153	133	137
sp|P35579|MYH9_HUMAN	236	146	109	215	127	112	116	115
sp|Q9BQE3|TBA1C_HUMAN	148	168	130	143	154	131	160	148
sp|P00739|HPTR_HUMAN	136	294	89	139	266	102	114	109
sp|P02679|FIBG_HUMAN	128	156	169	99	129	163	91	87
sp|Q71U36|TBA1A_HUMAN	138	164	133	138	144	128	163	150
sp|P02671|FIBA_HUMAN	123	145	156	118	150	154	87	121
sp|P68366|TBA4A_HUMAN	150	173	129	126	144	111	150	140
sp|P78329|CP4F2_HUMAN	143	123	126	147	116	136	173	216
sp|P49326|FMO5_HUMAN	140	143	136	127	116	129	158	187
sp|P31040|SDHA_HUMAN	174	132	105	181	131	108	177	173
sp|Q02928|CP4AB_HUMAN	157	128	127	138	109	127	181	196
sp|P51648|AL3A2_HUMAN	140	115	134	132	103	151	158	181
sp|P02763|A1AG1_HUMAN	172	156	150	123	157	95	82	86
sp|P07327|ADH1A_HUMAN	168	172	106	176	145	92	101	101
sp|P33261|CP2CJ_HUMAN	116	100	95	120	84	94	155	186
sp|P27338|AOFB_HUMAN	171	132	103	180	117	108	150	173
sp|Q9ULC5|ACSL5_HUMAN	181	118	117	136	99	121	185	174
sp|P23284|PPIB_HUMAN	138	138	126	127	114	138	105	98
sp|P11142|HSP7C_HUMAN	143	125	110	123	117	119	154	144
sp|P00326|ADH1G_HUMAN	143	159	99	162	132	100	82	97
sp|P28845|DHI1_HUMAN	143	124	145	125	121	120	50	33
sp|P49257|LMAN1_HUMAN	130	137	138	107	101	113	88	82
sp|P04843|RPN1_HUMAN	124	123	125	112	100	127	130	117
sp|P00367|DHE3_HUMAN	123	164	102	111	138	113	66	62
sp|Q08426|ECHP_HUMAN	115	115	130	124	101	119	123	140
sp|P16615|AT2A2_HUMAN	127	113	127	98	99	121	160	159
sp|Q9H8H3|TMT1A_HUMAN	184	70	79	201	70	51	362	458
sp|Q5JRA6|TGO1_HUMAN	124	117	132	105	109	126	105	107
sp|P55072|TERA_HUMAN	120	128	142	93	121	143	90	116
sp|P0DPH7|TBA3C_HUMAN,sp|P0DPH8|TBA3D_HUMAN	116	147	112	106	114	94	136	117
sp|Q15392|DHC24_HUMAN	108	122	104	99	99	93	185	230
sp|Q9HDC9|APMAP_HUMAN	114	118	120	128	104	100	94	94
sp|P49327|FAS_HUMAN	116	121	117	106	115	97	68	80
sp|P63244|RACK1_HUMAN	147	59	103	151	78	111	167	186
sp|Q16134|ETFD_HUMAN	138	85	68	134	99	91	122	133
sp|Q08477|CP4F3_HUMAN	113	94	94	114	89	101	145	165
sp|Q16698|DECR_HUMAN	136	72	133	150	95	148	55	61
sp|P07148|FABPL_HUMAN	209	188	121	87	60	57	43	41
sp|P08319|ADH4_HUMAN	91	157	81	91	139	92	91	98
sp|Q3ZCM7|TBB8_HUMAN	102	123	111	93	132	92	78	84
sp|Q13423|NNTM_HUMAN	149	89	87	138	95	91	136	144
sp|Q13509|TBB3_HUMAN	93	108	94	90	138	107	67	74
sp|O00748|EST2_HUMAN	101	112	99	105	92	110	88	82
sp|A6NNZ2|TBB8B_HUMAN	98	117	107	88	127	88	71	80
sp|P0DMV8|HS71A_HUMAN,sp|P0DMV9|HS71B_HUMAN	120	74	99	102	63	108	127	118
sp|Q06278|AOXA_HUMAN	115	127	98	114	97	98	51	51
sp|Q9HBI6|CP4FB_HUMAN	102	79	103	110	74	98	166	177
sp|P11498|PYC_HUMAN	120	152	57	120	154	56	74	79
sp|P48449|LSS_HUMAN	125	113	93	102	98	74	129	118
sp|Q7KZF4|SND1_HUMAN	116	78	99	113	87	94	136	143
sp|P54855|UDB15_HUMAN	80	131	90	80	104	85	88	82
sp|O75452|RDH16_HUMAN	107	109	95	92	82	78	170	172
sp|Q13162|PRDX4_HUMAN	128	97	103	104	97	97	60	48
sp|P30040|ERP29_HUMAN	142	92	91	121	94	89	76	82
sp|P05177|CP1A2_HUMAN	101	86	113	82	65	116	98	124
sp|P00450|CERU_HUMAN	109	116	92	89	105	94	72	64
sp|O00264|PGRC1_HUMAN	97	95	92	101	100	92	113	119
sp|P05062|ALDOB_HUMAN	100	118	90	114	106	79	72	77
sp|A1L0T0|HACL2_HUMAN	95	90	94	105	84	102	100	113
sp|Q9NQC3|RTN4_HUMAN	129	60	98	143	74	92	86	153
sp|Q14571|ITPR2_HUMAN	135	106	77	114	83	70	121	133
sp|Q6PEY2|TBA3E_HUMAN	95	123	87	85	93	78	119	93
sp|P36537|UDB10_HUMAN	90	129	83	97	93	74	102	88
sp|Q8NBS9|TXND5_HUMAN	101	95	86	98	101	90	85	89
sp|P14314|GLU2B_HUMAN	114	102	90	102	84	89	89	81
sp|O75795|UDB17_HUMAN	70	121	85	73	94	80	74	68
sp|P15144|AMPN_HUMAN	113	40	78	113	38	80	102	94
sp|P04114|APOB_HUMAN	150	89	81	148	57	63	79	76
sp|P11586|C1TC_HUMAN	78	81	105	76	74	118	47	45
sp|P54840|GYS2_HUMAN	64	78	112	59	53	103	147	145
sp|P21397|AOFA_HUMAN	112	80	82	107	69	85	120	121
sp|Q9UJS0|S2513_HUMAN	114	95	82	109	80	73	103	92
sp|P33260|CP2CI_HUMAN	76	92	52	92	81	65	107	102
sp|Q02338|BDH_HUMAN	117	105	65	101	87	63	124	128
sp|Q5TCH4|CP4AM_HUMAN	105	83	90	89	68	84	110	117
sp|P23396|RS3_HUMAN	101	64	87	98	52	90	90	106
sp|Q13576|IQGA2_HUMAN	107	45	97	104	38	90	80	84
sp|Q9NY65|TBA8_HUMAN	94	103	82	76	88	70	75	82
sp|O14756|H17B6_HUMAN	61	123	87	66	90	88	98	97
sp|Q02818|NUCB1_HUMAN	102	91	81	84	69	82	77	59
sp|O95831|AIFM1_HUMAN	113	82	73	105	77	70	81	80
sp|Q12907|LMAN2_HUMAN	78	87	85	74	79	90	61	57
sp|P00352|AL1A1_HUMAN	75	90	72	84	93	79	78	57
sp|P01023|A2MG_HUMAN	87	75	91	81	62	96	58	46
sp|P29144|TPP2_HUMAN	80	26	95	81	26	96	78	73
sp|P00387|NB5R3_HUMAN	82	71	63	99	75	76	125	154
sp|DHE3_BOVIN|	82	109	66	74	92	78	50	47
sp|Q00341|VIGLN_HUMAN	77	29	73	70	26	80	125	112
sp|O75356|ENTP5_HUMAN	92	91	61	69	100	66	70	74
sp|P21549|AGT1_HUMAN	84	98	71	77	74	65	105	117
sp|Q9BUF5|TBB6_HUMAN	80	92	88	65	96	67	59	54
sp|P04844|RPN2_HUMAN	68	80	92	75	61	92	59	65
sp|P05388|RLA0_HUMAN	79	55	74	75	74	88	87	96
sp|P68032|ACTC_HUMAN	101	91	59	90	84	72	58	57
sp|O43707|ACTN4_HUMAN	123	80	71	110	63	57	69	72
sp|P49448|DHE4_HUMAN	75	105	65	74	89	72	46	38
sp|P68133|ACTS_HUMAN	99	87	58	88	82	71	58	57
sp|P51659|DHB4_HUMAN	87	75	64	73	75	71	105	98
sp|P62736|ACTA_HUMAN	99	88	58	87	80	70	52	54
sp|Q13724|MOGS_HUMAN	87	79	77	65	74	76	66	48
sp|P26038|MOES_HUMAN	93	76	85	77	62	71	54	58
sp|P53621|COPA_HUMAN	49	128	51	46	90	57	31	36
sp|P04040|CATA_HUMAN	80	81	61	80	67	69	106	96
sp|CATA_HUMAN|	80	81	61	80	67	69	106	96
sp|P63267|ACTH_HUMAN	97	87	57	86	80	69	51	53
sp|P00747|PLMN_HUMAN	106	81	64	86	60	62	96	78
sp|Q9UHG3|PCYOX_HUMAN	80	82	74	77	73	69	53	62
sp|Q9UNU6|CP8B1_HUMAN	73	79	66	72	69	71	91	101
sp|Q07065|CKAP4_HUMAN	79	79	83	73	58	72	58	55
sp|P30049|ATPD_HUMAN	101	67	65	101	77	63	40	84
sp|P05387|RLA2_HUMAN	73	57	76	73	58	84	81	104
sp|Q15436|SC23A_HUMAN	54	98	79	62	80	76	38	33
sp|Q9BSJ8|ESYT1_HUMAN	85	69	78	71	58	69	82	91
sp|P11717|MPRI_HUMAN	103	91	69	83	71	73	42	26
sp|P31930|QCR1_HUMAN	123	63	56	100	60	56	92	101
sp|Q9BS26|ERP44_HUMAN	83	71	71	70	65	71	65	58
sp|P07900|HS90A_HUMAN	92	52	58	80	51	61	78	76
sp|P08865|RSSA_HUMAN	81	54	69	74	49	63	89	101
sp|P08603|CFAH_HUMAN	80	78	64	69	61	62	72	52
sp|P80303|NUCB2_HUMAN	65	77	70	61	84	71	50	43
sp|P46777|RL5_HUMAN	79	49	77	63	55	80	73	87
sp|P37059|DHB2_HUMAN	64	66	73	70	54	71	78	89
sp|P08238|HS90B_HUMAN	84	55	53	85	49	64	70	69
sp|P62424|RL7A_HUMAN	84	59	70	78	50	70	76	72
sp|O75891|AL1L1_HUMAN	69	83	63	62	71	66	43	39
sp|P07306|ASGR1_HUMAN	71	59	82	74	55	72	49	48
sp|Q14204|DYHC1_HUMAN	59	110	50	48	90	46	16	16
sp|P04003|C4BPA_HUMAN	64	72	67	58	73	70	60	55
sp|Q9HCS2|CP4FC_HUMAN	65	51	38	81	47	46	111	118
sp|P01011|AACT_HUMAN	84	63	66	74	61	69	60	54
sp|P62906|RL10A_HUMAN	73	45	48	56	33	45	85	94
sp|Q8NBX0|SCPDL_HUMAN	91	73	54	87	59	57	73	75
sp|Q15293|RCN1_HUMAN	65	73	66	63	62	72	59	55
sp|Q9BVK6|TMED9_HUMAN	48	64	81	80	65	67	32	28
sp|P21796|VDAC1_HUMAN	126	67	48	101	53	49	62	55
sp|Q6S8J3|POTEE_HUMAN	129	66	35	109	76	44	41	63
sp|P22760|AAAD_HUMAN	61	79	68	53	51	60	70	67
sp|Q6NUM9|RETST_HUMAN	59	62	54	62	43	51	77	80
sp|P23378|GCSP_HUMAN	16	127	58	14	102	61	9	8
sp|P54920|SNAA_HUMAN	73	62	63	64	56	68	59	65
sp|P36578|RL4_HUMAN	74	60	63	65	59	63	68	68
sp|P68104|EF1A1_HUMAN	62	64	79	57	62	58	54	57
sp|P13639|EF2_HUMAN	62	69	65	62	64	63	48	48
sp|Q02878|RL6_HUMAN	69	44	58	65	46	58	72	67
sp|P52272|HNRPM_HUMAN	24	66	82	32	68	91	5	10
sp|Q16822|PCKGM_HUMAN	62	114	40	45	92	41	44	43
sp|P50416|CPT1A_HUMAN	58	50	44	62	42	45	82	79
sp|Q5VTE0|EF1A3_HUMAN	60	63	77	55	61	56	51	56
sp|P63241|IF5A1_HUMAN	47	67	76	46	69	69	16	21
sp|P49748|ACADV_HUMAN	46	91	64	38	85	53	22	18
sp|P22695|QCR2_HUMAN	88	55	55	75	56	45	86	97
sp|Q13217|DNJC3_HUMAN	60	58	65	68	57	57	62	51
sp|P23786|CPT2_HUMAN	75	66	52	71	57	54	60	56
sp|P61247|RS3A_HUMAN	68	47	46	66	51	60	73	70
sp|P69849|NOMO3_HUMAN	53	63	69	56	49	66	46	40
sp|Q5JPE7|NOMO2_HUMAN	53	63	69	56	49	66	46	40
sp|P05556|ITB1_HUMAN	63	57	61	64	51	63	61	52
sp|Q16850|CP51A_HUMAN	58	54	59	58	40	62	69	79
sp|Q96PC5|MIA2_HUMAN	59	58	53	63	57	65	62	67
sp|P18124|RL7_HUMAN	63	43	56	66	62	68	53	58
sp|Q8NBQ5|DHB11_HUMAN	85	48	47	71	34	46	129	165
sp|Q6DD88|ATLA3_HUMAN	69	57	60	63	48	52	76	80
sp|P04406|G3P_HUMAN	74	66	60	55	56	52	50	48
sp|Q15155|NOMO1_HUMAN	53	62	69	54	46	64	44	35
sp|Q14554|PDIA5_HUMAN	63	52	57	60	46	60	62	58
sp|O95954|FTCD_HUMAN	59	64	63	52	64	62	45	42
sp|Q15166|PON3_HUMAN	68	40	70	60	37	67	64	55
sp|P63010|AP2B1_HUMAN	57	47	68	61	43	67	48	45
sp|Q53GQ0|DHB12_HUMAN	47	52	53	49	39	56	78	80
sp|P28331|NDUS1_HUMAN	74	47	51	60	50	47	78	80
sp|Q9NZ08|ERAP1_HUMAN	47	94	49	40	84	42	25	20
sp|P10809|CH60_HUMAN	85	67	33	66	61	45	63	65
sp|Q9NTJ5|SAC1_HUMAN	55	40	45	46	30	41	71	74
sp|P42765|THIM_HUMAN	73	72	48	58	68	34	52	56
sp|P24752|THIL_HUMAN	66	70	36	49	60	32	44	42
sp|Q10567|AP1B1_HUMAN	48	56	61	49	46	69	32	35
sp|Q8N139|ABCA6_HUMAN	63	64	56	58	36	57	38	41
sp|P78527|PRKDC_HUMAN	66	65	74	56	39	65	40	40
sp|Q86VB7|C163A_HUMAN	58	67	48	50	61	52	38	33
sp|Q8NFQ8|TOIP2_HUMAN	56	58	52	58	51	52	59	45
sp|ANT3_HUMAN|,sp|P01008|ANT3_HUMAN	61	57	45	67	54	52	50	50
sp|P05787|K2C8_HUMAN	31	76	65	30	83	60	1	4
sp|A0A8I5KQE6|RPSA2_HUMAN	56	43	49	60	37	50	68	81
sp|CATD_HUMAN|,sp|P07339|CATD_HUMAN	61	66	48	54	62	41	56	45
sp|Q14624|ITIH4_HUMAN	53	58	56	51	48	57	45	35
sp|Q15165|PON2_HUMAN	54	54	65	49	44	55	44	39
