file	sample_id	n	n_nan	n_zero	n_positive	n_negative	frac_zero	min_pos	median_pos	max	log10_range	median_log2_pos
protein	AZ905	4344	4	1368	2972	0	0.3149	70649.94891490682	13541945.497219928	4527019471.070496	4.81	23.691
protein	AZ907	4344	0	1458	2886	0	0.3356	77484.09585279669	9240430.409579758	4880126327.609579	4.8	23.14
protein	AZ909	4344	0	1449	2895	0	0.3336	59016.05251176589	9613790.731183382	3532179835.4014792	4.78	23.197
protein	AZ906	4344	1	1434	2909	0	0.3301	29518.316782812624	13099843.860877028	4083983268.287692	5.14	23.643
protein	AZ908	4344	1	1661	2682	0	0.3824	41248.36689883541	8642753.894494131	4165803437.1990943	5.0	23.043
protein	AZ910	4344	1	1545	2798	0	0.3557	63168.2053317795	9356146.63469471	3195772402.101364	4.7	23.157
protein	AZ941	4344	3	2079	2262	0	0.4786	227235.3621101044	11728813.783439819	2508388112.512864	4.04	23.484
protein	AZ942	4344	4	2090	2250	0	0.4811	218788.55857882075	10045638.149562784	2309255784.8536367	4.02	23.26
peptide	AZ905	33358	0	8163	25195	0	0.2447	4879.676186191603	4260734.916666667	3005919440.0	5.79	22.023
peptide	AZ907	33358	0	9123	24235	0	0.2735	13153.414209599518	3027821.684619715	2985814496.0	5.36	21.53
peptide	AZ909	33358	0	9179	24179	0	0.2752	2502.126176123383	2966044.586194796	1979843616.0	5.9	21.5
peptide	AZ906	33358	0	9082	24276	0	0.2723	5320.631053038628	3983595.695501906	2657516032.0	5.7	21.926
peptide	AZ908	33358	0	11616	21742	0	0.3482	14178.728664466287	2728945.4732470177	2808060160.0	5.3	21.38
peptide	AZ910	33358	0	10681	22677	0	0.3202	11714.954438408604	2815061.8175094933	2274500672.0	5.29	21.425
peptide	AZ941	33358	0	15686	17672	0	0.4702	27229.949763848268	3138282.90625	2502495978.6666665	4.96	21.582
peptide	AZ942	33358	0	15651	17707	0	0.4692	20012.296425751767	2636383.51321142	1522840853.3333333	4.88	21.33
