protein_id	entry	sample_id	batch	condition	has_lfq	has_psm	in_common	complete8	lfq	psm	log2_psm	log2_psm_runnorm	nsaf	log2_nsaf	nsaf_precise	log2_length_rel	psm_bin	resid_log2_psm	resid_log2_nsaf	resid_lfq_given_psm	lfq_decile	n_unique_peptides_msms_run	n_unique_peptides_mbr_run	mbr_intensity_frac_run	shared_psm_frac_run	fit_log2_psm_given_lfq	fit_log2_nsaf_given_lfq
psvid_100027_sp|Q96GK7|FAH2A_HUMAN	FAH2A_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	19.2359	2	1	0.730343	2.99e-05	-15.0295	True	-0.411748	2-3	0.794934	0.962404	-2.60218	1	0	1	1	1	0.205066	-15.9919
psvid_100029_sp|P55769|NH2L1_HUMAN	NH2L1_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	21.1845	1	0	-0.269657	3.67e-05	-14.7339	True	-1.70749	1	-0.797921	0.501754	0.296516	2	1	1	0.618024	0	0.797921	-15.2356
psvid_100102_sp|Q8N0U2|TMM61_HUMAN	TMM61_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	26.6427	1	0	-0.269657	2.24e-05	-15.4461	True	-0.990284	1	-5.14349	-4.40799	5.75475	9	1	0	0	0	5.14349	-11.0382
psvid_100108_sp|P03950|ANGI_HUMAN	ANGI_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	21.5839	1	0	-0.269657	3.19e-05	-14.9361	True	-1.50671	1	-1.01445	0.105975	0.695989	2	1	1	0.263157	0	1.01445	-15.0421
psvid_100140_sp|P52797|EFNA3_HUMAN	EFNA3_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	21.693	1	0	-0.269657	1.97e-05	-15.6314	True	-0.811115	1	-1.07994	-0.650544	0.805031	3	1	0	0	0	1.07994	-14.9809
psvid_100287_sp|A0A0U1RRL7|MMPOS_HUMAN	MMPOS_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	21.7012	6	2.58496	2.31531	0.000397	-11.2986	True	-2.55795	4-7	1.50001	3.67758	-1.624	3	1	0	0	0	1.08495	-14.9762
psvid_100410_sp|Q13790|APOF_HUMAN	APOF_HUMAN	AZ905	B2021-05-06	control	True	True	True	False	19.4804	2	1	0.730343	2.88e-05	-15.0836	True	-0.357979	2-3	0.742815	0.81899	-2.35771	1	1	0	0	0	0.257185	-15.9026
psvid_100442_sp|P61077|UB2D3_HUMAN	UB2D3_HUMAN	AZ905	B2021-05-06	control	False	True	False	False		3	1.58496	1.31531	9.58e-05	-13.3496	True	-1.50618	2-3					0	0		1		
psvid_100481_sp|Q03135|CAV1_HUMAN	CAV1_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	24.0871	4	2	1.73034	0.000105	-13.2173	True	-1.23112	4-7	-1.11746	-0.216371	1.32981	6	4	0	0	0	3.11746	-13.001
psvid_100491_sp|Q71UM5|RS27L_HUMAN	RS27L_HUMAN	AZ905	B2021-05-06	control	True	True	True	True	24.5169	16	4	3.73034	0.000894	-10.1274	True	-2.314	16-31	0.512509	2.53329	-0.407058	7	3	0	0	0.75	3.48749	-12.6607
