protein_id	entry	complete8	n_common_runs	mean_lfq	mean_log2_psm	mean_log2_nsaf	mean_psm	log2_length_rel	length_method	length_n_precise_cells	length_max_abs_dev_precise	length_interval_low	length_interval_high	n_unique_peptides	log2_n_unique_peptides	n_shared_peptides	mbr_intensity_frac_mean	shared_psm_frac	log2_shared_psm_inflation	resid_log2_psm	resid_log2_nsaf
psvid_100027_sp|Q96GK7|FAH2A_HUMAN	FAH2A_HUMAN	False	5	19.7116	1.23399	-14.641	2.8	-0.411748	precise	6	0.00406529			1	0	5	0.4	0.8	2.32193		
psvid_100029_sp|P55769|NH2L1_HUMAN	NH2L1_HUMAN	False	7	21.8726	1.30999	-13.2349	2.71429	-1.70749	precise	8	0.00228392			3	1.58496	0	0.0882891	0	-0		
psvid_100102_sp|Q8N0U2|TMM61_HUMAN	TMM61_HUMAN	False	3	26.4605	0	-15.3062	1	-0.990284	precise	3	0.00512529			1	0	0	0	0	-0		
psvid_100108_sp|P03950|ANGI_HUMAN	ANGI_HUMAN	False	3	22.7996	0.861654	-13.9135	2	-1.50671	precise	3	0.0033687			2	1	0	0.0877189	0	-0		
psvid_100140_sp|P52797|EFNA3_HUMAN	EFNA3_HUMAN	False	3	22.1852	0	-15.4905	1	-0.811115	precise	3	0.00100896			1	0	0	0	0	-0		
psvid_100287_sp|A0A0U1RRL7|MMPOS_HUMAN	MMPOS_HUMAN	True	8	21.6518	2.18872	-11.4926	4.875	-2.55795	precise	8	0.00233079			2	1	0	0	0	-0	0.937233	2.83712
psvid_100410_sp|Q13790|APOF_HUMAN	APOF_HUMAN	False	5	19.1515	0.2	-15.6799	1.2	-0.357979	precise	5	0.00379837			1	0	0	0	0	-0		
psvid_100442_sp|P61077|UB2D3_HUMAN	UB2D3_HUMAN	False	0					-1.50618	precise	5	0.00191838			0		3		1			
psvid_100481_sp|Q03135|CAV1_HUMAN	CAV1_HUMAN	True	8	22.807	0.665241	-14.3434	2	-1.23112	precise	8	0.00689224			4	2	0	0.192214	0	-0	-1.28327	-0.456844
psvid_100491_sp|Q71UM5|RS27L_HUMAN	RS27L_HUMAN	True	8	23.7761	3.324	-10.6008	10.5	-2.314	precise	8	0.00094503			3	1.58496	4	0.16043	0.619048	1.39232	0.518295	2.60082
psvid_100492_sp|P42677|RS27_HUMAN	RS27_HUMAN	True	8	24.0984	3.51089	-10.4224	12	-2.31406	precise	6	0.000778243			3	1.58496	4	0.040827	0.541667	1.12553	0.431632	2.5582
psvid_100525_sp|P09234|RU1C_HUMAN	RU1C_HUMAN	False	6	21.999	0.26416	-14.5921	1.33333	-1.3942	precise	6	0.00320375			2	1	0	0	0	-0		
psvid_100570_sp|Q96HS1|PGAM5_HUMAN	PGAM5_HUMAN	True	8	24.7526	3.5566	-12.1496	12.25	-0.532426	precise	8	0.0043467			11	3.45943	0	0.15387	0	-0	-0.0627346	0.370823
psvid_100762_sp|P62841|RS15_HUMAN	RS15_HUMAN	True	8	27.471	4.58982	-10.1877	24.625	-1.52702	precise	6	0.000940726			10	3.32193	0	0.0486286	0	-0	-1.11105	0.302924
psvid_100787_sp|P62308|RUXG_HUMAN	RUXG_HUMAN	False	0					-2.45863	precise	8	0.00308079			0		2		1			
psvid_100989_sp|Q9HCJ1|ANKH_HUMAN	ANKH_HUMAN	False	6	19.679	0	-16.4846	1	0.234245	precise	6	0.00357695			1	0	0	0	0	-0		
psvid_101104_sp|P47813|IF1AX_HUMAN	IF1AX_HUMAN	False	7	21.2792	2.84021	-11.8793	7.42857	-1.53721	precise	8	0.00225499			2	1	6	0.277707	0.854839	2.78427		
psvid_101229_sp|Q5TGZ0|MIC10_HUMAN	MIC10_HUMAN	False	5	24.486	0	-13.873	1	-2.42148	precise	5	0.000895238			3	1.58496	0	0.331717	0	-0		
psvid_101373_sp|P35244|RFA3_HUMAN	RFA3_HUMAN	False	0					-1.78842	precise	1	5.38458e-14			0		0		0	-0		
psvid_101381_sp|P56962|STX17_HUMAN	STX17_HUMAN	True	8	22.4935	0.19812	-15.5725	1.25	-0.46891	precise	8	0.00473148			2	1	0	0.311032	0	-0	-1.52442	-1.479
psvid_101446_sp|Q5EB52|MEST_HUMAN	MEST_HUMAN	False	0					-0.319841	precise	1	3.61822e-13			0		0		0	-0		
psvid_101538_sp|Q9UPQ8|DOLK_HUMAN	DOLK_HUMAN	False	2	18.2625	0	-16.6054	1	0.361913	precise	3	0.00378356			1	0	0	0	0	-0		
psvid_101546_sp|Q9NYM9|BET1L_HUMAN	BET1L_HUMAN	False	5	20.3226	0.4	-13.9062	1.4	-1.91248	precise	6	0.00571466			1	0	0	0	0	-0		
psvid_101645_sp|Q9ULX7|CAH14_HUMAN	CAH14_HUMAN	False	6	21.2243	0.76416	-15.1664	1.83333	-0.310865	precise	6	0.00386923			2	1	0	0	0	-0		
psvid_101723_sp|A0A0B4J2F0|PIOS1_HUMAN	PIOS1_HUMAN	False	6	20.3505	0.430827	-12.8869	1.5	-2.95099	precise	7	0.00478096			1	0	0	0	0	-0		
psvid_101736_sp|P05114|HMGN1_HUMAN	HMGN1_HUMAN	False	1	19.0208	0	-14.2535	1	-2.06377	precise	1	5.38458e-14			1	0	0	0	0	-0		
